"age","female","X1","X2","X3"
25,1,12398.6789395696,13096.6857333789,12357.5796374348
25,0,7457.34361777521,7352.30565653693,7168.40842213817
35,1,22888.3110376058,22418.3287317017,23016.8027349602
35,0,19674.7093035479,19334.6874492774,19096.4315057636
45,1,72037.3660999843,72105.4119855712,71283.406122367
45,0,63345.1151744693,63899.7313216284,63317.8406009626
55,1,208694.133880271,207876.547393337,207186.103450152
55,0,184952.116671057,183834.595346868,184654.452241064
65,1,228685.519964897,228574.887478865,229308.871255562
65,0,219208.206893518,219743.656780106,221294.793940273
75,1,404214.602439553,403591.403603096,403856.981559326
75,0,313128.640883309,315623.926191117,314007.619534036
