"age","female","race","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,1,"Cancer","dairy_tot",57.3326040199783,11.1852745614807,60.6599001232824,45.6511524355952,66.1858539165528,0.0210931999294395,0.00373404532659203,0.0222189716940294,0.0171904518065761,0.0240390420524014,2.22189716940294,1.71904518065761,2.40390420524014,0.29713226755459,0.0579688651943197,0.314376330560272,0.236591912604248,0.343015168950103
25,0,1,"Cancer","leg_tot",21.5532898199856,4.76578967651148,23.2897001778226,16.5191080189618,25.111522816848,0.00795299095639497,0.00176985074495695,0.00878702486530261,0.00606355987763293,0.00913349321258552,0.878702486530261,0.606355987763293,0.913349321258552,0.111702197849621,0.0246992076755604,0.120701327678951,0.0856120196798135,0.130143115664497
25,0,1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"DIAB","leg_tot",14.4758798479147,4.48498550236053,12.455779399066,11.4111996599191,19.2576454174317,0.0581752441834882,0.0169046417794324,0.0553811593955826,0.0434686955658807,0.0752567648708155,5.53811593955826,4.34686955658807,7.52567648708155,0.0750227741715667,0.0232439104248862,0.0645533905230358,0.0591397458466814,0.0998047785977034
25,0,1,"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"HHD","leg_tot",9.85082326258102,0.761800659967019,10.2769727958237,9.0365949871428,10.302824434763,0.0555179833173678,0.00438369817328367,0.0574611331549891,0.050846705139287,0.0585375841334704,5.74611331549891,5.0846705139287,5.85375841334704,0.0510529305850167,0.00394811227206263,0.0532614954896495,0.0468331066659128,0.0533954743351829
25,0,1,"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"HSTK","leg_tot",10.4910546930435,0.651387827988641,10.7834002622577,9.79664424885416,10.9369714034007,0.15025692399811,0.0190359724832086,0.152125297037368,0.131444139173568,0.167481591739284,15.2125297037368,13.1444139173568,16.7481591739284,0.0543709975025205,0.00337588612441675,0.0558861092504515,0.0507721421317847,0.0566820078875148
25,0,1,"IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"IHD","leg_tot",23.1559694974265,3.21408794094893,21.5181873293026,21.1120362881999,26.5920175495584,0.0578086713819069,0.00945973718358142,0.0540274002972291,0.0509845957007479,0.0678468274850418,5.40274002972291,5.09845957007479,6.78468274850418,0.120008254322404,0.0166573497635173,0.111520275489182,0.109415354879428,0.13781593577362
