"age","race","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"AA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AA","medBMI","leg_tot",1.89794838867164,0.430549496307308,1.8244998541426,1.52463035204296,2.33369767964999,0.0256854146374063,0.00340722049670949,0.0254431488327028,0.0225576607171303,0.0290190944916802,2.54431488327028,2.25576607171303,2.90190944916802,0.00506282296192864,0.00114850113373055,0.00486689723004198,0.00406698812299047,0.00622519467297047
25,1,"AA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AFF","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AFF","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AFF","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AFF","medBMI","leg_tot",0.176978734592276,0.0697821392144889,0.191423556340052,0.105620560773829,0.236058809925112,0.0286430187439022,0.00890665495806785,0.0320746522361303,0.0192081705483915,0.0351609784710191,3.20746522361303,1.92081705483914,3.51609784710191,0.000472095029883273,0.000186145534228612,0.000510626939213428,0.000281745385453702,0.000629692551382214
25,1,"AFF","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AFF","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"APCA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"APCA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"APCA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"APCA","medBMI","leg_tot",0.0187730373276109,0.00613321012260491,0.0201745441344702,0.0124660793878666,0.0238887144815249,0.00321677269971536,0.000814741769525158,0.00336598110702879,0.00238915111995399,0.00391756713326032,0.336598110702879,0.238915111995399,0.391756713326033,5.00775284589763e-05,1.63604854717835e-05,5.38160815647499e-05,3.32535665073005e-05,6.37237202707444e-05
25,1,"APCA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"APCA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"BC","direct","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"BC","direct","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"BC","medBMI","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"BC","medBMI","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"BC","medSBP","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"BC","medSBP","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"CC","direct","dairy_tot",112.065538636892,14.3430422250859,118.871694545708,96.7507853805345,121.595059370755,0.0698379211302148,0.00523684807007918,0.0712594706520251,0.0643981808890934,0.0740693442777975,7.12594706520251,6.43981808890934,7.40693442777975,0.298937518869442,0.0382604100061439,0.317093103406564,0.258085046323114,0.324357744559217
25,1,"CC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"CC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"CC","medBMI","leg_tot",3.98282728764985,1.26673355971467,4.19437168322321,2.70217611032781,5.08366572873454,0.00249499955941915,0.000786820064990458,0.00280996957557851,0.00166001333968592,0.00306226126541692,0.280996957557851,0.166001333968592,0.306226126541692,0.0106242875547435,0.00337904222846524,0.0111885873164066,0.007208119746669,0.0135608005654045
25,1,"CC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"CC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"CM","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"CM","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"CM","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"CM","medBMI","leg_tot",11.0607347517867,1.192666213727,11.4265156610623,9.81294064048628,11.9976150902029,0.0351072924619209,0.0055830202176034,0.0339223713525618,0.0303973754873699,0.0408243923794272,3.39223713525618,3.03973754873699,4.08243923794272,0.0295047758998025,0.00318146580213368,0.0304805052703002,0.026176255105371,0.0320039267293109
25,1,"CM","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"CM","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"DIAB","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"DIAB","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"DIAB","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"DIAB","medBMI","leg_tot",25.721065931539,7.83180160049223,23.2945938676327,19.5849275361987,33.9197055811997,0.0611390318882052,0.0194997641742665,0.0581495102495007,0.0440488070730719,0.0807703500962372,5.81495102495007,4.40488070730719,8.07703500962372,0.068611561821561,0.0208915190807654,0.0621388892478767,0.0522432651118472,0.0904816302189066
25,1,"DIAB","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"DIAB","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
