"age","female","outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"OSTK","leg_tot",6.40700230345521,0.703482227670362,6.17029740555254,5.86829681886925,7.14690695125843,0.127161733226716,0.0236448799279459,0.115023458794655,0.112199843729955,0.152441155990729,11.5023458794655,11.2199843729955,15.2441155990729,0.0192880095981075,0.00211780350884009,0.0185754195089478,0.0176662595088897,0.0215154612631111
25,1,"OTH","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"OTH","leg_tot",8.34002401221499,2.17461542116738,8.99067507668632,6.06817114171692,10.0588234779124,0.0304070561807409,0.008602514190393,0.0343628569960846,0.0212294450505157,0.0362222366179239,3.43628569960846,2.12294450505157,3.62222366179239,0.0251072897397429,0.00654658780020248,0.0270660472650483,0.0182679727087464,0.0302816628742298
25,1,"PC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"PC","leg_tot",1.04840530017289,0.202101781582766,0.957395022893834,0.910290262236813,1.26387907379615,0.00469188616377613,0.00138358608677366,0.00409542954363653,0.0037260116196245,0.00616474883504643,0.409542954363653,0.37260116196245,0.616474883504643,0.00315617983804004,0.000608418870219666,0.00288219724547283,0.00274039035472468,0.00380485452503753
25,1,"PVD","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"PVD","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"RHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"RHD","leg_tot",1.99525995189398,0.658987824750913,2.23709547002227,1.2988996347158,2.4860600786631,0.0280812532893807,0.00592532244097951,0.027021460869164,0.0229705468230219,0.0340927833129236,2.7021460869164,2.29705468230219,3.40927833129236,0.0060066457416593,0.00198385498971602,0.00673468134612697,0.00391028244329894,0.00748417877622215
25,1,"SCC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"SCC","leg_tot",0.207224518083494,0.197063143677225,0.20844437472078,0.0194987826301194,0.393913375395176,0.00977431863359843,0.005730744985474,0.0102034047391248,0.00415920680415656,0.0150247072733428,1.02034047391248,0.415920680415656,1.50247072733428,0.000623840651907077,0.000593250263798056,0.000627512978747914,5.87002608565215e-05,0.00118585956514292
25,1,"SCNC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"SCNC","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"TC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"TC","leg_tot",17.0048439646739,5.20427386701614,16.7499037570164,12.1735844750539,22.0528026308027,0.00273666458818487,0.000732813461932797,0.00279548876189056,0.00201717574528101,0.00340615288343889,0.279548876189056,0.201717574528101,0.340615288343889,0.0511923639278341,0.0156672464818772,0.0504248772094997,0.0366480614610651,0.0663890301051874
25,1,"UC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"UC","leg_tot",19.6739742490607,0.997212950359246,19.7518941988282,18.6956774799967,20.5860390608224,0.0209606000962652,0.00213469675492975,0.0219596126103795,0.0186820805429147,0.0223899590126185,2.19596126103795,1.86820805429147,2.23899590126185,0.0592276678196541,0.00300206743292624,0.0594622425346014,0.0562825467508934,0.0619734003807096
35,0,"AA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"AA","leg_tot",6.93880011946487,0.323206629892724,7.07459354986615,6.59508799545018,7.16708782763846,0.0264360923457144,0.00161804415194344,0.0272645254951171,0.0247062328616101,0.0274617836528263,2.72645254951171,2.47062328616101,2.74617836528263,0.0350132567241234,0.00163090397655747,0.0356984717696976,0.0332788818134583,0.0361651988460504
35,0,"AFF","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"AFF","leg_tot",0.95803750335255,0.0752926548780562,0.971410254495411,0.88167726985696,1.02303089837671,0.0262131785086266,0.00420896924860984,0.028278121799455,0.0217159119198549,0.0289552433001942,2.8278121799455,2.17159119198549,2.89552433001942,0.00483426708922235,0.000379927510419412,0.00490174612894267,0.00444895256612562,0.00516222442855679
35,0,"APCA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"APCA","leg_tot",0.382560080888767,0.146992031465999,0.456662995442132,0.225435439020453,0.476697245386722,0.00342288398900762,0.00138006590435195,0.00401636027426499,0.00195390669810176,0.00438740643744471,0.401636027426499,0.195390669810176,0.438740643744471,0.00193040210035519,0.00074172330165296,0.00230432616886732,0.00113754954246287,0.0024054192000122
35,0,"BC","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
35,0,"BC","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
35,0,"CC","dairy_tot",286.72181319684,9.95622576046897,283.435464844662,279.054776008477,297.182246484554,0.0834933608848919,0.00433799469094659,0.0850470053375306,0.0789152085928442,0.0867509153921967,8.50470053375306,7.89152085928442,8.67509153921967,1.4468012164964,0.0502392175236078,1.43021826893217,1.40811326803734,1.49958467038504
35,0,"CC","leg_tot",8.89470531373615,2.35483838387332,8.89367919584219,6.65804510845135,11.1322377192308,0.0025795902436169,0.000617332376179594,0.00271275142396073,0.00194685456785986,0.0030991389160817,0.271275142396073,0.194685456785986,0.30991389160817,0.0448827744384265,0.0118825386895184,0.0448775966369865,0.0335965640527746,0.0561733859553024
35,0,"CM","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
