"age","female","race","disease_type3","X1","X2","X3"
25,1,1,"Other_CVD",388.755505670764,395.625926699474,397.321618958898
25,1,2,"Other_CVD",158.705920549602,182.077718951915,148.495897311872
25,1,3,"Other_CVD",97.2399535107657,89.8333976194998,80.796281164755
25,1,4,"Other_CVD",36.6357771797812,36.6330455733249,35.2100089216236
25,0,1,"Other_CVD",488.050340306184,520.57678432626,576.394350314635
25,0,2,"Other_CVD",270.081479254599,257.663005510992,271.826500107863
25,0,3,"Other_CVD",126.445622280776,169.788509564555,150.300338642409
25,0,4,"Other_CVD",66.5196128413198,73.6375672729855,67.3382468526769
35,1,1,"Other_CVD",521.045435615335,541.990684072832,530.833490458867
35,1,2,"Other_CVD",314.670460093381,293.263047122737,277.23509596262
35,1,3,"Other_CVD",108.36659064565,115.93319062935,112.890781782267
35,1,4,"Other_CVD",48.5053692527703,58.3205909449888,50.6402416016588
35,0,1,"Other_CVD",892.590235128691,883.967172529311,786.021358304036
35,0,2,"Other_CVD",460.849003428783,478.166220394266,485.484203523372
35,0,3,"Other_CVD",245.27074052443,242.449403639506,218.353208084026
35,0,4,"Other_CVD",116.437896394187,104.206749072884,110.736238243107
45,1,1,"Other_CVD",1081.86737116055,1025.77510374438,1095.12055192028
45,1,2,"Other_CVD",474.626862252444,568.835358825668,542.29942792086
45,1,3,"Other_CVD",181.353224269035,133.292791399207,152.439530887869
45,1,4,"Other_CVD",62.520412382436,77.6892131986994,83.6247760817788
45,0,1,"Other_CVD",1888.4269880714,1947.36545317389,1953.02319600019
45,0,2,"Other_CVD",810.394676177767,851.898711729376,835.892957149772
45,0,3,"Other_CVD",329.544293600731,311.719035650631,341.898809958173
45,0,4,"Other_CVD",138.192602212319,153.798227200789,156.328126702809
55,1,1,"Other_CVD",2642.16566730695,2677.50634758676,2672.54240199873
55,1,2,"Other_CVD",960.485890224548,904.547305718906,990.550488638163
55,1,3,"Other_CVD",300.699640631471,299.025673079208,268.437937968275
55,1,4,"Other_CVD",172.000567323297,151.867795186575,142.036472263759
55,0,1,"Other_CVD",4970.3500636811,4720.22892916159,4882.10067713838
55,0,2,"Other_CVD",1350.5957484743,1423.14387556254,1425.50629576584
55,0,3,"Other_CVD",499.445687039755,542.563872300434,509.323061513965
55,0,4,"Other_CVD",232.943724726451,233.008980963768,201.205955313381
65,1,1,"Other_CVD",5568.10532471219,5560.80265957753,5622.27050990085
65,1,2,"Other_CVD",1283.08901514798,1243.95940207787,1289.37735464678
65,1,3,"Other_CVD",438.592739799902,426.518500642683,464.327757872174
65,1,4,"Other_CVD",249.84299942379,219.377434394678,215.906372858021
65,0,1,"Other_CVD",7791.79458957492,7882.5477776383,7840.50930133283
65,0,2,"Other_CVD",1411.61515888251,1499.74847302149,1391.92113824933
65,0,3,"Other_CVD",528.03076701321,571.115686525869,512.057805816925
65,0,4,"Other_CVD",288.026613397222,297.869331985503,307.067359724422
75,1,1,"Other_CVD",37295.3270357242,37212.9622977292,37160.8971131307
75,1,2,"Other_CVD",2936.07362974053,2847.29820998062,2890.3823390945
75,1,3,"Other_CVD",1900.16896670437,1770.47648793082,1817.06104442989
75,1,4,"Other_CVD",1011.21445742067,976.70443537875,1066.58654884517
75,0,1,"Other_CVD",25222.4957412706,25425.6863929527,25405.1770090554
75,0,2,"Other_CVD",1787.478971305,1783.77519977476,1831.91238508241
75,0,3,"Other_CVD",1227.59140968074,1282.68431490082,1264.51598673607
75,0,4,"Other_CVD",795.011662718845,710.363035272084,655.588327403505
25,1,1,"Cancer",6306.94544915849,6516.10911843516,5943.74471071444
25,1,2,"Cancer",906.781127501512,970.166028023738,1070.36040691146
25,1,3,"Cancer",2230.14164560501,2349.76892085695,2348.91746459492
25,1,4,"Cancer",1280.58684994582,1541.02682894715,1398.84048195215
25,0,1,"Cancer",2754.38771214691,2730.09484680979,2650.46480860511
25,0,2,"Cancer",351.652053373817,359.379984031114,275.954737255074
25,0,3,"Cancer",935.048387833309,859.780877542891,832.526998041619
25,0,4,"Cancer",484.286782229944,454.401604091142,491.705183483424
35,1,1,"Cancer",9468.53094059825,9024.4041007985,9609.4104075809
35,1,2,"Cancer",2426.04061866618,2432.11786004045,2313.19360971605
35,1,3,"Cancer",4181.6625587079,4030.34667126847,4222.762015827
35,1,4,"Cancer",2696.70217488443,2814.53931676591,2774.64096675658
35,0,1,"Cancer",6516.02758227274,6158.36125780775,6081.18484458332
35,0,2,"Cancer",1310.1402927529,1347.4539970229,1315.15845092884
35,0,3,"Cancer",1969.12611296185,1938.38485463168,1936.83190047175
35,0,4,"Cancer",1460.66911741688,1313.69289067453,1317.39662734615
45,1,1,"Cancer",40130.6104446558,40078.5013622769,39132.2120909144
45,1,2,"Cancer",6505.23205558325,6060.82237343711,6556.93971425907
45,1,3,"Cancer",7798.50604366571,7806.34446847478,7976.18475845782
45,1,4,"Cancer",5412.45890937357,6148.91884292582,5433.08033608666
45,0,1,"Cancer",22435.7148824978,22296.9832556477,21772.3645974543
45,0,2,"Cancer",5062.53330776845,5364.06319336829,5345.13540502441
45,0,3,"Cancer",4863.25111043969,4612.48913191266,4547.19300444255
45,0,4,"Cancer",4877.54300009296,5305.77041488994,5278.77303917637
55,1,1,"Cancer",120641.469121294,120256.811645203,119892.696271822
55,1,2,"Cancer",23409.9306564629,22643.5499902177,23247.5316249396
55,1,3,"Cancer",17648.4690979245,17548.2973276854,17124.0152065044
55,1,4,"Cancer",16606.7459846557,17185.1071196177,16688.8531460436
55,0,1,"Cancer",85855.570916038,84321.4043648397,85371.5606153065
55,0,2,"Cancer",14397.6750604472,14132.5406643256,14343.5648925267
55,0,3,"Cancer",10675.6185033186,11080.4467715765,11174.4294154313
55,0,4,"Cancer",9335.49743606012,9595.90957739702,9137.0231827987
65,1,1,"Cancer",134352.307716411,133999.622703592,134714.752194429
65,1,2,"Cancer",17052.2842424299,17125.6921619833,16955.3721498377
65,1,3,"Cancer",14948.6206949961,14823.9960146475,14793.7248994152
65,1,4,"Cancer",9751.69286412291,9799.03872937458,10109.41462585
65,0,1,"Cancer",100213.920584056,99902.6569550718,101329.426144634
65,0,2,"Cancer",13426.1617477892,13749.8730150583,13868.3008075498
65,0,3,"Cancer",9060.38154178889,9420.30769462826,9126.59077412884
65,0,4,"Cancer",7368.7798893841,7529.32582343194,7913.45617026155
75,1,1,"Cancer",124158.215446547,124991.500746578,124124.991453872
75,1,2,"Cancer",16112.1494931337,16416.9973394765,16480.5651382054
75,1,3,"Cancer",7429.83621328682,7343.55934044083,7225.15285268908
75,1,4,"Cancer",6724.13186211194,6421.50739875575,6720.11460156616
75,0,1,"Cancer",89053.5433887683,88631.510872519,88237.765465246
75,0,2,"Cancer",9050.40431103104,9555.42070490515,9363.19204761814
