"age","female","race","X1","X2","X3"
25,1,1,7155.11113855965,7405.60263201731,6785.53503787039
25,1,2,1415.7586863849,1508.20155336541,1527.65821752008
25,1,3,2459.13874485652,2552.98302472028,2559.05731824759
25,1,4,1368.67036976857,1629.89852327584,1485.32906379678
25,0,1,4230.02196132421,4205.04219680331,4146.5443018059
25,0,2,1180.27033769268,1184.30772499218,1096.8170823035
25,0,3,1389.57514320229,1323.20713752404,1267.8680438049
25,0,4,657.476175556041,639.748597217401,657.178994223879
35,1,1,11697.1733534663,11194.4412651198,11853.0135800525
35,1,2,3653.13967501891,3747.64485032908,3528.32163551173
35,1,3,4632.65685830357,4456.91985212961,4656.99806857668
35,1,4,2905.34115081698,3019.32276412323,2978.46945081931
35,0,1,10962.1349021617,10706.2635768453,10506.7185003923
35,0,2,3568.23179256297,3671.06651717579,3643.08226527379
35,0,3,3137.4022728723,3158.04104782238,3092.72896878799
35,0,4,2006.94033595091,1799.31630743386,1853.90177130953
45,1,1,47427.8834149202,47168.2933560808,46228.2990176612
45,1,2,9777.70139230625,9376.02614060305,9930.49908836471
45,1,3,8975.4352154436,8932.6927746918,9183.36147038032
45,1,4,5856.34607731427,6628.3997141956,5941.24654596073
45,0,1,38701.2203028577,38745.0479494636,38206.3825661785
45,0,2,10650.9949785339,11041.1086710327,10903.5061554083
45,0,3,7907.63781243346,7586.88587853194,7620.92682889442
45,0,4,6085.2620806442,6526.68882260027,6587.02505048131
55,1,1,140300.319706336,139700.947318,139471.533079839
55,1,2,30707.2503147335,29932.6443643786,30455.1676044871
55,1,3,20056.2198066179,20005.8303088318,19514.701854573
55,1,4,17630.3440525833,18237.1254021271,17744.7009112532
55,0,1,130471.164953764,128814.801875116,130065.48055286
55,0,2,26547.12822896,26402.2758987166,26444.2879559146
55,0,3,16201.4050174848,16654.3396275903,16711.514255514
55,0,4,11732.4184708488,11963.1779454451,11433.1694767753
65,1,1,171486.261112322,171396.03840287,171940.841406371
65,1,2,26621.4209361306,26695.965106358,26569.5506910282
65,1,3,18862.9997231887,18749.2747392325,18731.2216148429
65,1,4,11714.8381932556,11733.6092304043,12067.2575433197
65,0,1,166915.172024392,166644.096889175,167962.979444831
65,0,2,26551.8136685065,26892.6430215452,26976.0111026942
65,0,3,15283.4537079568,15579.5321764441,15343.8156170804
65,0,4,10457.767492662,10627.3846929427,11011.9877756675
75,1,1,325917.275798432,325551.154044629,325615.084981247
75,1,2,39815.2869205424,40305.4048818942,40699.5794722892
75,1,3,23413.0540856649,23026.9917877834,22502.9483388993
75,1,4,15068.9856349138,14707.8528887898,15039.3687668907
75,0,1,256513.712535034,258230.61813529,256248.695010455
75,0,2,24539.6467051809,25338.5846018937,25552.1769119139
75,0,3,18758.3545004274,18618.7010147595,18937.1030819211
75,0,4,13316.9271426666,13436.0224391746,13269.6445297457
