"pathway","disease_type","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","CMD","leg_tot",12959.3557021224,57.2906065354036,12929.5753866687,12923.4129581774,13020.6117142031,0.0173880748001132,7.46376534072548e-05,0.0173622604851048,0.0173313955097625,0.0174666962582212,1.73622604851048,1.73313955097625,1.74666962582212,5.29216701316937,0.0233955657241102,5.28000572932867,5.2774891998397,5.31718191776363
"direct","Cancer","dairy_tot",10952.242859428,427.08180766493,11013.1929746326,10523.722063265,11328.9560576672,0.0108265993500362,0.000417444028771498,0.0108927629184079,0.0104056616640925,0.011191298002864,1.08927629184079,1.04056616640925,1.1191298002864,4.47252932268788,0.174405912330883,4.49741930923879,4.29753577562906,4.62636638117841
"direct","Cancer","leg_tot",2386.49062239475,82.7458875624875,2375.22924186627,2313.21602426021,2469.33739397849,0.0023591634345151,8.28223553489384e-05,0.00234925593950034,0.00228511623760036,0.00244163200219239,0.234925593950034,0.228511623760036,0.244163200219239,0.974562874835444,0.0337906502992197,0.969964104038081,0.944639982057114,1.00839472279153
"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","CMD","leg_tot",12836.8553137129,122.59538948619,12832.1142576753,12722.4699785478,12955.2705465101,0.0172238156684921,0.000179330683308535,0.0171991419177036,0.017065151588725,0.0174034524364296,1.71991419177036,1.7065151588725,1.74034524364296,5.24214195563238,0.0500638527962629,5.2402058670685,5.1954308141632,5.29049877238085
"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","Cancer","leg_tot",5569.65623362169,144.793833563165,5607.23086033096,5419.65159568394,5687.72243885654,0.00550578747134782,0.000141066347330895,0.00554591538812141,0.00535885025784579,0.0056186159555923,0.554591538812141,0.535885025784579,0.56186159555923,2.2744611438853,0.0591289541939049,2.28980536350344,2.21320427163304,2.32267542946214
"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
