"female","race","disease_type","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"CMD","leg_tot",10694.1829609594,390.558727951451,10823.9016967111,10283.7018176328,10994.403178897,0.0354115460367457,0.00123911333740992,0.0359640763945656,0.0340908766539684,0.036262564615376,3.59640763945656,3.40908766539684,3.6262564615376,14.5779772476476,0.532397497848273,14.7548057894151,14.0184221334468,14.9872281013459
0,1,"Cancer","dairy_tot",3676.54747747527,413.652464557742,3897.31466102369,3234.24522532903,3931.19762360535,0.0120334837344995,0.00130866375118007,0.0127595578903064,0.0106345881437582,0.012815216292805,1.27595578903064,1.06345881437582,1.2815216292805,5.0117550515259,0.563878160563573,5.31269800252507,4.40882239253643,5.35888620216609
0,1,"Cancer","leg_tot",2641.89164749396,203.868433169053,2527.35447046158,2521.3652017098,2859.77469375564,0.00865142882201415,0.000703809068465054,0.00827439621380453,0.00821935809697655,0.00940397726402993,0.827439621380453,0.821935809697655,0.940397726402993,3.60134443823485,0.27790710062673,3.44521092463373,3.43704653994794,3.89835582308272
0,2,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"CMD","leg_tot",1906.44238256191,128.918712654683,1974.01007121493,1768.59600433166,1986.85622543708,0.0382466151038009,0.00271958933261931,0.0393978008193977,0.0353536087199389,0.0401611136294056,3.93978008193977,3.53536087199389,4.01611136294056,15.0058028328404,1.01473236288428,15.5376350156917,13.9207999017975,15.6387484084599
0,2,"Cancer","dairy_tot",814.820372875199,76.175124034393,839.827915290856,734.812134081345,873.572200615745,0.0184206182275001,0.00151965129278051,0.0188688350775183,0.0168343480288793,0.0196259041036056,1.88688350775183,1.68343480288793,1.96259041036056,6.41353443009166,0.599582186423694,6.61037135223297,5.78378140564933,6.87597607071387
0,2,"Cancer","leg_tot",323.083256696282,28.9007658437822,312.597642805378,301.474419483652,353.604865716181,0.00730761603501643,0.000628064885627536,0.0071699063969644,0.0067803364393642,0.00795194882301288,0.71699063969644,0.67803364393642,0.795194882301288,2.5430213327829,0.227480881634146,2.46048799421079,2.37293596664457,2.78326003670752
0,3,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"CMD","leg_tot",853.225250067554,50.4060943202377,859.545116184678,802.936639190962,898.141974744591,0.0292891351592762,0.001670432764884,0.0296521115328043,0.0275763108041884,0.0306934295968651,2.96521115328043,2.75763108041884,3.06934295968651,4.46253607367524,0.263633799186473,4.49559021796625,4.1995167360337,4.69745938866943
0,3,"Cancer","dairy_tot",579.094548724445,25.9149037856297,591.198932490674,551.435082237412,596.465289010182,0.0171689390147164,0.000752970680152587,0.0175481107581002,0.0163640747552773,0.0176515072922793,1.75481107581002,1.63640747552773,1.76515072922793,3.02877852424892,0.135540049922385,3.09208683492319,2.88411406786155,3.11963091656315
0,3,"Cancer","leg_tot",216.745454723051,7.04787390409087,213.985429374534,211.619799167795,224.217131824547,0.00642632551999385,0.000213917213054347,0.00633159206293056,0.00627890572125363,0.00665426875723786,0.633159206293056,0.627890572125363,0.665426875723786,1.13362140938771,0.036861768375033,1.11918593331496,1.1068132214974,1.17269975193985
0,4,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,"CMD","leg_tot",436.166863220216,31.9105675771016,420.556101843215,415.341466684118,470.261406926766,0.030594299992603,0.00213464165087958,0.0294778985826243,0.0292607903280945,0.0328767508555934,2.94778985826243,2.92607903280945,3.28767508555934,3.43868120593681,0.251578646273167,3.31560805140797,3.2744965653473,3.70747802787582
0,4,"Cancer","dairy_tot",635.880404302461,52.9577243907088,624.739050481926,591.147717626989,690.083241725387,0.0208964075232427,0.00175189540319054,0.0207788123775,0.0192848992727313,0.0226078716476355,2.07788123775,1.92848992727313,2.26078716476355,5.01319604922482,0.417511615226874,4.9253591060226,4.66052953112589,5.44052396904563
0,4,"Cancer","leg_tot",199.338758203158,20.9117463400147,190.983984460289,184.250414741021,221.528659346733,0.00654831038463797,0.000657423290576306,0.00622364508989355,0.00612174232204543,0.00725084394776327,0.622364508989355,0.612174232204543,0.725084394776327,1.57156010520198,0.164865410893033,1.50569218658627,1.45260562363291,1.7465023175944
1,1,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"CMD","leg_tot",9053.43683126843,245.139097005618,9059.76424711478,8817.92372750586,9283.57163156161,0.0337401134362261,0.000827110772302862,0.033745092207333,0.0329522529015531,0.0345237420154584,3.3745092207333,3.29522529015531,3.45237420154584,11.4268645981482,0.309404187757839,11.4348507944933,11.1296099314464,11.7173309979566
1,1,"Cancer","dairy_tot",3455.00374189987,276.898301554669,3568.34765800901,3160.86230076081,3652.80285434617,0.00795178176007219,0.000621638361116653,0.00820560785467915,0.00729150416527357,0.00839630717445488,0.820560785467915,0.729150416527357,0.839630717445488,4.36075941993995,0.349489310887377,4.50381731127352,3.98950654843465,4.61041308381171
