"age","female","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,"Cancer","dairy_tot",89.555149159251,15.9552167248742,95.35294814901,72.7037404098171,101.47842876739,0.0203241262509357,0.00306058412992428,0.0216531263408914,0.0170651684962198,0.0224534339291893,2.16531263408914,1.70651684962198,2.24534339291893,0.262213986984777,0.0467162528331661,0.279189716500202,0.212873718826195,0.297124885055247
25,0,"Cancer","leg_tot",36.3994577189816,5.40458812087904,38.8636410272674,30.6350281873064,40.069331438614,0.00828991704606273,0.00124732917174933,0.00886838977984173,0.00695887791366629,0.00912925435474702,0.886838977984173,0.695887791366629,0.912925435474702,0.10657619379993,0.0158244234138475,0.113791226503164,0.0896981687574447,0.117321441044667
25,0,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"DIAB","leg_tot",28.0218231754922,3.36375407858402,26.9561234583907,25.401814257006,31.5476768535147,0.060457884994336,0.00843721118587205,0.0629406931690039,0.0516519908779377,0.0671533921622665,6.29406931690039,5.16519908779377,6.71533921622665,0.0820468063133054,0.00984894086450982,0.0789264790694434,0.0743755222955625,0.0923703684883308
25,0,"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"HHD","leg_tot",15.1786235213034,5.69140486179356,16.2096117275494,9.40056726821404,20.0803397990837,0.0360408453299808,0.0146801084077626,0.0373748014258694,0.0215710606543118,0.0493767673241445,3.73748014258694,2.15710606543118,4.93767673241445,0.0444424181951211,0.0166642116546715,0.047461111487824,0.0275244946433364,0.0587944524481085
25,0,"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"HSTK","leg_tot",23.1094184689651,2.48121422664355,23.6282130740973,20.570743269587,25.2071182539809,0.14726273131272,0.0105561834732876,0.144315593389153,0.13878442679869,0.158246103061782,14.4315593389153,13.878442679869,15.8246103061782,0.0676634767574504,0.00726489856853023,0.069182487145072,0.0602303346998723,0.0738054599855501
25,0,"IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"IHD","leg_tot",46.9290799749972,4.64954414357581,46.353697974192,42.7819899421078,51.565244708571,0.0616115765292909,0.00300385779777627,0.061186410251822,0.0589601268665134,0.0646244175279171,6.1186410251822,5.89601268665134,6.46244175279171,0.137406517450932,0.0136136840705914,0.135721821373858,0.125263999436976,0.150981027130402
25,0,"ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"ISTK","leg_tot",9.86140914055523,1.9677847022143,10.0531749836466,7.9171827199714,11.6426345945114,0.141414728285143,0.0391000957936564,0.140131225506944,0.104830138649578,0.179090295282177,14.0131225506944,10.4830138649578,17.9090295282177,0.0288738216876276,0.00576159692814227,0.0294353046035352,0.0231812024900886,0.0340891804066452
25,0,"OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"OSTK","leg_tot",6.02992205103443,1.26230485402842,5.78532803488579,4.95168973273273,7.31605928306247,0.144413490341625,0.0227995141352223,0.14212761029679,0.123807251632208,0.166962727089151,14.212761029679,12.3807251632208,16.6962727089151,0.0176553767935501,0.00369597942354427,0.0169392150455204,0.01449835458174,0.0214211364911856
25,0,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"Other_CVD","leg_tot",29.5560375467957,2.06710323725226,28.4077136162245,28.3225216339077,31.7656288006691,0.0293182233232129,0.00373310633823865,0.027717513884976,0.0267056571081838,0.0332913925607434,2.7717513884976,2.67056571081838,3.32913925607434,0.0865389262077566,0.00605239772852373,0.0831766784865267,0.0829272396820342,0.0930085232965244
25,1,"Cancer","dairy_tot",103.517645722739,4.81829323463239,103.509512250485,98.9437287667286,108.098476130165,0.0094481412965192,0.000217110518498162,0.00952266198679237,0.00921953801108906,0.00961340199521714,0.952266198679237,0.921953801108906,0.961340199521714,0.311635496556154,0.0145052681042377,0.311611011081751,0.297865912908447,0.325425892857103
25,1,"Cancer","leg_tot",68.4762830872993,6.95677396176541,70.0435192783903,61.3282739570815,74.2921414550897,0.00624562789605516,0.000510677463440229,0.00653119611269451,0.00569980211956727,0.00654872068839959,0.653119611269452,0.569980211956727,0.654872068839959,0.206144955608691,0.0209430739355335,0.21086305391185,0.184626176282414,0.223653351377283
25,1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"DIAB","leg_tot",21.0474029785047,6.09725479700811,22.4781463975956,14.7678094952548,26.1108645555274,0.0610611041529629,0.0195069971366165,0.0666443348770002,0.0407349002499588,0.0766415619405353,6.66443348770002,4.07349002499588,7.66415619405353,0.0633623169521425,0.0183555278235779,0.0676695095350096,0.0444578662214445,0.0786056539874036
25,1,"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
