"race","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"direct","Cancer","dairy_tot",7131.55121937514,419.38516758054,7036.7303640346,6781.14628558813,7562.55388020162,0.00963792746513848,0.000545005633067868,0.00952375944178466,0.00917728486741527,0.0101956128827124,0.952375944178466,0.917728486741527,1.01956128827124,4.67373348753287,0.274848268153852,4.61159169070785,4.44409210617564,4.95619539619135
1,"direct","Cancer","leg_tot",1931.24134369559,51.6052317752061,1915.45629778489,1890.67639798889,1985.22357842639,0.00261027525877828,7.41054740290297e-05,0.0025924462154459,0.00254899748829376,0.00268670771609532,0.25924462154459,0.254899748829376,0.268670771609532,1.26565834877772,0.0338200052780114,1.25531346091171,1.23907370550203,1.30103614673951
1,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","HSTK","leg_tot",1347.35709426518,47.8433063088199,1364.73606371631,1296.82742758837,1383.11463690853,0.0550549693595179,0.00204444241434237,0.0555991744183168,0.0529337729664678,0.056713591452589,5.55991744183168,5.29337729664678,5.6713591452589,0.883003960488122,0.0313545897619475,0.894393442103548,0.849888837565122,0.906438024038011
1,"direct","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","IHD","leg_tot",4388.0943291415,318.881780092595,4396.49287324089,4081.66606832653,4687.38382747198,0.015333598083717,0.00112572856197094,0.0153930228708197,0.0142400185227852,0.0163766665756115,1.53930228708197,1.42400185227852,1.63766665756115,2.87578154901882,0.208982366996648,2.88128561897448,2.67496072055636,3.07192391801896
1,"direct","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","ISTK","leg_tot",1425.45600074747,151.867930074681,1360.8912180679,1318.756134935,1587.03593183759,0.0444073609173584,0.00509469652431186,0.0421747585767213,0.0408783450002652,0.0498340888239931,4.21747585767213,4.08783450002652,4.98340888239931,0.934186860720868,0.0995281683659462,0.891873684016058,0.86426003545904,1.04007988618178
1,"direct","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
