"race","disease_type3","riskfactor","V1","V2","V3"
1,"All_HD","dairy_tot",0,0,0
1,"All_STK","dairy_tot",0,0,0
1,"Cancer","dairy_tot",0.0102309735901297,0.00915904936350109,0.00952375944178466
1,"DIAB","dairy_tot",0,0,0
1,"Other_CVD","dairy_tot",0,0,0
2,"All_HD","dairy_tot",0,0,0
2,"All_STK","dairy_tot",0,0,0
2,"Cancer","dairy_tot",0.0148304540267504,0.0150710216507138,0.0161585860936875
2,"DIAB","dairy_tot",0,0,0
2,"Other_CVD","dairy_tot",0,0,0
3,"All_HD","dairy_tot",0,0,0
3,"All_STK","dairy_tot",0,0,0
3,"Cancer","dairy_tot",0.0119630915708014,0.0122928694411731,0.0124588616171168
3,"DIAB","dairy_tot",0,0,0
3,"Other_CVD","dairy_tot",0,0,0
4,"All_HD","dairy_tot",0,0,0
4,"All_STK","dairy_tot",0,0,0
4,"Cancer","dairy_tot",0.0147776722696685,0.0132981470640279,0.0148213639165822
4,"DIAB","dairy_tot",0,0,0
4,"Other_CVD","dairy_tot",0,0,0
1,"All_HD","leg_tot",0.032077069472893,0.028742898237225,0.0300623478321799
1,"All_STK","leg_tot",0.0623577426234601,0.0660129848417132,0.0596065049210857
1,"Cancer","leg_tot",0.00829987675036101,0.00809382704533101,0.00827822010781827
1,"DIAB","leg_tot",0.0360644987361907,0.0399054272928926,0.0386464884448476
1,"Other_CVD","leg_tot",0.0129224135850184,0.0145485955215676,0.0128541250607017
2,"All_HD","leg_tot",0.0289903579645773,0.0284678987951603,0.0354318598684137
2,"All_STK","leg_tot",0.0646263377283126,0.068320355490828,0.0763498756719483
2,"Cancer","leg_tot",0.0071244915134037,0.00770428112630017,0.00697583139359376
2,"DIAB","leg_tot",0.0367538919361806,0.0356902928357828,0.0347614555355665
2,"Other_CVD","leg_tot",0.0166239831114216,0.0157681715141499,0.0149880293340872
3,"All_HD","leg_tot",0.026738266249806,0.0244854040701784,0.0220198138775252
3,"All_STK","leg_tot",0.0489778173016114,0.0563702292239619,0.0577637655925173
3,"Cancer","leg_tot",0.00638782508213288,0.00661049920177717,0.00646387097614884
3,"DIAB","leg_tot",0.0300863317420418,0.0305925165542976,0.0309363807666593
3,"Other_CVD","leg_tot",0.0129714104240495,0.013827198195988,0.0121415766423622
4,"All_HD","leg_tot",0.0237563140574676,0.0260669256319609,0.0277343325268193
4,"All_STK","leg_tot",0.0494568709700098,0.0573890885603453,0.061839947535915
4,"Cancer","leg_tot",0.00687774390156381,0.0063682839309376,0.00713817768693541
4,"DIAB","leg_tot",0.031216671142225,0.0326618441967903,0.0272614720907768
4,"Other_CVD","leg_tot",0.0115530377972231,0.0138444238068198,0.0134296621712609
