"outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"ENDO","leg_tot",32.2493635351757,1.73802979021795,32.6336316940733,30.4654706781727,33.7066284571158,0.0186167688289117,0.000713127815642837,0.0183261745138466,0.0181063875241898,0.019374155301439,1.83261745138466,1.81063875241898,1.9374155301439,0.0131695604179313,0.000709753180259628,0.0133264826694285,0.0124410782966084,0.0137646586254816
"GC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GC","leg_tot",43.5771595896562,1.24703346327806,43.4124954705863,42.4702314907039,44.8240521898178,0.0104159084396155,0.000758785410554607,0.0100105573847822,0.0099491191200248,0.0112272461558147,1.00105573847822,0.99491191200248,1.12272461558147,0.017795453092643,0.000509246717998309,0.0177282097790691,0.0173434207149635,0.0183046422868604
"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHD","leg_tot",1453.95403864688,197.905933347331,1412.15273037657,1286.88111815353,1656.55807116999,0.0284996240799043,0.00394400130675115,0.0275256974951935,0.0252534224878423,0.0325736632689706,2.75256974951935,2.52534224878423,3.25736632689706,0.593746153655711,0.0808181576495896,0.576675898789629,0.52551916622269,0.676482857724902
"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSTK","leg_tot",2442.29247709459,61.4288355254322,2410.27024277571,2403.82984318158,2507.97401017864,0.0709944800686231,0.00141046577801608,0.0706211808145837,0.0698488616647514,0.0724574028384284,7.06211808145837,6.98488616647514,7.24574028384284,0.997350484150603,0.0250854799032838,0.984273675700737,0.981643632119319,1.02417262336427
"IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IHD","leg_tot",10922.9748897107,480.451674453495,11191.4538660538,10409.4495995599,11208.2930499697,0.0300177667589536,0.00136366474223215,0.0307953262171042,0.0285607896406276,0.0308138183378516,3.07953262171042,2.85607896406276,3.08138183378516,4.46057726369351,0.196200379201596,4.57021508944591,4.25087072708545,4.57709164841202
"ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISTK","leg_tot",2461.69354347519,86.1173806225374,2431.05783988762,2396.88155911509,2552.54587588471,0.0575990228401377,0.00221854559100092,0.056663981026353,0.0560342074231004,0.059958623798892,5.6663981026353,5.60342074231004,5.9958623798892,1.00527323014815,0.0351674551935096,0.992762634430428,0.978806185522433,1.04237428113392
"KC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KC","leg_tot",906.208128710747,17.7183649390117,915.973430851127,887.26653663441,916.849213967762,0.0139686434511528,0.000396446394740759,0.0140216378762353,0.0135720289173864,0.0143202127235991,1.40216378762353,1.35720289173864,1.43202127235991,0.370065061571196,0.00723558706257112,0.374052884040834,0.362329949497153,0.374410524546047
"LC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LC","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC","leg_tot",464.561634447381,22.232465970523,476.62979373065,440.791057297104,478.074276206878,0.0129033604941067,0.000565736353296857,0.013200675682853,0.0122984425109072,0.0132555605668718,1.3200675682853,1.22984425109072,1.32555605668718,0.189711418832637,0.00907899479997627,0.194639651063977,0.180004310920005,0.195229529348631
"MLPC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MLPC","leg_tot",2386.49062239475,82.7458875624875,2375.22924186627,2313.21602426021,2469.33739397849,0.0399337882862859,0.00142056148397042,0.0399117495778179,0.0385937431386716,0.0412925663360978,3.99117495778179,3.85937431386716,4.12925663360978,0.974562874835444,0.0337906502992197,0.969964104038081,0.944639982057114,1.00839472279153
"MMC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMC","leg_tot",111.415829875437,6.24366548123477,111.33523711088,105.518970206433,117.381193394314,0.00434976111814484,0.000284153757286165,0.00438724317878513,0.0040656523181215,0.00460201016662392,0.438724317878513,0.40656523181215,0.460201016662392,0.0454984949224836,0.00254970395601098,0.0454655835355372,0.0430904148497621,0.0479345496741096
"OC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OC","leg_tot",57.5113152457361,1.65169882305784,58.4518060545788,55.7465400254686,58.4766732784873,0.00284265121577609,0.000104850797135236,0.00287376778843139,0.00273316439147883,0.00292568895331634,0.287376778843139,0.273316439147883,0.292568895331634,0.0234856957724853,0.000674498503474659,0.0238697607329008,0.0227650206539816,0.0238799156746357
"OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","leg_tot",4353.72715600858,269.365945909238,4237.48714820188,4165.77320732691,4640.48511132594,0.0617604123777139,0.00372659478556424,0.0596203125490141,0.0595985755325045,0.0657413340773181,5.96203125490141,5.95985755325045,6.57413340773181,1.77791641567449,0.11000003442907,1.73044788798955,1.70116231538808,1.89501876449311
"OTH","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","leg_tot",548.085731853747,95.9467171689344,513.07024963887,476.490123419494,649.444500170645,0.0135972382901536,0.00247105189472559,0.0126798804239828,0.0117642496914606,0.0162099810750917,1.26798804239828,1.17642496914606,1.62099810750917,0.223819863979052,0.0391814271708096,0.209520713296936,0.194582614384808,0.265211391653095
"PC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","leg_tot",272.225140415637,23.9521987748004,260.023714857284,256.990126978876,297.831365577,0.00510378994900508,0.000465472876595459,0.00485412554213356,0.00481829934564564,0.0056014952982053,0.485412554213356,0.481829934564564,0.56014952982053,0.11116763374487,0.00978127610372747,0.106184980028298,0.104946164297742,0.121624358851085
"PVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVD","leg_tot",101.169722423362,2.14687777201243,101.25780619046,99.094040822064,103.170532822626,0.0134120909612408,0.000324384614388498,0.0134223100530166,0.0130996971732453,0.0137157985212268,1.34223100530166,1.30996971732453,1.37157985212268,0.041314327660034,0.000876713008540229,0.0413502981216332,0.0404666887840959,0.0421313916436129
"RHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHD","leg_tot",48.1033777738058,0.927992652617649,47.9517422696929,47.2951014611847,49.0405442649228,0.0134664243114772,4.68714879571314e-05,0.0134460484250364,0.0134338322472002,0.0135163358792287,1.34460484250364,1.34338322472002,1.35163358792287,0.0196438090695255,0.000378961131828672,0.0195818862061258,0.0193137360830669,0.020026516489874
"SCC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCC","leg_tot",97.5866853386442,13.5128364840329,100.532219417271,83.7284507066198,108.941216003835,0.0122021621054151,0.00177731055623556,0.0125866976813201,0.0103801933417357,0.0136972756295752,1.25866976813201,1.03801933417357,1.36972756295752,0.0398511352681778,0.00551819003497517,0.0410539927747839,0.0341918961928625,0.0444879454628778
"SCNC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNC","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC","leg_tot",158.297112347438,17.9751237670197,153.167943494256,143.930261706905,177.023756513177,0.00329552066646491,0.000350251729744907,0.00320857612574193,0.00300751271375702,0.00365743147878734,0.320857612574193,0.300751271375702,0.365743147878734,0.0646432411842727,0.00734043877211264,0.0625486603398453,0.0587763003586179,0.0722905757276907
"UC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UC","leg_tot",1441.35726614642,79.7497790989687,1472.29743326447,1356.84975042444,1499.56563981808,0.0246432091692536,0.00130855375470149,0.0251172706648923,0.0232613748727322,0.025622091194482,2.51172706648923,2.32613748727322,2.5622091194482,0.588602053483479,0.032567139906962,0.60123698191416,0.554092013220015,0.612372404580864
