"age","female","disease_type2","X1","X2","X3"
25,1,"Other_CVD",681.337156910913,704.170088844214,661.823806357149
25,0,"Other_CVD",951.097054682878,1021.66586667479,1065.85943591758
35,1,"Other_CVD",992.587855607136,1009.50751276991,971.599609805413
35,0,"Other_CVD",1715.14787547609,1708.78954563597,1600.59500815454
45,1,"Other_CVD",1800.36787006446,1805.59246716795,1873.48428681078
45,0,"Other_CVD",3166.55856006222,3264.78142775469,3287.14308981094
55,1,"Other_CVD",4075.35176548627,4032.94712157145,4073.56730086893
55,0,"Other_CVD",7053.33522392161,6918.94565798833,7018.13598973156
65,1,"Other_CVD",7539.63007908386,7450.65799669275,7591.88199527783
65,0,"Other_CVD",10019.4671288679,10251.2812691712,10051.5556051235
75,1,"Other_CVD",43142.7840895897,42807.4414310194,42934.9270455003
75,0,"Other_CVD",29032.5777849751,29202.5089429003,29157.1937082774
25,1,"Cancer",10724.4550722108,11377.070896263,10761.863064173
25,0,"Cancer",4525.37493558398,4403.65731247494,4250.65172738523
35,1,"Cancer",18772.9362928568,18301.4079488733,18920.0069998805
35,0,"Cancer",11255.9631054044,10757.8930001369,10650.5718233301
45,1,"Cancer",59846.8074532783,60094.5870471146,59098.416899718
45,0,"Cancer",37239.0423007989,37579.3059958186,36943.4660460976
55,1,"Cancer",178306.614860337,177633.766082724,176953.09624931
55,0,"Cancer",120264.361915864,119130.301378139,120026.578106063
65,1,"Cancer",176104.90551796,175748.349609598,176573.263869532
65,0,"Cancer",130069.243763018,130602.16348819,132237.773896574
75,1,"Cancer",154424.333015079,155173.564825251,154550.824046333
75,0,"Cancer",110830.079130307,110559.724236998,110089.456921064
25,1,"DIAB",364.78404479044,340.842728421716,337.285178688956
25,0,"DIAB",495.90825265857,471.826110067184,428.278147271274
35,1,"DIAB",745.749618746,740.975164163339,735.695839892225
35,0,"DIAB",1303.43946385613,1301.78523699396,1306.65852177419
45,1,"DIAB",2040.36698283026,2036.93112638265,2097.90327711924
45,0,"DIAB",3577.9192248076,3639.56639262658,3575.75201387346
55,1,"DIAB",4850.51616054787,4712.81362451392,4680.10078683602
55,0,"DIAB",8418.66061921697,8406.06847002148,8310.04444380188
65,1,"DIAB",7394.65858702633,7540.20138644876,7447.6365837328
65,0,"DIAB",11166.9255244123,11164.2104032934,11193.5512680004
75,1,"DIAB",16488.2760380213,16159.7710606081,16308.0171139504
75,0,"DIAB",15974.1701031671,16018.4649058292,15816.3011918963
25,1,"HHD",150.92663478567,178.059656669912,137.232758187215
25,0,"HHD",405.612700147423,433.70429030105,435.993650881942
35,1,"HHD",495.575379126604,504.248193659026,508.687033355335
35,0,"HHD",1205.62648780337,1225.18430042824,1248.7990107549
45,1,"HHD",1345.68895100936,1285.33652301826,1331.58857029619
45,0,"HHD",3013.80489399316,2887.97890467298,3032.92240828718
55,1,"HHD",2673.47587725009,2695.03791026271,2747.56192553107
55,0,"HHD",5447.00415654344,5506.76123379317,5524.43656545881
65,1,"HHD",3185.0887249566,3183.71833687448,3117.6919886264
65,0,"HHD",5331.7499549985,5274.17650234258,5257.0977232408
75,1,"HHD",17286.6681387229,17654.3412476898,17256.8453236145
75,0,"HHD",10294.7943393047,10474.520901495,10339.9742092122
25,1,"HSTK",117.700955698493,113.83563540968,110.277369379457
25,0,"HSTK",163.725987741206,147.370464308546,159.078700625341
35,1,"HSTK",473.280044175989,466.557310929338,459.659304264206
35,0,"HSTK",594.412348801384,590.203827804435,589.372135589517
45,1,"HSTK",1200.35913860631,1280.14145085305,1253.11691881197
45,0,"HSTK",1487.21066343795,1555.96031592363,1517.52056498418
55,1,"HSTK",2245.48245773325,2280.43369015609,2381.80358181942
55,0,"HSTK",2645.93885529748,2676.9504129162,2811.49330418224
65,1,"HSTK",3314.25752337626,3361.79474491707,3362.64094129366
65,0,"HSTK",3429.13931785429,3435.21814791575,3514.80481252122
75,1,"HSTK",10884.4057720388,10971.3207090643,11033.4995217539
75,0,"HSTK",7573.65281015488,7550.12864733684,7444.58488357034
25,1,"IHD",241.322887160226,262.923518341435,233.127733298272
25,0,"IHD",799.926617472912,757.581590150758,723.859058261313
35,1,"IHD",1116.92246063358,1115.75954210319,1126.48000112626
35,0,"IHD",3260.12436802892,3368.03280652596,3312.00840252057
45,1,"IHD",4798.84795014788,4671.00278461466,4655.01724150199
45,0,"IHD",13430.081512214,13544.4375310806,13583.6537087413
55,1,"IHD",13361.6584389943,13301.1866140224,13219.2223765157
55,0,"IHD",36540.0132456465,36478.6503739781,36333.2493164625
65,1,"IHD",23624.4438432631,23761.5360357259,23709.971039297
65,0,"IHD",50111.1468578009,49917.4291661986,49966.1541552473
75,1,"IHD",107504.397548115,106186.385220306,106590.034937147
75,0,"IHD",108970.813366733,111161.495080407,109961.260483478
25,1,"ISTK",71.5341985720063,68.9031358119454,60.9029755373937
25,0,"ISTK",71.7411479652579,75.7948561053364,64.7357863869166
35,1,"ISTK",121.212512391771,114.555656038869,133.586799281237
35,0,"ISTK",186.890768294947,195.503973454165,209.445341383307
45,1,"ISTK",408.078814745269,353.612958070879,415.913529312067
45,0,"ISTK",543.279268355458,534.8283525859,508.437030436561
55,1,"ISTK",1148.37432138814,1145.57821865013,1128.00561651009
55,0,"ISTK",1694.21114148113,1704.10087177362,1642.09302307396
65,1,"ISTK",2686.47579163586,2640.95066776401,2626.97236595677
65,0,"ISTK",3125.65098334699,3075.75778855256,3051.72198333296
75,1,"ISTK",21240.1266030725,21164.4559028855,21335.9266118668
75,0,"ISTK",11470.9496469971,11481.3170687164,11725.3129732594
25,1,"OSTK",46.6179894410612,50.8800736169569,55.066751813432
25,0,"OSTK",43.9569215229856,40.7051664543216,39.9519154085778
35,1,"OSTK",170.04687406793,165.317403164717,161.087147355039
