"race","pathway","disease_type","riskfactor","V1","V2","V3"
1,"direct","CMD","dairy_tot",0,0,0
1,"medBMI","CMD","dairy_tot",0,0,0
1,"medSBP","CMD","dairy_tot",0,0,0
2,"direct","CMD","dairy_tot",0,0,0
2,"medBMI","CMD","dairy_tot",0,0,0
2,"medSBP","CMD","dairy_tot",0,0,0
3,"direct","CMD","dairy_tot",0,0,0
3,"medBMI","CMD","dairy_tot",0,0,0
3,"medSBP","CMD","dairy_tot",0,0,0
4,"direct","CMD","dairy_tot",0,0,0
4,"medBMI","CMD","dairy_tot",0,0,0
4,"medSBP","CMD","dairy_tot",0,0,0
1,"direct","Cancer","dairy_tot",7590.22880210514,6767.69449198569,7036.7303640346
1,"medBMI","Cancer","dairy_tot",0,0,0
1,"medSBP","Cancer","dairy_tot",0,0,0
2,"direct","Cancer","dairy_tot",1631.51285498973,1660.1947681685,1795.78881193556
2,"medBMI","Cancer","dairy_tot",0,0,0
2,"medSBP","Cancer","dairy_tot",0,0,0
3,"direct","Cancer","dairy_tot",1051.88367932388,1078.06962461081,1088.76874192285
3,"medBMI","Cancer","dairy_tot",0,0,0
3,"medSBP","Cancer","dairy_tot",0,0,0
4,"direct","Cancer","dairy_tot",1071.94983088188,992.001551585883,1091.90505673958
4,"medBMI","Cancer","dairy_tot",0,0,0
4,"medSBP","Cancer","dairy_tot",0,0,0
1,"direct","CMD","leg_tot",10075.871416771,9993.67809291654,9620.45163833506
1,"medBMI","CMD","leg_tot",10043.3812475252,9814.8941273062,9694.58285382946
1,"medSBP","CMD","leg_tot",0,0,0
2,"direct","CMD","leg_tot",1650.92547675063,1683.06005872972,2080.67006672903
2,"medBMI","CMD","leg_tot",1739.00606914611,1770.40539491606,1872.5163333688
2,"medSBP","CMD","leg_tot",0,0,0
3,"direct","CMD","leg_tot",790.954350860836,791.722864543385,796.322982811476
3,"medBMI","CMD","leg_tot",816.420540250688,844.312531281727,777.9146499203
3,"medSBP","CMD","leg_tot",0,0,0
4,"direct","CMD","leg_tot",405.337375453282,461.11437047903,527.958411987233
4,"medBMI","CMD","leg_tot",362.94459952675,402.502204171304,371.68538989621
4,"medSBP","CMD","leg_tot",0,0,0
1,"direct","Cancer","leg_tot",1889.37219273647,1988.89554056542,1915.45629778489
1,"medBMI","Cancer","leg_tot",4268.20049665941,3991.69770004496,4200.99415950751
1,"medSBP","Cancer","leg_tot",0,0,0
2,"direct","Cancer","leg_tot",175.397928571082,234.160458264207,192.8983209291
2,"medBMI","Cancer","leg_tot",608.374400207063,614.528337679303,582.36257739036
2,"medSBP","Cancer","leg_tot",0,0,0
3,"direct","Cancer","leg_tot",99.2735912655219,122.19169176045,123.81972332223
3,"medBMI","Cancer","leg_tot",462.391335438806,457.541008326691,441.052163607182
3,"medSBP","Cancer","leg_tot",0,0,0
4,"direct","Cancer","leg_tot",145.908458128918,129.042764025902,143.054899830049
4,"medBMI","Cancer","leg_tot",352.992605421034,346.011956756836,382.821959825911
4,"medSBP","Cancer","leg_tot",0,0,0
