"age","female","race","pathway","riskfactor","V1","V2","V3"
45,1,4,"medBMI","dairy_tot",0,0,0
45,1,4,"medSBP","dairy_tot",0,0,0
55,1,1,"direct","dairy_tot",656.607815942229,726.815790532838,754.79999577102
55,1,1,"medBMI","dairy_tot",0,0,0
55,1,1,"medSBP","dairy_tot",0,0,0
55,1,2,"direct","dairy_tot",226.172396102647,225.296999722649,317.646967777551
55,1,2,"medBMI","dairy_tot",0,0,0
55,1,2,"medSBP","dairy_tot",0,0,0
55,1,3,"direct","dairy_tot",139.140738312451,101.344964177843,141.771954784883
55,1,3,"medBMI","dairy_tot",0,0,0
55,1,3,"medSBP","dairy_tot",0,0,0
55,1,4,"direct","dairy_tot",171.063431458259,151.747369034037,156.063907773406
55,1,4,"medBMI","dairy_tot",0,0,0
55,1,4,"medSBP","dairy_tot",0,0,0
65,1,1,"direct","dairy_tot",909.846931481368,945.986542571902,851.871661965223
65,1,1,"medBMI","dairy_tot",0,0,0
65,1,1,"medSBP","dairy_tot",0,0,0
65,1,2,"direct","dairy_tot",148.569541344731,213.448427762552,185.247144429587
65,1,2,"medBMI","dairy_tot",0,0,0
65,1,2,"medSBP","dairy_tot",0,0,0
65,1,3,"direct","dairy_tot",86.0279279518805,122.705917438774,143.366319414014
65,1,3,"medBMI","dairy_tot",0,0,0
65,1,3,"medSBP","dairy_tot",0,0,0
65,1,4,"direct","dairy_tot",75.4099892951022,71.5061539790742,79.3588487925263
65,1,4,"medBMI","dairy_tot",0,0,0
65,1,4,"medSBP","dairy_tot",0,0,0
75,1,1,"direct","dairy_tot",1517.27746587685,1321.08421830223,1059.19276258342
75,1,1,"medBMI","dairy_tot",0,0,0
75,1,1,"medSBP","dairy_tot",0,0,0
75,1,2,"direct","dairy_tot",342.53176882568,202.864637440262,235.548535739816
75,1,2,"medBMI","dairy_tot",0,0,0
75,1,2,"medSBP","dairy_tot",0,0,0
75,1,3,"direct","dairy_tot",74.3764754792222,96.151004612131,105.588756973169
75,1,3,"medBMI","dairy_tot",0,0,0
75,1,3,"medSBP","dairy_tot",0,0,0
75,1,4,"direct","dairy_tot",81.5455168347395,79.1485756318425,61.1601683848433
75,1,4,"medBMI","dairy_tot",0,0,0
75,1,4,"medSBP","dairy_tot",0,0,0
25,0,1,"direct","leg_tot",39.7392688301114,37.6464695009742,42.1801148764591
25,0,1,"medBMI","leg_tot",61.9220917599458,67.1503296898132,61.9332130941166
25,0,1,"medSBP","leg_tot",0,0,0
25,0,2,"direct","leg_tot",16.0346943582056,13.4469866593561,16.7930496923553
25,0,2,"medBMI","leg_tot",48.571367516479,30.1862742389683,26.3332684328606
25,0,2,"medSBP","leg_tot",0,0,0
25,0,3,"direct","leg_tot",16.4027881590186,9.40915664392005,11.4450986892135
25,0,3,"medBMI","leg_tot",13.4180472957925,14.9914434160983,12.996489379843
25,0,3,"medSBP","leg_tot",0,0,0
25,0,4,"direct","leg_tot",7.64410202761063,7.68990299462805,9.80431748259318
25,0,4,"medBMI","leg_tot",6.86440968434972,6.35197917845403,6.30245119320792
25,0,4,"medSBP","leg_tot",0,0,0
35,0,1,"direct","leg_tot",106.672111366583,188.608714165205,134.853157076452
35,0,1,"medBMI","leg_tot",188.332638724607,177.931950603386,167.257302993827
35,0,1,"medSBP","leg_tot",0,0,0
35,0,2,"direct","leg_tot",74.7626134201369,55.5799106333621,48.1938354685815
35,0,2,"medBMI","leg_tot",102.122574915246,120.90288854547,90.5192489599328
35,0,2,"medSBP","leg_tot",0,0,0
35,0,3,"direct","leg_tot",29.7674233082342,34.32243705892,36.5501286757138
35,0,3,"medBMI","leg_tot",41.2531848310891,39.7753188776678,44.3167204127491
35,0,3,"medSBP","leg_tot",0,0,0
35,0,4,"direct","leg_tot",14.690234871432,14.4807804272371,10.0130656483292
35,0,4,"medBMI","leg_tot",15.922099887223,22.3419594845285,17.6514280954468
35,0,4,"medSBP","leg_tot",0,0,0
45,0,1,"direct","leg_tot",503.261834307146,671.17508468377,540.864214676161
45,0,1,"medBMI","leg_tot",704.085272199071,618.402761612199,571.496525847057
45,0,1,"medSBP","leg_tot",0,0,0
45,0,2,"direct","leg_tot",212.33713837934,148.351061246592,126.805938010937
45,0,2,"medBMI","leg_tot",212.541605516734,188.160786623367,148.490414916147
45,0,2,"medSBP","leg_tot",0,0,0
45,0,3,"direct","leg_tot",78.1669555384325,56.8659125840011,54.439330076184
45,0,3,"medBMI","leg_tot",103.300088807314,66.1704319837379,85.8525196281116
45,0,3,"medSBP","leg_tot",0,0,0
45,0,4,"direct","leg_tot",50.2785590905942,71.4787795695058,74.7575243585212
45,0,4,"medBMI","leg_tot",46.1503354205193,62.1477286212243,64.5555335420996
