"age","pathway","disease_type","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"direct","CMD","leg_tot",91.7551229932978,5.27510160346215,89.6804991420886,87.9251207602968,97.3485554998267,0.0199807553332856,0.00148884003466788,0.0194695506489083,0.0188475974277465,0.0215484372205455,1.94695506489083,1.88475974277465,2.15484372205455,0.136193797024384,0.00782992920316183,0.133114395128599,0.130508855086457,0.144496230573729
25,"direct","Cancer","dairy_tot",193.07279488199,15.7142390355253,200.504246856993,176.295341983177,203.53351360205,0.0125713404156197,0.000799744856831133,0.0129077027371341,0.0117208199956336,0.0131359528623187,1.29077027371341,1.17208199956336,1.31359528623187,0.286581459206469,0.0233249306608561,0.297612098465205,0.26167838088076,0.302108494162251
25,"direct","Cancer","leg_tot",34.1681286177481,6.52444752884246,37.5189484173969,27.1926297440226,38.2954306617722,0.0022342077256985,0.000474710790929982,0.00246028633750143,0.00172729277527566,0.00254895585608885,0.246028633750143,0.172729277527566,0.254895585608885,0.0507163744307612,0.00968435607136966,0.0556900571720724,0.0403625146487697,0.0568426038826381
25,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","CMD","leg_tot",163.028304303741,12.0418470504967,169.842057492377,150.160370423357,170.104547973784,0.0354515555569683,0.00210663897111429,0.0363822798545656,0.0332069741031857,0.0369050213577933,3.63822798545656,3.32069741031857,3.69050213577933,0.241985875679062,0.0178739324791033,0.25209965340039,0.222885767501384,0.252489272793612
25,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","Cancer","leg_tot",70.7076121885328,8.50511671229635,72.6573596896783,61.9599417126476,77.7979972884443,0.00460042267799287,0.000451611419225262,0.00476447013852221,0.00412345356584749,0.0049379514486883,0.476447013852221,0.412345356584749,0.49379514486883,0.104952594125859,0.0126242993458556,0.107846639785187,0.0919682678194588,0.115476981621832
25,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"direct","CMD","leg_tot",334.22364234356,28.6141678492084,326.5371982917,311.052723635138,363.928038496063,0.0265368546944334,0.002082768565354,0.0260341361077143,0.0248155906320514,0.0286854295555268,2.60341361077143,2.48155906320514,2.86854295555268,0.817974614780201,0.0700299439010145,0.799162911130923,0.761266408347747,0.890672769314542
35,"direct","Cancer","dairy_tot",537.023813746964,29.0932215884395,542.989581367523,507.289101740465,561.687623275989,0.018167565868803,0.000821193254938955,0.0180822338563286,0.017426863685873,0.0189808002623362,1.80822338563286,1.7426863685873,1.89808002623362,1.3143051284383,0.071202373819673,1.32890567086874,1.24153277927541,1.3746670165353
35,"direct","Cancer","leg_tot",74.8948487099718,17.4305110591818,68.3209424633192,62.0379439887398,93.3395737408586,0.00254090552515983,0.000633475819756805,0.00231043642641491,0.0020677044866957,0.00321000529755714,0.231043642641491,0.20677044866957,0.321000529755714,0.183296683002417,0.0426592070778772,0.167207789972583,0.15183086085748,0.228438064222712
35,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"medBMI","CMD","leg_tot",423.810477785577,41.2432652289178,443.954643067938,379.745807584417,450.752607496731,0.0336548974235956,0.00315980007961544,0.0354196871955095,0.0302775536251462,0.035532169915918,3.54196871955095,3.02775536251462,3.5532169915918,1.03722827588038,0.100938233307934,1.08652884516796,0.929384972574621,1.10316609529169
35,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"medBMI","Cancer","leg_tot",191.194739587071,17.0216869348728,195.905269731188,173.493428465016,204.892100086626,0.00647491628951412,0.000646007572546286,0.006741568562676,0.0057884325656063,0.00693474558123434,0.6741568562676,0.57884325656063,0.693474558123434,0.467927530096671,0.0416586562094537,0.479456020579951,0.424605570451207,0.501450272831346
35,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"direct","CMD","leg_tot",999.418299862485,40.2208572213184,1006.69751284067,958.587061857767,1034.06220683575,0.0260289241028424,0.00102732457387397,0.0261077314099183,0.0250216287087237,0.0269692332859466,2.61077314099183,2.50216287087237,2.69692332859466,2.55562662876977,0.10284932121104,2.57424040693062,2.45121649424967,2.64421505185315
45,"direct","Cancer","dairy_tot",1406.02232272223,152.666238138399,1421.73580776971,1254.88849272428,1543.79969042983,0.0144993753022693,0.0014972709469626,0.0145559449252707,0.0130536874311078,0.0158969789938796,1.45559449252707,1.30536874311078,1.58969789938796,3.59535950971488,0.39038499050326,3.63554068392757,3.20889306167817,3.94767195967081
45,"direct","Cancer","leg_tot",280.851727545337,33.8848470264433,297.287943830312,244.653705039204,303.07896620924,0.00289557445777226,0.000327277438659995,0.00306211404219416,0.00254570048263197,0.00310388978615392,0.306211404219416,0.254570048263197,0.310388978615392,0.718169913188116,0.0866474201888079,0.760199193640438,0.62560743935888,0.775007498632877
45,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"medBMI","CMD","leg_tot",1120.98368185017,54.2958203620011,1106.60264346677,1076.88989457998,1177.30135174627,0.029196996076187,0.00145798190782841,0.0286986748498191,0.028085767079878,0.0307317981149089,2.86986748498191,2.8085767079878,3.07317981149089,2.8664831814135,0.138840607948766,2.8297092253562,2.75373033615688,3.01049388931882
45,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"medBMI","Cancer","leg_tot",644.15171611539,48.4325212268655,657.165418734759,593.873050957914,683.368734046402,0.00664275238065913,0.000444514158942521,0.00676891040660805,0.00617980100830731,0.00699846943095438,0.676891040660805,0.617980100830731,0.699846943095438,1.64716943736046,0.123847483043752,1.68044695985282,1.51860115363669,1.74745182696572
45,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
