"race","outcome","X1","X2","X3"
1,"AA",7785.97883914218,7696.78746643487,7958.65665953418
2,"AA",1141.56824682315,1143.64695643625,1124.44815784143
3,"AA",534.029897387248,611.208608822823,536.869651881815
4,"AA",394.920545872097,396.68210312699,393.432872994919
1,"AFF",22892.7888250069,22837.7989709805,22847.9928631696
2,"AFF",1446.70430652385,1470.0550930724,1569.79583350168
3,"AFF",1030.69194301232,1030.2256902784,1062.76108767057
4,"AFF",594.134389054926,592.011949190127,539.770796369112
1,"APCA",35977.6405898624,36346.2354243029,35547.4107291431
2,"APCA",6479.94791733983,6428.18517880666,6324.85321653501
3,"APCA",3739.78844124424,3831.8553648745,3795.81368117594
4,"APCA",2723.77412313143,2988.33482993723,2777.48496288109
1,"BC",162862.696401308,162994.392988668,160936.258238801
2,"BC",22679.6521522604,22273.6066780155,23369.3343566487
3,"BC",17070.7894702048,17403.2231710145,17478.9167180948
4,"BC",15561.1762124327,16129.9377120706,15357.7491965493
1,"CC",100855.612697149,99063.6586681785,100889.128847266
2,"CC",16963.6110642269,16613.8560917189,16639.6868956163
3,"CC",13975.9221584315,13799.581528863,13792.5003948743
4,"CC",11795.8654483716,12107.0484844359,12100.2950719185
1,"CM",15225.1614844926,15319.644676734,15035.9298355479
2,"CM",3838.90802626574,3841.64346487398,3854.60374160693
3,"CM",1409.3143332323,1464.71120900833,1333.5418561077
4,"CM",688.888249218111,747.707018700704,680.454141047458
1,"DIAB",48409.3097963247,48512.3988881843,48513.3758104259
2,"DIAB",13497.4500034696,13340.2038504713,13116.7864399538
3,"DIAB",7565.1778824986,7378.5586993646,7361.13165668022
4,"DIAB",3349.43693778793,3302.29517134998,3245.93045977712
1,"ECA",9672.61002356383,9586.15125191934,9365.55480345819
2,"ECA",278.246496832534,283.201001478147,287.687072117474
3,"ECA",630.926869683463,590.4589293522,572.044343782989
4,"ECA",266.104761961686,271.185430904805,264.166328436084
1,"ENDO",1308.88216812028,1338.47503089295,1255.43262409745
2,"ENDO",205.31818624934,201.277405249631,201.46254124575
3,"ENDO",124.374545886476,142.493983799733,123.076473273367
4,"ENDO",99.1655637131969,98.4651884414552,97.3789675941033
1,"GC",2692.22179627476,2539.75933429273,2338.0313689536
2,"GC",553.111057924452,584.240558472849,472.28654096076
3,"GC",661.059538297913,717.707492821989,711.935060032972
4,"GC",458.477417447035,395.882692477844,454.119511995176
1,"HHD",35983.3847243501,36326.3380606875,35823.9881588902
2,"HHD",9767.71826313895,9852.47286617483,9944.49460884001
3,"HHD",3523.45003431421,3541.53141661036,3577.31464011432
4,"HHD",1561.46321683851,1582.72565773455,1593.03375960204
1,"HSTK",24379.5525560907,24496.4544149604,24545.9771299536
2,"HSTK",4561.17268998295,4792.60066127359,4779.71258595979
3,"HSTK",3117.52394970734,3073.5198809574,3167.08002679848
4,"HSTK",2071.31667913535,2067.34040034357,2145.08229608352
1,"IHD",286253.268810746,286691.618419776,285615.951469497
2,"IHD",40405.7312762016,40772.9823933783,41030.4569609461
3,"IHD",25139.7844065818,24842.3354946959,24553.963000726
4,"IHD",11960.9146026815,12219.4839556049,12213.6670224284
1,"ISTK",32260.1044608808,31827.7674745883,32267.9077247653
2,"ISTK",5409.85589709245,5582.90245173532,5508.57454104909
3,"ISTK",3567.24822763879,3801.14819776708,3685.34955049989
