"female","race","X1","X2","X3"
1,1,703984.024524037,702416.477018717,701894.307103041
1,2,111990.557925116,111565.886896928,112710.776709201
1,3,78399.5044340751,77724.6924873894,77148.2886655198
1,4,54544.5254786525,55956.2085229159,55256.3722820405
0,1,607793.426679534,607345.870622693,607136.800376523
0,2,93038.0857114368,94529.9864353562,94615.8814735083
0,3,62677.8284543771,62920.7068826723,62973.9567960028
0,4,44256.7916983286,44992.3388048139,44812.9075982032
