"age","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"direct","dairy_tot",193.07279488199,15.7142390355253,200.504246856993,176.295341983177,203.53351360205,0.00967414410014,0.00061922978208348,0.0099610266741246,0.00901337609642983,0.0100910619159633,0.99610266741246,0.901337609642983,1.00910619159633,0.286581459206469,0.0233249306608561,0.297612098465205,0.26167838088076,0.302108494162251
25,"direct","leg_tot",125.923251611046,10.8596688449802,127.199447559486,115.117750504319,135.643986161599,0.00632470207974064,0.000689210472834017,0.00640608899350962,0.00563879552107267,0.00694142976170497,0.640608899350962,0.563879552107267,0.694142976170497,0.186910171455145,0.0161192038784941,0.188804452300672,0.170871369735226,0.201338834456367
25,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medBMI","leg_tot",233.735916492274,20.2676268178468,242.775722951958,212.1341274245,247.653870069316,0.0117105909020366,0.000806189569012463,0.0121233663767248,0.0108486892436019,0.0122216334069863,1.21233663767248,1.08486892436019,1.22216334069863,0.346938469804922,0.030083606919664,0.360356418862653,0.314874541604696,0.367597141306076
25,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"direct","dairy_tot",537.023813746964,29.0932215884395,542.989581367523,507.289101740465,561.687623275989,0.0127409966836763,0.000628242273755218,0.0127573085043148,0.0121373848992321,0.0133307434205778,1.27573085043148,1.21373848992321,1.33307434205778,1.3143051284383,0.071202373819673,1.32890567086874,1.24153277927541,1.3746670165353
35,"direct","leg_tot",409.118491053532,45.9927390422457,394.85814075502,373.090667623877,457.267612236922,0.00971506386139603,0.00118285662910434,0.0093761058221738,0.00877056014200865,0.0109476819141223,0.93761058221738,0.877056014200866,1.09476819141223,1.00127129778262,0.112562034023001,0.966370701103506,0.913097269205227,1.11911083353725
35,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"medBMI","leg_tot",615.005217372648,32.6604180011663,616.268500939997,583.458337078086,645.478306634963,0.0145962449514585,0.000847485153793539,0.0144789654493606,0.0138467806075983,0.0154453968721019,1.44789654493606,1.38467806075983,1.54453968721019,1.50515580597705,0.0799326841325086,1.50824754982292,1.42794837960972,1.57973525007539
35,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"direct","dairy_tot",1406.02232272223,152.666238138399,1421.73580776971,1254.88849272428,1543.79969042983,0.0103873371480867,0.00109796408679572,0.0104535444263191,0.00931755640077166,0.0114008417089042,1.04535444263191,0.931755640077166,1.14008417089042,3.59535950971488,0.39038499050326,3.63554068392757,3.20889306167817,3.94767195967081
45,"direct","leg_tot",1280.27002740782,50.8189097868107,1253.34287668898,1248.81908888077,1334.60904404589,0.00945943958591298,0.000333493833397248,0.00927614732538132,0.00925870993893457,0.00981596765434329,0.927614732538132,0.925870993893457,0.981596765434329,3.27379654195789,0.129949750884182,3.20494074511743,3.19337290351682,3.41274760771335
45,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"medBMI","leg_tot",1765.13539796556,70.657714726842,1760.07392159611,1700.29098739441,1834.28206345076,0.0130425504350536,0.000492407926998156,0.0129412305946442,0.0126253108443811,0.013545911890074,1.29412305946442,1.26253108443811,1.3545911890074,4.51365261877396,0.180679838770995,4.50070984617069,4.34783806204098,4.69046853221972
45,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"direct","dairy_tot",3005.60282741366,245.979823609345,2929.97447415364,2812.50002227242,3262.98973282591,0.00766034678616993,0.000640856097583026,0.00747993650029222,0.00714657828573176,0.00832746402960416,0.747993650029222,0.714657828573176,0.832746402960416,6.28575235772201,0.514428667055443,6.12758738147201,5.88190777731757,6.82403716793894
55,"direct","leg_tot",2693.09324570966,374.720532521429,2567.9706492426,2405.49470341126,3087.04599500506,0.00686429977927846,0.000967122889608772,0.00655577635927951,0.0061124143993328,0.00787843006622324,0.655577635927951,0.61124143993328,0.787843006622324,5.63218701565817,0.783669901192585,5.37051250278719,5.03071925057586,6.45607811668081
55,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"medBMI","leg_tot",3879.044166508,208.758089108491,3977.65228159647,3656.16814944776,4018.10328574303,0.00988504870998282,0.000520589886153773,0.0101046365258795,0.00933134157436644,0.010252106202087,1.01046365258795,0.933134157436645,1.0252106202087,8.11241950963858,0.436585179797823,8.31864309522167,7.64630887221892,8.40324009931261
55,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"direct","dairy_tot",2863.94854754097,144.083392230274,2797.94659423475,2766.35193618174,3017.64681921048,0.00637875136028046,0.000300428302305847,0.00624689837444234,0.00617080123310744,0.00669877652541589,0.624689837444234,0.617080123310744,0.669877652541589,9.80390082293302,0.493227885979385,9.57796219533805,9.46980700716188,10.3300424721599
65,"direct","leg_tot",4126.88568573452,321.08110225052,4010.98777061461,3886.40191012024,4465.88268920073,0.00919345252159306,0.000731920672897009,0.00895522203168194,0.0086275714455315,0.00996182951407906,0.895522203168194,0.86275714455315,0.996182951407906,14.1272014140276,1.099128434163,13.730458369745,13.3039746533125,15.287659762383
65,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"medBMI","leg_tot",4701.58108216304,189.698183097659,4632.39635075155,4559.99645423976,4901.97273178609,0.010473144068211,0.000439589316192747,0.0102804231491066,0.0101687113150007,0.0109413896026599,1.02804231491066,1.01687113150007,1.09413896026599,16.094505147476,0.649376950216819,15.8576711981364,15.6098310595272,16.7804880923635
65,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
