"disease_type3","X1","X2","X3"
"Other_CVD",110170.242444728,110178.289328191,110287.766881636
"Cancer",1012364.1173627,1011361.79182158,1011055.96964946
"DIAB",72821.3746200808,72533.4566093702,72237.2243668371
"All_HD",414595.715334852,415829.488264662,414352.869621044
"All_STK",146733.295143197,147549.14164768,148615.460485062
