"female","race","outcome","X1","X2","X3"
1,1,"AA",3323.15965048554,3242.80773768127,3399.83189222727
1,2,"AA",484.35314716268,485.458191300631,502.61703176096
1,3,"AA",174.96110976807,180.758838572401,165.758622260103
1,4,"AA",158.520921376021,149.588117031903,155.09864787443
0,1,"AA",4462.81918865663,4453.97972875361,4558.82476730691
0,2,"AA",657.215099660474,658.188765135618,621.831126080474
0,3,"AA",359.068787619178,430.449770250422,371.111029621712
0,4,"AA",236.399624496076,247.093986095087,238.33422512049
1,1,"AFF",13584.6213943928,13588.6796269838,13589.6176382503
1,2,"AFF",862.595570022123,836.792848241254,878.327252633865
1,3,"AFF",635.909568213264,596.117055629941,633.736736601735
1,4,"AFF",355.946751918851,356.966544369267,344.076408681694
0,1,"AFF",9308.16743061409,9249.11934399669,9258.37522491928
0,2,"AFF",584.108736501728,633.262244831142,691.46858086781
0,3,"AFF",394.782374799058,434.108634648461,429.024351068834
0,4,"AFF",238.187637136075,235.04540482086,195.694387687418
1,1,"APCA",0,0,0
1,2,"APCA",0,0,0
1,3,"APCA",0,0,0
1,4,"APCA",0,0,0
0,1,"APCA",35977.6405898624,36346.2354243029,35547.4107291431
0,2,"APCA",6479.94791733983,6428.18517880666,6324.85321653501
0,3,"APCA",3739.78844124424,3831.8553648745,3795.81368117594
0,4,"APCA",2723.77412313143,2988.33482993723,2777.48496288109
1,1,"BC",162862.696401308,162994.392988668,160936.258238801
1,2,"BC",22679.6521522604,22273.6066780155,23369.3343566487
1,3,"BC",17070.7894702048,17403.2231710145,17478.9167180948
1,4,"BC",15561.1762124327,16129.9377120706,15357.7491965493
0,1,"BC",0,0,0
0,2,"BC",0,0,0
0,3,"BC",0,0,0
0,4,"BC",0,0,0
1,1,"CC",48003.2548704856,48132.2701200211,47890.9125873701
1,2,"CC",9001.55368346446,8280.58704238267,8388.72174214314
1,3,"CC",6620.17209135041,6452.35449157332,6321.3927121824
1,4,"CC",4812.88287970302,5019.02763769102,5012.98708568426
0,1,"CC",52852.3578266634,50931.3885481573,52998.2162598958
0,2,"CC",7962.05738076245,8333.26904933627,8250.96515347321
0,3,"CC",7355.75006708111,7347.22703728967,7471.10768269194
0,4,"CC",6982.98256866858,7088.02084674488,7087.30798623426
1,1,"CM",6076.64724169977,6108.64982438703,6056.25375127544
1,2,"CM",1463.69668698581,1403.79096372633,1467.54970941377
1,3,"CM",527.710019218244,527.724508807653,465.650859618752
1,4,"CM",211.820225930338,263.378667245659,202.768665835679
0,1,"CM",9148.51424279281,9210.99485234697,8979.67608427244
0,2,"CM",2375.21133927993,2437.85250114764,2387.05403219316
0,3,"CM",881.604314014061,936.986700200677,867.890996488946
0,4,"CM",477.068023287772,484.328351455045,477.685475211779
1,1,"DIAB",20302.4026182154,20133.6137151979,20508.3160289421
