"age","female","race","outcome","riskfactor","V1","V2","V3"
25,1,1,"GC","dairy_tot",NA,NA,NA
25,1,1,"HHD","dairy_tot",0,0,0
25,1,1,"HSTK","dairy_tot",0,0,0
25,1,1,"IHD","dairy_tot",0,0,0
25,1,1,"ISTK","dairy_tot",0,0,0
25,1,1,"KC","dairy_tot",0,0,0
25,1,1,"LC","dairy_tot",0,0,0
25,1,1,"LVC","dairy_tot",0,0,0
25,1,1,"MLPC","dairy_tot",0,0,0
25,1,1,"MMC","dairy_tot",0,0,0
25,1,1,"OC","dairy_tot",0,0,0
25,1,1,"OSTK","dairy_tot",0,0,0
25,1,1,"OTH","dairy_tot",0,0,0
25,1,1,"PC","dairy_tot",0,0,0
25,1,1,"PVD","dairy_tot",NA,NA,NA
25,1,1,"RHD","dairy_tot",0,0,0
25,1,1,"SCC","dairy_tot",NA,0,0
25,1,1,"SCNC","dairy_tot",0,0,0
25,1,1,"TC","dairy_tot",0,0,0
25,1,1,"UC","dairy_tot",0,0,0
25,1,2,"AA","dairy_tot",0,0,0
25,1,2,"AFF","dairy_tot",NA,NA,NA
25,1,2,"APCA","dairy_tot",NA,NA,NA
25,1,2,"BC","dairy_tot",NA,NA,NA
25,1,2,"CC","dairy_tot",0.0685000461115198,0.0856603227650804,0.087902516254481
25,1,2,"CM","dairy_tot",0,0,0
25,1,2,"DIAB","dairy_tot",0,0,0
25,1,2,"ECA","dairy_tot",NA,NA,NA
25,1,2,"ENDO","dairy_tot",0,0,0
25,1,2,"GC","dairy_tot",0,0,0
25,1,2,"HHD","dairy_tot",0,0,0
25,1,2,"HSTK","dairy_tot",0,0,0
25,1,2,"IHD","dairy_tot",0,0,0
25,1,2,"ISTK","dairy_tot",0,0,0
25,1,2,"KC","dairy_tot",0,0,0
25,1,2,"LC","dairy_tot",0,0,0
25,1,2,"LVC","dairy_tot",0,0,0
25,1,2,"MLPC","dairy_tot",0,0,0
25,1,2,"MMC","dairy_tot",0,0,0
25,1,2,"OC","dairy_tot",0,0,0
25,1,2,"OSTK","dairy_tot",0,0,0
25,1,2,"OTH","dairy_tot",0,0,0
25,1,2,"PC","dairy_tot",0,0,0
25,1,2,"PVD","dairy_tot",NA,NA,NA
25,1,2,"RHD","dairy_tot",0,0,0
25,1,2,"SCC","dairy_tot",NA,NA,NA
25,1,2,"SCNC","dairy_tot",0,0,0
25,1,2,"TC","dairy_tot",0,0,0
25,1,2,"UC","dairy_tot",0,0,0
25,1,3,"AA","dairy_tot",0,0,0
25,1,3,"AFF","dairy_tot",NA,NA,NA
25,1,3,"APCA","dairy_tot",NA,NA,NA
25,1,3,"BC","dairy_tot",NA,NA,NA
25,1,3,"CC","dairy_tot",0.071693526859621,0.0657448798544545,0.087110500879137
25,1,3,"CM","dairy_tot",0,0,0
25,1,3,"DIAB","dairy_tot",0,0,0
25,1,3,"ECA","dairy_tot",NA,NA,0
25,1,3,"ENDO","dairy_tot",0,0,0
25,1,3,"GC","dairy_tot",0,0,0
25,1,3,"HHD","dairy_tot",0,0,0
25,1,3,"HSTK","dairy_tot",0,0,0
25,1,3,"IHD","dairy_tot",0,0,0
25,1,3,"ISTK","dairy_tot",0,0,0
25,1,3,"KC","dairy_tot",0,0,0
25,1,3,"LC","dairy_tot",0,0,0
25,1,3,"LVC","dairy_tot",0,0,0
25,1,3,"MLPC","dairy_tot",0,0,0
25,1,3,"MMC","dairy_tot",0,0,0
25,1,3,"OC","dairy_tot",0,0,0
25,1,3,"OSTK","dairy_tot",0,0,0
25,1,3,"OTH","dairy_tot",0,0,0
25,1,3,"PC","dairy_tot",0,0,0
25,1,3,"PVD","dairy_tot",NA,NA,NA
25,1,3,"RHD","dairy_tot",0,0,0
25,1,3,"SCC","dairy_tot",0,0,0
25,1,3,"SCNC","dairy_tot",0,0,0
25,1,3,"TC","dairy_tot",0,0,0
25,1,3,"UC","dairy_tot",0,0,0
25,1,4,"AA","dairy_tot",0,0,0
25,1,4,"AFF","dairy_tot",NA,NA,NA
25,1,4,"APCA","dairy_tot",NA,NA,NA
25,1,4,"BC","dairy_tot",NA,NA,NA
25,1,4,"CC","dairy_tot",0.0808269044433172,0.0728580883612283,0.102909457186776
25,1,4,"CM","dairy_tot",0,0,0
25,1,4,"DIAB","dairy_tot",0,0,0
25,1,4,"ECA","dairy_tot",NA,NA,NA
25,1,4,"ENDO","dairy_tot",0,0,0
25,1,4,"GC","dairy_tot",NA,0,0
25,1,4,"HHD","dairy_tot",0,0,0
25,1,4,"HSTK","dairy_tot",0,0,0
25,1,4,"IHD","dairy_tot",0,0,0
25,1,4,"ISTK","dairy_tot",0,0,0
25,1,4,"KC","dairy_tot",0,0,0
25,1,4,"LC","dairy_tot",0,0,0
25,1,4,"LVC","dairy_tot",0,0,0
25,1,4,"MLPC","dairy_tot",0,0,0
25,1,4,"MMC","dairy_tot",0,0,0
25,1,4,"OC","dairy_tot",0,0,0
25,1,4,"OSTK","dairy_tot",0,0,0
25,1,4,"OTH","dairy_tot",0,0,0
25,1,4,"PC","dairy_tot",0,0,0
25,1,4,"PVD","dairy_tot",NA,NA,NA
25,1,4,"RHD","dairy_tot",0,0,0
25,1,4,"SCC","dairy_tot",NA,0,0
25,1,4,"SCNC","dairy_tot",NA,0,0
25,1,4,"TC","dairy_tot",0,0,0
25,1,4,"UC","dairy_tot",0,0,0
35,0,1,"AA","dairy_tot",0,0,0
35,0,1,"AFF","dairy_tot",0,0,0
35,0,1,"APCA","dairy_tot",0,0,0
35,0,1,"BC","dairy_tot",NA,NA,NA
35,0,1,"CC","dairy_tot",0.0765588476486918,0.0830363405316739,0.0831336760167298
35,0,1,"CM","dairy_tot",0,0,0
35,0,1,"DIAB","dairy_tot",0,0,0
35,0,1,"ECA","dairy_tot",0,0,0
35,0,1,"ENDO","dairy_tot",0,0,0
35,0,1,"GC","dairy_tot",0,0,0
35,0,1,"HHD","dairy_tot",0,0,0
35,0,1,"HSTK","dairy_tot",0,0,0
35,0,1,"IHD","dairy_tot",0,0,0
35,0,1,"ISTK","dairy_tot",0,0,0
35,0,1,"KC","dairy_tot",0,0,0
