"disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"All_HD","leg_tot",12376.9289283575,555.183837959981,12471.7417414587,11815.0090871879,12858.2578783911,0.0298307822400795,0.00138617182887773,0.03009932513045,0.02841845439518,0.0310148486281643,3.009932513045,2.841845439518,3.10148486281643,5.05432341734922,0.2267184928812,5.09304179605981,4.8248541662663,5.25088204652813
"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"All_STK","leg_tot",9257.71317657835,334.927033344492,9181.66130181566,8978.06731276523,9602.00313393976,0.0627070630388632,0.00220738835548738,0.0617813333272857,0.0611466754685163,0.065054320864051,6.17813333272857,6.11466754685163,6.5054320864051,3.78054012997324,0.136772987672073,3.74948309039813,3.66634212122512,3.92113662236022
"Cancer","dairy_tot",10952.242859428,427.08180766493,11013.1929746326,10523.722063265,11328.9560576672,0.0108265993500362,0.000417444028771498,0.0108927629184079,0.0104056616640925,0.011191298002864,1.08927629184079,1.04056616640925,1.1191298002864,4.47252932268788,0.174405912330883,4.49741930923879,4.29753577562906,4.62636638117841
"Cancer","leg_tot",7956.14685601643,63.1739501631649,7982.46010219722,7888.98898966243,8000.93846311675,0.00786495090586292,6.03159680282378e-05,0.00789517132762174,0.00780048226003817,0.00790373219319266,0.789517132762174,0.780048226003817,0.790373219319266,3.24902401872074,0.0257981262980808,3.25976946754152,3.22159899442457,3.26731541151926
"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","leg_tot",2655.58845749222,86.070283918418,2647.04582072253,2577.75492302253,2740.68323321613,0.0366150253057649,0.00125264141256867,0.0366437919497049,0.0354130255092544,0.0377925734549264,3.66437919497049,3.54130255092544,3.77925734549264,1.08445342178485,0.0351482224762589,1.08096489492,1.05266881203211,1.11920327937271
"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other_CVD","leg_tot",1505.98045340726,92.1177830788287,1464.78036999081,1442.80980823616,1604.17116948234,0.0136645713458633,0.000840422217379289,0.0132956081196398,0.013082937273792,0.0145598241602245,1.32956081196398,1.3082937273792,1.45598241602245,0.614991999694436,0.0376178186741358,0.59816726493076,0.589195223044468,0.655089800893528
