"female","disease_type","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"CMD","leg_tot",13890.0174568091,295.603105871767,14033.9964000513,13574.2091361404,14083.4436757219,0.0351451494950858,0.000782590952710883,0.0353718694775184,0.034329111513312,0.035768475491792,3.53718694775184,3.4329111513312,3.5768475491792,11.7844782469614,0.250793663990135,11.9066319253088,11.5165422060816,11.948583661246
0,"Cancer","dairy_tot",5706.34280337738,422.218268927165,5878.20390809994,5257.9423146977,6008.66135304288,0.0137888617055981,0.000999189209036166,0.014192250264281,0.0127280991075348,0.014506744028781,1.4192250264281,1.27280991075348,1.4506744028781,4.84133823770974,0.35821567691427,4.98714751810838,4.46090921224569,5.09782937483496
0,"Cancer","leg_tot",3381.05911711645,222.757667832794,3262.87502326808,3243.32806588906,3619.24664811496,0.00817124776957802,0.000552013305307887,0.00787756361967225,0.00783063051862576,0.00876149654795018,0.787756361967225,0.783063051862576,0.876149654795017,2.86853618011958,0.188990611356832,2.76826720008239,2.75168329766876,3.07061769560202
1,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"CMD","leg_tot",11906.1935590263,250.135011331707,11798.7949123695,11731.2483276965,12172.4276400143,0.034010261688035,0.000701567801680016,0.0336398567278094,0.0335749435513761,0.0347604240408857,3.36398567278094,3.35749435513761,3.47604240408857,9.37414355078288,0.196939642520971,9.28958501190734,9.2364033314693,9.58375852814067
1,"Cancer","dairy_tot",5245.90005605066,235.993854314396,5272.66346867436,5011.4153416968,5457.63586967439,0.0087752085874302,0.000384700459053209,0.00881231847928439,0.00839524897778647,0.00912362478899786,0.881231847928439,0.839524897778647,0.912362478899786,4.13027219276121,0.185805837648973,4.151343920732,3.94565455136976,4.29697886537749
1,"Cancer","leg_tot",4575.08773889998,285.642801999711,4719.58507892915,4269.74234154748,4757.6103972277,0.00765358530206975,0.00048304443229797,0.0079073904696244,0.00713708653407944,0.0079543496776386,0.79073904696244,0.713708653407944,0.79543496776386,3.60211926752706,0.22489611116419,3.71588684584035,3.36171064547982,3.745825448008
