"age","disease_type2","riskfactor","V1","V2","V3"
25,"Other_CVD","dairy_tot",0,0,0
35,"Other_CVD","dairy_tot",0,0,0
45,"Other_CVD","dairy_tot",0,0,0
55,"Other_CVD","dairy_tot",0,0,0
65,"Other_CVD","dairy_tot",0,0,0
75,"Other_CVD","dairy_tot",0,0,0
25,"Cancer","dairy_tot",200.504246856993,203.692948693895,175.021189095082
35,"Cancer","dairy_tot",542.989581367523,505.410129128514,562.671730744856
45,"Cancer","dairy_tot",1550.22410530668,1421.73580776971,1246.10705509031
55,"Cancer","dairy_tot",2806.31715638394,2929.97447415364,3280.5168517034
65,"Cancer","dairy_tot",2797.94659423475,2764.68905944211,3029.20998894604
75,"Cancer","dairy_tot",3447.59348315076,2672.458017163,2719.6661590529
25,"DIAB","dairy_tot",0,0,0
35,"DIAB","dairy_tot",0,0,0
45,"DIAB","dairy_tot",0,0,0
55,"DIAB","dairy_tot",0,0,0
65,"DIAB","dairy_tot",0,0,0
75,"DIAB","dairy_tot",0,0,0
25,"HHD","dairy_tot",0,0,0
35,"HHD","dairy_tot",0,0,0
45,"HHD","dairy_tot",0,0,0
55,"HHD","dairy_tot",0,0,0
65,"HHD","dairy_tot",0,0,0
75,"HHD","dairy_tot",0,0,0
25,"HSTK","dairy_tot",0,0,0
35,"HSTK","dairy_tot",0,0,0
45,"HSTK","dairy_tot",0,0,0
55,"HSTK","dairy_tot",0,0,0
65,"HSTK","dairy_tot",0,0,0
75,"HSTK","dairy_tot",0,0,0
25,"IHD","dairy_tot",0,0,0
35,"IHD","dairy_tot",0,0,0
45,"IHD","dairy_tot",0,0,0
55,"IHD","dairy_tot",0,0,0
65,"IHD","dairy_tot",0,0,0
75,"IHD","dairy_tot",0,0,0
25,"ISTK","dairy_tot",0,0,0
35,"ISTK","dairy_tot",0,0,0
45,"ISTK","dairy_tot",0,0,0
55,"ISTK","dairy_tot",0,0,0
65,"ISTK","dairy_tot",0,0,0
75,"ISTK","dairy_tot",0,0,0
25,"OSTK","dairy_tot",0,0,0
35,"OSTK","dairy_tot",0,0,0
45,"OSTK","dairy_tot",0,0,0
55,"OSTK","dairy_tot",0,0,0
65,"OSTK","dairy_tot",0,0,0
75,"OSTK","dairy_tot",0,0,0
25,"Other_CVD","leg_tot",54.161969336986,50.5911811169359,44.2393165731639
35,"Other_CVD","leg_tot",67.9852937356698,72.0833258602199,62.9549655376555
45,"Other_CVD","leg_tot",116.910660636195,117.698987661683,98.5460994343492
55,"Other_CVD","leg_tot",224.628938959113,209.246728511097,172.635948494436
65,"Other_CVD","leg_tot",293.111062545304,267.459290787666,247.305460741293
75,"Other_CVD","leg_tot",707.982444777546,894.428013412713,815.971672099752
25,"Cancer","leg_tot",110.176308107075,104.717696449593,99.7332178621747
35,"Cancer","leg_tot",234.021117730558,290.561613539286,273.686033621284
45,"Cancer","leg_tot",954.453362565071,988.131612765673,832.425355651435
55,"Cancer","leg_tot",2266.46895665992,2333.61834805517,2601.72533678307
65,"Cancer","leg_tot",2683.20470170873,2280.41222104824,2598.22659264853
75,"Cancer","leg_tot",1753.58656165695,1886.62796556581,1576.66356563073
25,"DIAB","leg_tot",39.6820107994332,58.0913978065713,49.4342698559864
35,"DIAB","leg_tot",147.54444619355,146.790029094577,125.641679197307
45,"DIAB","leg_tot",344.868250299254,371.457982220363,351.594636665672
55,"DIAB","leg_tot",486.551860443708,495.065973138424,561.516098732364
65,"DIAB","leg_tot",721.696969687378,916.564690206192,634.738510969767
75,"DIAB","leg_tot",833.764496246574,757.641445618088,924.120625301437
25,"HHD","leg_tot",25.6009577774066,22.7108936166399,16.5359958373711
35,"HHD","leg_tot",86.9252394808903,67.3401250374305,33.3370338439181
45,"HHD","leg_tot",194.84391406585,81.8262066392817,130.042879342541
55,"HHD","leg_tot",229.251229064745,209.734586684334,294.352429730419
65,"HHD","leg_tot",339.360399258678,238.244064891037,257.149198968362
75,"HHD","leg_tot",793.439770511542,792.296853507848,548.87033768234
25,"HSTK","leg_tot",36.8401383030127,35.5467546021775,42.5993036590517
35,"HSTK","leg_tot",122.889349747687,146.29550162697,129.41494171266
45,"HSTK","leg_tot",283.313039294825,287.583172123819,313.420808350027
55,"HSTK","leg_tot",406.256843604638,324.829936780686,495.673932446559
65,"HSTK","leg_tot",524.959961619252,602.707317850615,382.86324520736
75,"HSTK","leg_tot",1036.01091020629,1006.52819179762,1149.1440823505
25,"IHD","leg_tot",67.3264085461033,62.4162458168522,58.9288178999597
35,"IHD","leg_tot",232.1394439529,293.408569100859,257.611612669554
45,"IHD","leg_tot",913.99016519445,915.731839590559,934.606870615379
55,"IHD","leg_tot",2033.63973188974,1832.82454598661,2276.56302916753
65,"IHD","leg_tot",2882.8585230511,3324.59613717445,2963.82810348895
75,"IHD","leg_tot",5079.22505017308,3939.31414260144,4699.91543221243
25,"ISTK","leg_tot",21.5924461021644,16.6805868715784,24.0608143062537
35,"ISTK","leg_tot",53.5700421816134,41.8764253905139,43.4260395789871
45,"ISTK","leg_tot",121.371474421671,129.867443234656,121.446824112695
55,"ISTK","leg_tot",286.959113924696,250.421339840263,239.605442107839
65,"ISTK","leg_tot",486.877506821911,470.66860814154,368.125175803916
75,"ISTK","leg_tot",1424.71222404343,1649.42557956391,1634.39354397793
25,"OSTK","leg_tot",14.5949315392621,11.6377300860349,11.078111438172
35,"OSTK","leg_tot",43.1385790604189,49.2123964418634,50.5173209421654
45,"OSTK","leg_tot",161.779765338982,206.662888108957,163.642037786771
55,"OSTK","leg_tot",440.838944891099,551.477122212264,492.525818544243
65,"OSTK","leg_tot",995.079608289104,945.35813029203,1060.00482249127
75,"OSTK","leg_tot",2506.56696026725,2897.34726329659,2459.71903699926
