"female","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"Cancer","dairy_tot",5706.34280337738,422.218268927165,5878.20390809994,5257.9423146977,6008.66135304288,0.0137888617055981,0.000999189209036166,0.014192250264281,0.0127280991075348,0.014506744028781,1.4192250264281,1.27280991075348,1.4506744028781,4.84133823770974,0.35821567691427,4.98714751810838,4.46090921224569,5.09782937483496
0,"Cancer","leg_tot",3381.05911711645,222.757667832794,3262.87502326808,3243.32806588906,3619.24664811496,0.00817124776957802,0.000552013305307887,0.00787756361967225,0.00783063051862576,0.00876149654795018,0.787756361967225,0.783063051862576,0.876149654795017,2.86853618011958,0.188990611356832,2.76826720008239,2.75168329766876,3.07061769560202
0,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"DIAB","leg_tot",1517.14970282483,147.978790868468,1494.82932074238,1387.26055950049,1666.01117091926,0.037123835501853,0.00346447931945252,0.0365153400107566,0.0341294878185729,0.040635404352565,3.65153400107566,3.41294878185729,4.0635404352565,1.28717028080903,0.125547203048781,1.26823336745147,1.17697057884452,1.41346635912746
0,"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HHD","leg_tot",790.936197653812,75.960935702856,757.994021625484,738.056531165095,871.816713766608,0.0306854700548774,0.00303176160127583,0.0293350154131187,0.0286021658674931,0.0339166606877567,2.93350154131187,2.86021658674931,3.39166606877567,0.671040943250692,0.064446282892922,0.643092356575367,0.626177120625517,0.739661064549893
0,"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HSTK","leg_tot",999.269032990987,44.3695943479434,994.985173400516,959.086163643884,1043.09318298999,0.0626070490224606,0.00293912231614417,0.0620436619608604,0.0600930636393068,0.0655999134079746,6.20436619608604,6.00930636393068,6.55999134079746,0.847793332064661,0.0376437625831437,0.844158847780252,0.813701643469317,0.884974332301753
0,"IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"IHD","leg_tot",6837.45359372853,210.631491158031,6818.69091444393,6645.92412140085,7044.93134344812,0.0319417242671543,0.0010654770182772,0.0316812995794126,0.0310631379094634,0.0330416716094256,3.16812995794126,3.10631379094634,3.30416716094256,5.80098789583614,0.178702599431224,5.78506938554113,5.63849170694971,5.97701481847334
0,"ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ISTK","leg_tot",1019.5020619385,108.365093809396,1038.11353802333,909.790460867113,1113.39390833779,0.0595433058970589,0.00626895593981701,0.0603493116165523,0.0532822782715067,0.0651192286610418,6.03493116165523,5.32822782715067,6.51192286610418,0.864959306855086,0.091938407903206,0.880749534315019,0.771878504020579,0.944618416348651
0,"OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OSTK","leg_tot",1980.09627895249,230.444437440411,2018.54236477701,1747.13156349556,2180.38182145857,0.0676073553695131,0.00736266558282315,0.068258636814591,0.0603565824246835,0.0743045390860265,6.8258636814591,6.03565824246835,7.43045390860265,1.67994040315378,0.19551217041981,1.71255858117182,1.48228999485527,1.84986536013695
0,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"Other_CVD","leg_tot",745.610588719923,20.7592351687982,754.144509685796,723.5545295451,760.412815073754,0.0142944935384252,0.000416102786261061,0.014400872721582,0.0138637952223386,0.0146347695488284,1.4400872721582,1.38637952223386,1.46347695488284,0.632586084992047,0.0176124152493657,0.639826378699117,0.613873426756187,0.645144493576898
1,"Cancer","dairy_tot",5245.90005605066,235.993854314396,5272.66346867436,5011.4153416968,5457.63586967439,0.0087752085874302,0.000384700459053209,0.00881231847928439,0.00839524897778647,0.00912362478899786,0.881231847928439,0.839524897778647,0.912362478899786,4.13027219276121,0.185805837648973,4.151343920732,3.94565455136976,4.29697886537749
1,"Cancer","leg_tot",4575.08773889998,285.642801999711,4719.58507892915,4269.74234154748,4757.6103972277,0.00765358530206975,0.00048304443229797,0.0079073904696244,0.00713708653407944,0.0079543496776386,0.79073904696244,0.713708653407944,0.79543496776386,3.60211926752706,0.22489611116419,3.71588684584035,3.36171064547982,3.745825448008
1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"DIAB","leg_tot",1138.43875466738,110.077917757227,1079.27871292752,1071.02517294424,1256.13837186941,0.0359467280350186,0.00354297810133778,0.0339530179240866,0.0338549547532094,0.0397331549111201,3.39530179240866,3.38549547532094,3.97331549111201,0.896330826230859,0.0866680184319048,0.849752150939681,0.843253863454113,0.988999663005106
1,"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"HHD","leg_tot",663.017840993066,135.069106036992,675.145540814654,529.936438131227,785.790699006555,0.0262586096915214,0.00534460883340229,0.0264755254692123,0.0210921793897782,0.0312406615822273,2.64755254692123,2.10921793897782,3.12406615822273,0.522016074019498,0.106344415029838,0.531564616843429,0.417236644037808,0.618679242600848
1,"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
