"female","race","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"DIAB","medBMI","leg_tot",1100.05270729134,158.829199442442,1031.05588393581,989.573622025948,1269.17909240893,0.0390351237124842,0.00535580013508395,0.0366833631819454,0.035328859302351,0.0447403845735754,3.66833631819454,3.5328859302351,4.47403845735754,1.49955760030008,0.216511019512824,1.4055032789266,1.34895595104652,1.73010542272109
0,1,"DIAB","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"DIAB","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","medBMI","leg_tot",168.474301324565,26.4658221673896,161.503217623503,146.957358199783,195.916665595251,0.0203444160203509,0.00304652859007323,0.0192294992221642,0.0180732558768658,0.0235632554422946,1.92294992221642,1.80732558768658,2.35632554422946,0.229658922097074,0.0360773847618817,0.220156157841354,0.200327695162103,0.267067498649408
0,1,"ECA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ENDO","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ENDO","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ENDO","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ENDO","medBMI","leg_tot",15.0374136222946,1.35357876869646,14.6747074608134,13.9407673671271,16.442360114721,0.0191662121491274,0.0011695252414373,0.0186240795379968,0.0183790277197638,0.0204142092979521,1.86240795379968,1.83790277197638,2.04142092979521,0.0204985340581464,0.00184515643364171,0.0200041043117173,0.0190036200273213,0.0224137133734363
0,1,"ENDO","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ENDO","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"GC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"GC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"GC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"GC","medBMI","leg_tot",8.38353639375189,1.83358757060949,9.27246971115113,6.42479828295727,9.58668118475717,0.0107028877662018,0.00295826005251566,0.0104789777419204,0.00799374659360167,0.013602352459441,1.04789777419204,0.799374659360167,1.3602352459441,0.0114281757895019,0.00249948948727509,0.0126399420107299,0.00875808498242429,0.0130682653085359
0,1,"GC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"GC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HHD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HHD","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HHD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HHD","medBMI","leg_tot",569.879097786549,49.5117005749402,558.141465108052,528.833455112666,620.901728237154,0.0324534467931853,0.00293623463267282,0.0318302755134377,0.029976393635343,0.0354601955388131,3.18302755134377,2.9976393635343,3.54601955388131,0.776841442845197,0.0674928086707302,0.760841067430541,0.72088930071341,0.846393904079442
0,1,"HHD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
