"age","race","disease_type2","X1","X2","X3"
25,1,"Other_CVD",876.805845976948,916.202711025734,973.715969273534
25,2,"Other_CVD",428.787399804201,439.740724462908,420.322397419735
25,3,"Other_CVD",223.685575791542,259.621907184055,231.096619807164
25,4,"Other_CVD",103.155390021101,110.27061284631,102.548255774301
35,1,"Other_CVD",1413.63567074403,1425.95785660214,1316.8548487629
35,2,"Other_CVD",775.519463522164,771.429267517003,762.719299485993
35,3,"Other_CVD",353.63733117008,358.382594268856,331.243989866294
35,4,"Other_CVD",164.943265646958,162.527340017873,161.376479844766
45,1,"Other_CVD",2970.29435923195,2973.14055691827,3048.14374792047
45,2,"Other_CVD",1285.02153843021,1420.73407055504,1378.19238507063
45,3,"Other_CVD",510.897517869766,445.011827049838,494.338340846041
45,4,"Other_CVD",200.713014594755,231.487440399488,239.952902784588
55,1,"Other_CVD",7612.51573098805,7397.73527674835,7554.64307913711
55,2,"Other_CVD",2311.08163869884,2327.69118128145,2416.056784404
55,3,"Other_CVD",800.145327671226,841.589545379642,777.76099948224
55,4,"Other_CVD",404.944292049748,384.876776150344,343.24242757714
65,1,"Other_CVD",13359.8999142871,13443.3504372158,13462.7798112337
65,2,"Other_CVD",2694.70417403049,2743.70787509936,2681.29849289611
65,3,"Other_CVD",966.623506813112,997.634187168552,976.385563689099
65,4,"Other_CVD",537.869612821013,517.246766380181,522.973732582444
75,1,"Other_CVD",62517.8227769947,62638.6486906819,62566.0741221861
75,2,"Other_CVD",4723.55260104553,4631.07340975538,4722.2947241769
75,3,"Other_CVD",3127.76037638511,3053.16080283164,3081.57703116597
75,4,"Other_CVD",1806.22612013952,1687.06747065083,1722.17487624868
25,1,"Cancer",9061.3331613054,9246.20396524495,8594.20951931955
25,2,"Cancer",1258.43318087533,1329.54601205485,1346.31514416654
25,3,"Cancer",3165.19003343832,3209.54979839984,3181.44446263654
25,4,"Cancer",1764.87363217577,1995.42843303829,1890.54566543557
35,1,"Cancer",15984.558522871,15182.7653586062,15690.5952521642
35,2,"Cancer",3736.18091141909,3779.57185706335,3628.3520606449
35,3,"Cancer",6150.78867166975,5968.73152590015,6159.59391629875
