"race","outcome","riskfactor","V1","V2","V3"
1,"AA","dairy_tot",0,0,0
1,"AFF","dairy_tot",0,0,0
1,"APCA","dairy_tot",0,0,0
1,"BC","dairy_tot",0,0,0
1,"CC","dairy_tot",0.0752583678698896,0.0683166216851995,0.069747161507236
1,"CM","dairy_tot",0,0,0
1,"DIAB","dairy_tot",0,0,0
1,"ECA","dairy_tot",0,0,0
1,"ENDO","dairy_tot",0,0,0
1,"GC","dairy_tot",0,0,0
1,"HHD","dairy_tot",0,0,0
1,"HSTK","dairy_tot",0,0,0
1,"IHD","dairy_tot",0,0,0
1,"ISTK","dairy_tot",0,0,0
1,"KC","dairy_tot",0,0,0
1,"LC","dairy_tot",0,0,0
1,"LVC","dairy_tot",0,0,0
1,"MLPC","dairy_tot",0,0,0
1,"MMC","dairy_tot",0,0,0
1,"OC","dairy_tot",0,0,0
1,"OSTK","dairy_tot",0,0,0
1,"OTH","dairy_tot",0,0,0
1,"PC","dairy_tot",0,0,0
1,"PVD","dairy_tot",0,0,0
1,"RHD","dairy_tot",0,0,0
1,"SCC","dairy_tot",0,0,0
1,"SCNC","dairy_tot",0,0,0
1,"TC","dairy_tot",0,0,0
1,"UC","dairy_tot",0,0,0
2,"AA","dairy_tot",0,0,0
2,"AFF","dairy_tot",0,0,0
2,"APCA","dairy_tot",0,0,0
2,"BC","dairy_tot",0,0,0
2,"CC","dairy_tot",0.0961772142035424,0.0999283224197432,0.107922031418071
2,"CM","dairy_tot",0,0,0
2,"DIAB","dairy_tot",0,0,0
2,"ECA","dairy_tot",0,0,0
2,"ENDO","dairy_tot",0,0,0
2,"GC","dairy_tot",0,0,0
2,"HHD","dairy_tot",0,0,0
2,"HSTK","dairy_tot",0,0,0
2,"IHD","dairy_tot",0,0,0
2,"ISTK","dairy_tot",0,0,0
2,"KC","dairy_tot",0,0,0
2,"LC","dairy_tot",0,0,0
2,"LVC","dairy_tot",0,0,0
2,"MLPC","dairy_tot",0,0,0
2,"MMC","dairy_tot",0,0,0
2,"OC","dairy_tot",0,0,0
2,"OSTK","dairy_tot",0,0,0
2,"OTH","dairy_tot",0,0,0
2,"PC","dairy_tot",0,0,0
2,"PVD","dairy_tot",0,0,0
2,"RHD","dairy_tot",0,0,0
2,"SCC","dairy_tot",0,0,0
2,"SCNC","dairy_tot",0,0,0
2,"TC","dairy_tot",0,0,0
2,"UC","dairy_tot",0,0,0
3,"AA","dairy_tot",0,0,0
3,"AFF","dairy_tot",0,0,0
3,"APCA","dairy_tot",0,0,0
3,"BC","dairy_tot",0,0,0
3,"CC","dairy_tot",0.0752639909839003,0.0781233563029383,0.0789391851188538
3,"CM","dairy_tot",0,0,0
3,"DIAB","dairy_tot",0,0,0
3,"ECA","dairy_tot",0,0,0
3,"ENDO","dairy_tot",0,0,0
3,"GC","dairy_tot",0,0,0
3,"HHD","dairy_tot",0,0,0
3,"HSTK","dairy_tot",0,0,0
3,"IHD","dairy_tot",0,0,0
3,"ISTK","dairy_tot",0,0,0
