"age","female","disease_type2","riskfactor","V1","V2","V3"
75,0,"IHD","dairy_tot",0,0,0
25,1,"IHD","dairy_tot",0,0,0
35,1,"IHD","dairy_tot",0,0,0
45,1,"IHD","dairy_tot",0,0,0
55,1,"IHD","dairy_tot",0,0,0
65,1,"IHD","dairy_tot",0,0,0
75,1,"IHD","dairy_tot",0,0,0
25,0,"ISTK","dairy_tot",0,0,0
35,0,"ISTK","dairy_tot",0,0,0
45,0,"ISTK","dairy_tot",0,0,0
55,0,"ISTK","dairy_tot",0,0,0
65,0,"ISTK","dairy_tot",0,0,0
75,0,"ISTK","dairy_tot",0,0,0
25,1,"ISTK","dairy_tot",0,0,0
35,1,"ISTK","dairy_tot",0,0,0
45,1,"ISTK","dairy_tot",0,0,0
55,1,"ISTK","dairy_tot",0,0,0
65,1,"ISTK","dairy_tot",0,0,0
75,1,"ISTK","dairy_tot",0,0,0
25,0,"OSTK","dairy_tot",0,0,0
35,0,"OSTK","dairy_tot",0,0,0
45,0,"OSTK","dairy_tot",0,0,0
55,0,"OSTK","dairy_tot",0,0,0
65,0,"OSTK","dairy_tot",0,0,0
75,0,"OSTK","dairy_tot",0,0,0
25,1,"OSTK","dairy_tot",0,0,0
35,1,"OSTK","dairy_tot",0,0,0
45,1,"OSTK","dairy_tot",0,0,0
55,1,"OSTK","dairy_tot",0,0,0
65,1,"OSTK","dairy_tot",0,0,0
75,1,"OSTK","dairy_tot",0,0,0
25,0,"Other_CVD","leg_tot",31.9423611787978,28.3180378453647,28.4077136162245
35,0,"Other_CVD","leg_tot",41.4606642322667,45.4108960585395,40.5438164274443
45,0,"Other_CVD","leg_tot",74.2212593132343,79.1160357285409,58.0469728654465
55,0,"Other_CVD","leg_tot",136.131389874478,129.370344005232,107.503672427138
65,0,"Other_CVD","leg_tot",182.834833214555,147.990568675826,125.578182415954
75,0,"Other_CVD","leg_tot",294.152218070314,323.938627372293,361.86417283812
25,1,"Other_CVD","leg_tot",22.2196081581882,22.2731432715713,15.8316029569394
35,1,"Other_CVD","leg_tot",26.5246295034031,26.6724298016804,22.4111491102111
45,1,"Other_CVD","leg_tot",42.6894013229603,38.5829519331425,40.4991265689027
55,1,"Other_CVD","leg_tot",88.4975490846354,79.8763845058652,65.1322760672978
65,1,"Other_CVD","leg_tot",110.27622933075,119.468722111841,121.72727832534
75,1,"Other_CVD","leg_tot",413.830226707231,570.48938604042,454.107499261632
