"age","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
75,"direct","ISTK","leg_tot",1234.92881736074,197.106860630408,1320.39420686071,1025.05773216878,1372.15432147773,0.0376381373173493,0.00596882979741526,0.039937831231674,0.0313153405937738,0.0420061942137487,3.9937831231674,3.13153405937738,4.20061942137487,6.02048622572655,0.960929182912515,6.4371444112247,4.9973292956965,6.68948369808318
75,"direct","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"direct","OSTK","leg_tot",2074.07068076473,246.466543662568,1983.96053963262,1890.27082082052,2334.46416067125,0.0393456663933748,0.00481130978040615,0.0379885567161713,0.0354901619434905,0.0443547140688821,3.79885567161713,3.54901619434905,4.43547140688821,10.1114443109475,1.20156596101965,9.67214217801678,9.2153890002863,11.3809064345998
75,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medBMI","Cancer","leg_tot",1207.15797907813,134.048162609737,1208.98325818433,1079.04533555273,1333.71913536325,0.00455103558580614,0.000496113631077313,0.00455782525314481,0.00407687513208188,0.00501942482229253,0.455782525314481,0.407687513208188,0.501942482229253,5.88509870621374,0.653507396726437,5.89399724964595,5.26052796590625,6.50210568460384
75,"medBMI","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medBMI","DIAB","leg_tot",838.508855722033,83.3409324829915,833.764496246574,761.447598149512,919.602818848694,0.0259987109931412,0.00262511918366089,0.0256839701056505,0.0236520925715673,0.028612859169082,2.56839701056505,2.36520925715673,2.8612859169082,4.08787206602983,0.406301099301732,4.06474251356466,3.71218544083304,4.48321881082203
75,"medBMI","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medBMI","HHD","leg_tot",711.535653900576,140.873455235908,792.296853507848,561.041663473615,793.382624661357,0.025607574813844,0.00496161076219153,0.028166686917722,0.0203027877512134,0.0287371165881782,2.8166686917722,2.03027877512134,2.87371165881782,3.46885629616852,0.686781849200739,3.86258076269111,2.73517271563914,3.86787408015371
75,"medBMI","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medBMI","HSTK","leg_tot",223.532516381429,19.8213666759205,231.031588079492,202.554532868303,238.136288951201,0.0120913464190058,0.0010606055084993,0.0124737315980969,0.0109716304123395,0.0128860350234448,1.24737315980969,1.09716304123395,1.28860350234448,1.08975871075107,0.0966325049426676,1.12631794981751,0.987487503691369,1.1609545646043
75,"medBMI","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medBMI","IHD","leg_tot",2543.42534706362,157.531384518032,2556.79452676672,2388.49337865446,2686.99351272515,0.011732003552751,0.000724074113391196,0.0117636046104027,0.0110311942031702,0.0124059520033279,1.17636046104027,1.10311942031702,1.24059520033279,12.3996274545493,0.767992063410889,12.464804459993,11.6443079829982,13.0995464714731
75,"medBMI","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medBMI","ISTK","leg_tot",334.581631834346,72.5495177107761,313.999337117222,276.519656306881,410.138557871366,0.0102000965672922,0.00222627390897612,0.00949750647760002,0.00846426156625518,0.0125331331445674,0.949750647760002,0.846426156625518,1.25331331445674,1.63114187435094,0.353691132574195,1.53079971689516,1.34807995289652,1.99949462964278
75,"medBMI","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medBMI","OSTK","leg_tot",547.140406089635,25.9921868967277,544.435543623312,523.69787678407,572.882068491576,0.0103732253585459,0.000383752203398372,0.0103406777795329,0.0100234782416859,0.010750637917567,1.03406777795329,1.00234782416859,1.0750637917567,2.66740174177897,0.126716294079764,2.65421508114553,2.55311545839465,2.79289668670171
75,"medBMI","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medBMI","Other_CVD","leg_tot",806.127376763337,93.6118054997639,815.971672099752,713.381906143656,890.505196347065,0.011182850524999,0.00131111843630458,0.0113184584330181,0.0098846614089974,0.0123657729191843,1.13184584330181,0.98846614089974,1.23657729191843,3.93000689574728,0.456373337194616,3.97799949551634,3.47785708717965,4.34136299451122
75,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","HSTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","IHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","ISTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","OSTK","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"medSBP","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
