"age","female","race","pathway","disease_type","riskfactor","V1","V2","V3"
25,0,1,"direct","CMD","dairy_tot",0,0,0
25,0,1,"medBMI","CMD","dairy_tot",0,0,0
25,0,1,"medSBP","CMD","dairy_tot",0,0,0
25,0,2,"direct","CMD","dairy_tot",0,0,0
25,0,2,"medBMI","CMD","dairy_tot",0,0,0
25,0,2,"medSBP","CMD","dairy_tot",0,0,0
25,0,3,"direct","CMD","dairy_tot",0,0,0
25,0,3,"medBMI","CMD","dairy_tot",0,0,0
25,0,3,"medSBP","CMD","dairy_tot",0,0,0
25,0,4,"direct","CMD","dairy_tot",0,0,0
25,0,4,"medBMI","CMD","dairy_tot",0,0,0
25,0,4,"medSBP","CMD","dairy_tot",0,0,0
35,0,1,"direct","CMD","dairy_tot",0,0,0
35,0,1,"medBMI","CMD","dairy_tot",0,0,0
35,0,1,"medSBP","CMD","dairy_tot",0,0,0
35,0,2,"direct","CMD","dairy_tot",0,0,0
35,0,2,"medBMI","CMD","dairy_tot",0,0,0
35,0,2,"medSBP","CMD","dairy_tot",0,0,0
35,0,3,"direct","CMD","dairy_tot",0,0,0
35,0,3,"medBMI","CMD","dairy_tot",0,0,0
35,0,3,"medSBP","CMD","dairy_tot",0,0,0
35,0,4,"direct","CMD","dairy_tot",0,0,0
35,0,4,"medBMI","CMD","dairy_tot",0,0,0
35,0,4,"medSBP","CMD","dairy_tot",0,0,0
45,0,1,"direct","CMD","dairy_tot",0,0,0
45,0,1,"medBMI","CMD","dairy_tot",0,0,0
45,0,1,"medSBP","CMD","dairy_tot",0,0,0
45,0,2,"direct","CMD","dairy_tot",0,0,0
45,0,2,"medBMI","CMD","dairy_tot",0,0,0
45,0,2,"medSBP","CMD","dairy_tot",0,0,0
45,0,3,"direct","CMD","dairy_tot",0,0,0
45,0,3,"medBMI","CMD","dairy_tot",0,0,0
45,0,3,"medSBP","CMD","dairy_tot",0,0,0
45,0,4,"direct","CMD","dairy_tot",0,0,0
45,0,4,"medBMI","CMD","dairy_tot",0,0,0
45,0,4,"medSBP","CMD","dairy_tot",0,0,0
55,0,1,"direct","CMD","dairy_tot",0,0,0
55,0,1,"medBMI","CMD","dairy_tot",0,0,0
55,0,1,"medSBP","CMD","dairy_tot",0,0,0
55,0,2,"direct","CMD","dairy_tot",0,0,0
55,0,2,"medBMI","CMD","dairy_tot",0,0,0
55,0,2,"medSBP","CMD","dairy_tot",0,0,0
55,0,3,"direct","CMD","dairy_tot",0,0,0
55,0,3,"medBMI","CMD","dairy_tot",0,0,0
55,0,3,"medSBP","CMD","dairy_tot",0,0,0
55,0,4,"direct","CMD","dairy_tot",0,0,0
55,0,4,"medBMI","CMD","dairy_tot",0,0,0
55,0,4,"medSBP","CMD","dairy_tot",0,0,0
65,0,1,"direct","CMD","dairy_tot",0,0,0
65,0,1,"medBMI","CMD","dairy_tot",0,0,0
65,0,1,"medSBP","CMD","dairy_tot",0,0,0
65,0,2,"direct","CMD","dairy_tot",0,0,0
65,0,2,"medBMI","CMD","dairy_tot",0,0,0
65,0,2,"medSBP","CMD","dairy_tot",0,0,0
65,0,3,"direct","CMD","dairy_tot",0,0,0
65,0,3,"medBMI","CMD","dairy_tot",0,0,0
65,0,3,"medSBP","CMD","dairy_tot",0,0,0
65,0,4,"direct","CMD","dairy_tot",0,0,0
65,0,4,"medBMI","CMD","dairy_tot",0,0,0
65,0,4,"medSBP","CMD","dairy_tot",0,0,0
75,0,1,"direct","CMD","dairy_tot",0,0,0
75,0,1,"medBMI","CMD","dairy_tot",0,0,0
75,0,1,"medSBP","CMD","dairy_tot",0,0,0
75,0,2,"direct","CMD","dairy_tot",0,0,0
75,0,2,"medBMI","CMD","dairy_tot",0,0,0
75,0,2,"medSBP","CMD","dairy_tot",0,0,0
75,0,3,"direct","CMD","dairy_tot",0,0,0
75,0,3,"medBMI","CMD","dairy_tot",0,0,0
75,0,3,"medSBP","CMD","dairy_tot",0,0,0
75,0,4,"direct","CMD","dairy_tot",0,0,0
75,0,4,"medBMI","CMD","dairy_tot",0,0,0
75,0,4,"medSBP","CMD","dairy_tot",0,0,0
25,1,1,"direct","CMD","dairy_tot",0,0,0
25,1,1,"medBMI","CMD","dairy_tot",0,0,0
25,1,1,"medSBP","CMD","dairy_tot",0,0,0
25,1,2,"direct","CMD","dairy_tot",0,0,0
25,1,2,"medBMI","CMD","dairy_tot",0,0,0
25,1,2,"medSBP","CMD","dairy_tot",0,0,0
25,1,3,"direct","CMD","dairy_tot",0,0,0
25,1,3,"medBMI","CMD","dairy_tot",0,0,0
25,1,3,"medSBP","CMD","dairy_tot",0,0,0
25,1,4,"direct","CMD","dairy_tot",0,0,0
25,1,4,"medBMI","CMD","dairy_tot",0,0,0
25,1,4,"medSBP","CMD","dairy_tot",0,0,0
35,1,1,"direct","CMD","dairy_tot",0,0,0
35,1,1,"medBMI","CMD","dairy_tot",0,0,0
35,1,1,"medSBP","CMD","dairy_tot",0,0,0
