"age","female","race","outcome","riskfactor","V1","V2","V3"
25,0,1,"AA","dairy_tot",0,0,0
25,0,2,"AA","dairy_tot",0,0,0
25,0,3,"AA","dairy_tot",0,0,0
25,0,4,"AA","dairy_tot",0,0,0
35,0,1,"AA","dairy_tot",0,0,0
35,0,2,"AA","dairy_tot",0,0,0
35,0,3,"AA","dairy_tot",0,0,0
35,0,4,"AA","dairy_tot",0,0,0
45,0,1,"AA","dairy_tot",0,0,0
45,0,2,"AA","dairy_tot",0,0,0
45,0,3,"AA","dairy_tot",0,0,0
45,0,4,"AA","dairy_tot",0,0,0
55,0,1,"AA","dairy_tot",0,0,0
55,0,2,"AA","dairy_tot",0,0,0
55,0,3,"AA","dairy_tot",0,0,0
55,0,4,"AA","dairy_tot",0,0,0
65,0,1,"AA","dairy_tot",0,0,0
65,0,2,"AA","dairy_tot",0,0,0
65,0,3,"AA","dairy_tot",0,0,0
65,0,4,"AA","dairy_tot",0,0,0
75,0,1,"AA","dairy_tot",0,0,0
75,0,2,"AA","dairy_tot",0,0,0
75,0,3,"AA","dairy_tot",0,0,0
75,0,4,"AA","dairy_tot",0,0,0
25,1,1,"AA","dairy_tot",0,0,0
25,1,2,"AA","dairy_tot",0,0,0
25,1,3,"AA","dairy_tot",0,0,0
25,1,4,"AA","dairy_tot",0,0,0
35,1,1,"AA","dairy_tot",0,0,0
35,1,2,"AA","dairy_tot",0,0,0
35,1,3,"AA","dairy_tot",0,0,0
35,1,4,"AA","dairy_tot",0,0,0
45,1,1,"AA","dairy_tot",0,0,0
45,1,2,"AA","dairy_tot",0,0,0
45,1,3,"AA","dairy_tot",0,0,0
45,1,4,"AA","dairy_tot",0,0,0
55,1,1,"AA","dairy_tot",0,0,0
55,1,2,"AA","dairy_tot",0,0,0
55,1,3,"AA","dairy_tot",0,0,0
55,1,4,"AA","dairy_tot",0,0,0
65,1,1,"AA","dairy_tot",0,0,0
65,1,2,"AA","dairy_tot",0,0,0
65,1,3,"AA","dairy_tot",0,0,0
65,1,4,"AA","dairy_tot",0,0,0
75,1,1,"AA","dairy_tot",0,0,0
75,1,2,"AA","dairy_tot",0,0,0
75,1,3,"AA","dairy_tot",0,0,0
75,1,4,"AA","dairy_tot",0,0,0
25,0,1,"AFF","dairy_tot",0,0,0
25,0,2,"AFF","dairy_tot",0,0,0
25,0,3,"AFF","dairy_tot",0,0,0
25,0,4,"AFF","dairy_tot",0,0,0
35,0,1,"AFF","dairy_tot",0,0,0
35,0,2,"AFF","dairy_tot",0,0,0
35,0,3,"AFF","dairy_tot",0,0,0
35,0,4,"AFF","dairy_tot",0,0,0
45,0,1,"AFF","dairy_tot",0,0,0
45,0,2,"AFF","dairy_tot",0,0,0
45,0,3,"AFF","dairy_tot",0,0,0
45,0,4,"AFF","dairy_tot",0,0,0
55,0,1,"AFF","dairy_tot",0,0,0
55,0,2,"AFF","dairy_tot",0,0,0
55,0,3,"AFF","dairy_tot",0,0,0
55,0,4,"AFF","dairy_tot",0,0,0
65,0,1,"AFF","dairy_tot",0,0,0
65,0,2,"AFF","dairy_tot",0,0,0
65,0,3,"AFF","dairy_tot",0,0,0
65,0,4,"AFF","dairy_tot",0,0,0
75,0,1,"AFF","dairy_tot",0,0,0
75,0,2,"AFF","dairy_tot",0,0,0
75,0,3,"AFF","dairy_tot",0,0,0
75,0,4,"AFF","dairy_tot",0,0,0
25,1,1,"AFF","dairy_tot",0,0,0
25,1,2,"AFF","dairy_tot",0,0,0
25,1,3,"AFF","dairy_tot",0,0,0
25,1,4,"AFF","dairy_tot",0,0,0
35,1,1,"AFF","dairy_tot",0,0,0
35,1,2,"AFF","dairy_tot",0,0,0
35,1,3,"AFF","dairy_tot",0,0,0
35,1,4,"AFF","dairy_tot",0,0,0
45,1,1,"AFF","dairy_tot",0,0,0
45,1,2,"AFF","dairy_tot",0,0,0
45,1,3,"AFF","dairy_tot",0,0,0
45,1,4,"AFF","dairy_tot",0,0,0
55,1,1,"AFF","dairy_tot",0,0,0
55,1,2,"AFF","dairy_tot",0,0,0
55,1,3,"AFF","dairy_tot",0,0,0
55,1,4,"AFF","dairy_tot",0,0,0
