"female","race","pathway","disease_type2","riskfactor","V1","V2","V3"
1,1,"medSBP","HSTK","dairy_tot",0,0,0
1,2,"direct","HSTK","dairy_tot",0,0,0
1,2,"medBMI","HSTK","dairy_tot",0,0,0
1,2,"medSBP","HSTK","dairy_tot",0,0,0
1,3,"direct","HSTK","dairy_tot",0,0,0
1,3,"medBMI","HSTK","dairy_tot",0,0,0
1,3,"medSBP","HSTK","dairy_tot",0,0,0
1,4,"direct","HSTK","dairy_tot",0,0,0
1,4,"medBMI","HSTK","dairy_tot",0,0,0
1,4,"medSBP","HSTK","dairy_tot",0,0,0
0,1,"direct","IHD","dairy_tot",0,0,0
0,1,"medBMI","IHD","dairy_tot",0,0,0
0,1,"medSBP","IHD","dairy_tot",0,0,0
0,2,"direct","IHD","dairy_tot",0,0,0
0,2,"medBMI","IHD","dairy_tot",0,0,0
0,2,"medSBP","IHD","dairy_tot",0,0,0
0,3,"direct","IHD","dairy_tot",0,0,0
0,3,"medBMI","IHD","dairy_tot",0,0,0
0,3,"medSBP","IHD","dairy_tot",0,0,0
0,4,"direct","IHD","dairy_tot",0,0,0
0,4,"medBMI","IHD","dairy_tot",0,0,0
0,4,"medSBP","IHD","dairy_tot",0,0,0
1,1,"direct","IHD","dairy_tot",0,0,0
1,1,"medBMI","IHD","dairy_tot",0,0,0
1,1,"medSBP","IHD","dairy_tot",0,0,0
1,2,"direct","IHD","dairy_tot",0,0,0
1,2,"medBMI","IHD","dairy_tot",0,0,0
1,2,"medSBP","IHD","dairy_tot",0,0,0
1,3,"direct","IHD","dairy_tot",0,0,0
1,3,"medBMI","IHD","dairy_tot",0,0,0
1,3,"medSBP","IHD","dairy_tot",0,0,0
1,4,"direct","IHD","dairy_tot",0,0,0
1,4,"medBMI","IHD","dairy_tot",0,0,0
1,4,"medSBP","IHD","dairy_tot",0,0,0
0,1,"direct","ISTK","dairy_tot",0,0,0
0,1,"medBMI","ISTK","dairy_tot",0,0,0
0,1,"medSBP","ISTK","dairy_tot",0,0,0
0,2,"direct","ISTK","dairy_tot",0,0,0
0,2,"medBMI","ISTK","dairy_tot",0,0,0
0,2,"medSBP","ISTK","dairy_tot",0,0,0
