"age","disease_type3","riskfactor","V1","V2","V3"
25,"All_HD","dairy_tot",0,0,0
25,"All_STK","dairy_tot",0,0,0
25,"Cancer","dairy_tot",0.0131479660268021,0.0129077027371341,0.0116583524829231
25,"DIAB","dairy_tot",0,0,0
25,"Other_CVD","dairy_tot",0,0,0
35,"All_HD","dairy_tot",0,0,0
35,"All_STK","dairy_tot",0,0,0
35,"Cancer","dairy_tot",0.0180822338563286,0.0173923705190069,0.0190280932310734
35,"DIAB","dairy_tot",0,0,0
35,"Other_CVD","dairy_tot",0,0,0
45,"All_HD","dairy_tot",0,0,0
45,"All_STK","dairy_tot",0,0,0
45,"Cancer","dairy_tot",0.0159675597343327,0.0145559449252707,0.0129746212472045
45,"DIAB","dairy_tot",0,0,0
45,"Other_CVD","dairy_tot",0,0,0
55,"All_HD","dairy_tot",0,0,0
55,"All_STK","dairy_tot",0,0,0
55,"Cancer","dairy_tot",0.00939916259338048,0.0098730769503961,0.011046267253219
55,"DIAB","dairy_tot",0,0,0
55,"Other_CVD","dairy_tot",0,0,0
65,"All_HD","dairy_tot",0,0,0
65,"All_STK","dairy_tot",0,0,0
65,"Cancer","dairy_tot",0.00913841550896923,0.0090245941862014,0.0098092672168032
65,"DIAB","dairy_tot",0,0,0
65,"Other_CVD","dairy_tot",0,0,0
75,"All_HD","dairy_tot",0,0,0
75,"All_STK","dairy_tot",0,0,0
75,"Cancer","dairy_tot",0.0129973087168146,0.0100569184485462,0.0102768412620751
75,"DIAB","dairy_tot",0,0,0
75,"Other_CVD","dairy_tot",0,0,0
25,"All_HD","leg_tot",0.0581599796057769,0.0521526393878351,0.0493165355692419
25,"All_STK","leg_tot",0.1417247179015,0.12837475597855,0.158645077203277
25,"Cancer","leg_tot",0.00722475647602365,0.00663579621069766,0.0066433385243528
25,"DIAB","leg_tot",0.0461047588284988,0.0714822508939658,0.064572411164004
25,"Other_CVD","leg_tot",0.0331786536647662,0.0293140150169845,0.025606150184635
35,"All_HD","leg_tot",0.0524928642135282,0.0580614259535746,0.0469576898624551
35,"All_STK","leg_tot",0.129255306341349,0.138059658716809,0.128949931937387
35,"Cancer","leg_tot",0.00779319663457627,0.00999891959029326,0.00925534921915232
35,"DIAB","leg_tot",0.0720013821302393,0.0718586619416626,0.061518060506793
35,"Other_CVD","leg_tot",0.0251078024178055,0.026517825061582,0.0244751952663621
45,"All_HD","leg_tot",0.0490886001281369,0.0445562074848448,0.0471017644024771
45,"All_STK","leg_tot",0.110572861275236,0.120122936290897,0.116853075214987
45,"Cancer","leg_tot",0.00983102444880221,0.0101166399943876,0.00866731607210439
45,"DIAB","leg_tot",0.0613831758571534,0.0654378833032938,0.0619696859666203
45,"Other_CVD","leg_tot",0.0235378281278897,0.0232130785817481,0.0190957595351246
55,"All_HD","leg_tot",0.0390004660967363,0.035227690505644,0.0444606833528885
55,"All_STK","leg_tot",0.0896113596937605,0.0873794288057392,0.0947778190670058
55,"Cancer","leg_tot",0.00759105583915745,0.00786354752454296,0.00876061751508887
55,"DIAB","leg_tot",0.0366678256322342,0.0377369023954138,0.0432263141606762
55,"Other_CVD","leg_tot",0.0201846757998416,0.019105987679283,0.0155644217999172
65,"All_HD","leg_tot",0.0391747568619944,0.0433768736749968,0.0392558365270052
65,"All_STK","leg_tot",0.0859623465640992,0.0861792769690934,0.0772045240744055
65,"Cancer","leg_tot",0.00876365528575809,0.0074438008867324,0.00841364548185753
65,"DIAB","leg_tot",0.0388812164605408,0.0490025936399055,0.0340503253343242
65,"Other_CVD","leg_tot",0.0166928321583964,0.0151090390024911,0.0140168524038461
75,"All_HD","leg_tot",0.0240627094479443,0.0192751905898988,0.0214983669683277
75,"All_STK","leg_tot",0.0480421812760766,0.0534911916811572,0.0500025592054339
75,"Cancer","leg_tot",0.00661096095433014,0.00709970501710026,0.00595776107804605
75,"DIAB","leg_tot",0.0256839701056505,0.0235451516487208,0.0287670112250521
75,"Other_CVD","leg_tot",0.00980919840773315,0.0124208947342457,0.0113184584330181
