"female","race","disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"All_HD","leg_tot",6099.94446996866,253.910483823301,6127.2583003246,5848.17015501873,6328.50202911604,0.0326475120133516,0.00138520976139303,0.032611680059207,0.0313471215644474,0.0339783596232786,3.2611680059207,3.13471215644474,3.39783596232786,8.31525437892256,0.346122866013057,8.35248774204424,7.97204347180779,8.62681692738391
0,1,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"All_STK","leg_tot",2909.81970282918,82.4209200098811,2862.75693358831,2861.76510189328,2997.87765761981,0.0637870649891584,0.00176604098803857,0.0629846605593433,0.0625856861341738,0.065670487609486,6.29846605593433,6.25856861341738,6.5670487609486,3.9665756212941,0.112353631971753,3.9024211195702,3.90106908548434,4.08661348356919
0,1,"Cancer","dairy_tot",3676.54747747527,413.652464557742,3897.31466102369,3234.24522532903,3931.19762360535,0.0120334837344995,0.00130866375118007,0.0127595578903064,0.0106345881437582,0.012815216292805,1.27595578903064,1.06345881437582,1.2815216292805,5.0117550515259,0.563878160563573,5.31269800252507,4.40882239253643,5.35888620216609
0,1,"Cancer","leg_tot",2641.89164749396,203.868433169053,2527.35447046158,2521.3652017098,2859.77469375564,0.00865142882201415,0.000703809068465054,0.00827439621380453,0.00821935809697655,0.00940397726402993,0.827439621380453,0.821935809697655,0.940397726402993,3.60134443823485,0.27790710062673,3.44521092463373,3.43704653994794,3.89835582308272
0,1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"DIAB","leg_tot",1100.05270729134,158.829199442442,1031.05588393581,989.573622025948,1269.17909240893,0.0390351237124842,0.00535580013508395,0.0366833631819454,0.035328859302351,0.0447403845735754,3.66833631819454,3.5328859302351,4.47403845735754,1.49955760030008,0.216511019512824,1.4055032789266,1.34895595104652,1.73010542272109
0,1,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"Other_CVD","leg_tot",584.366080870217,11.0973594206608,589.417473263755,572.530451719896,591.90802648603,0.0141294770227215,0.000295980466484347,0.014243889977656,0.0138158939905682,0.0143458090431804,1.4243889977656,1.38158939905682,1.43458090431804,0.796589647130812,0.0151275748445627,0.803475547965945,0.780455685976898,0.806870592574863
0,2,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"All_HD","leg_tot",896.998146556277,95.6227343251557,938.648614720874,795.165970934554,963.427424238094,0.0319835074731683,0.00345133500603867,0.033794557432469,0.0282931541844283,0.0341344682965028,3.3794557432469,2.82931541844283,3.41344682965028,7.06036408535925,0.75265631458116,7.38819917698869,6.25883262372372,7.58323571910975
0,2,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"All_STK","leg_tot",661.149112037076,33.8772869595119,659.105540145771,629.878153818806,694.157106362956,0.0752657806273904,0.00357153134015809,0.0755446829257631,0.0717620602486747,0.0785324340524893,7.55446829257631,7.17620602486747,7.85324340524893,5.20397223072842,0.266651587939864,5.18788706751754,4.95783532267942,5.46378152750667
0,2,"Cancer","dairy_tot",814.820372875199,76.175124034393,839.827915290856,734.812134081345,873.572200615745,0.0184206182275001,0.00151965129278051,0.0188688350775183,0.0168343480288793,0.0196259041036056,1.88688350775183,1.68343480288793,1.96259041036056,6.41353443009166,0.599582186423694,6.61037135223297,5.78378140564933,6.87597607071387
0,2,"Cancer","leg_tot",323.083256696282,28.9007658437822,312.597642805378,301.474419483652,353.604865716181,0.00730761603501643,0.000628064885627536,0.0071699063969644,0.0067803364393642,0.00795194882301288,0.71699063969644,0.67803364393642,0.795194882301288,2.5430213327829,0.227480881634146,2.46048799421079,2.37293596664457,2.78326003670752
0,2,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"DIAB","leg_tot",245.044265701438,32.9131336377142,236.353512129134,218.298859483575,279.176812455759,0.0359503510925731,0.00463133953947527,0.0346500219194244,0.0322352632028877,0.040770718779435,3.46500219194244,3.22352632028877,4.0770718779435,1.92876845902503,0.259062638606876,1.86036264945656,1.7182526332857,2.19742922289756
0,2,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,"Other_CVD","leg_tot",103.250858267117,6.5021886254347,105.477102356014,96.4054160371481,108.203993021523,0.0166373998709934,0.00121508603608878,0.0167573045879824,0.0154363315777857,0.0177365491547603,1.67573045879824,1.54363315777857,1.77365491547603,0.812698057727741,0.0511793911988538,0.830221052475092,0.75881688232685,0.851684687593383
0,3,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"All_HD","leg_tot",413.00998708694,36.0459116232841,395.051233985905,389.750359914991,451.534554394768,0.0245953603164552,0.00205455540316145,0.0235235014835918,0.0233096415688178,0.0267921590720265,2.35235014835918,2.33096415688178,2.67921590720265,2.16012356176483,0.188527215896012,2.06619574663601,2.03847113140504,2.36161463498413
0,3,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"All_STK","leg_tot",280.985583719709,52.9974033213469,264.526127745252,239.488591371191,336.473113646515,0.0540213822317489,0.00804640847594169,0.0513111917233252,0.0478615550052052,0.0624848713904529,5.13111917233252,4.78615550052052,6.24848713904529,1.46960993410898,0.277186855538911,1.38352373819147,1.25257249260145,1.7598206421464
0,3,"Cancer","dairy_tot",579.094548724445,25.9149037856297,591.198932490674,551.435082237412,596.465289010182,0.0171689390147164,0.000752970680152587,0.0175481107581002,0.0163640747552773,0.0176515072922793,1.75481107581002,1.63640747552773,1.76515072922793,3.02877852424892,0.135540049922385,3.09208683492319,2.88411406786155,3.11963091656315
0,3,"Cancer","leg_tot",216.745454723051,7.04787390409087,213.985429374534,211.619799167795,224.217131824547,0.00642632551999385,0.000213917213054347,0.00633159206293056,0.00627890572125363,0.00665426875723786,0.633159206293056,0.627890572125363,0.665426875723786,1.13362140938771,0.036861768375033,1.11918593331496,1.1068132214974,1.17269975193985
0,3,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"DIAB","leg_tot",120.977127220888,16.2433965427565,125.801054859518,104.014825711763,133.839090237178,0.0292263551286997,0.0035036925851763,0.0300947171807974,0.0256063681869991,0.0321082343261171,3.00947171807974,2.56063681869991,3.21082343261171,0.63273419799762,0.0849561625436229,0.657964289468169,0.544018020914213,0.700004797331061
0,3,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,"Other_CVD","leg_tot",38.2525520400175,2.52574559261007,37.5117018614124,36.2466610592778,40.8881656725716,0.0126622996184904,0.00106426828705097,0.0120743177740543,0.0120243738256823,0.0138000099790693,1.20743177740543,1.20243738256823,1.38000099790693,0.200068379803812,0.0132101468153413,0.196193587482614,0.189577174977534,0.213853158103108
0,4,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,"All_HD","leg_tot",218.437187770464,23.7932073178564,207.140910002757,202.633565131281,243.842646512197,0.0267350407602512,0.00272608158043815,0.0252647151671529,0.0250700295078035,0.0296498287668323,2.52647151671529,2.50700295078035,2.96498287668323,1.72212956921659,0.187582463804826,1.63307122633821,1.59753592229473,1.92242280758508
0,4,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,"All_STK","leg_tot",146.912975296015,8.75041524645343,151.277771631185,137.560686258582,152.555187448553,0.0529867689045357,0.00267175006948056,0.054232541463201,0.0501352919774831,0.0547793391567229,5.4232541463201,5.01352919774831,5.47793391567229,1.15824224547659,0.0689871033071354,1.19265371592778,1.08451004971079,1.20272469135888
0,4,"Cancer","dairy_tot",635.880404302461,52.9577243907088,624.739050481926,591.147717626989,690.083241725387,0.0208964075232427,0.00175189540319054,0.0207788123775,0.0192848992727313,0.0226078716476355,2.07788123775,1.92848992727313,2.26078716476355,5.01319604922482,0.417511615226874,4.9253591060226,4.66052953112589,5.44052396904563
0,4,"Cancer","leg_tot",199.338758203158,20.9117463400147,190.983984460289,184.250414741021,221.528659346733,0.00654831038463797,0.000657423290576306,0.00622364508989355,0.00612174232204543,0.00725084394776327,0.622364508989355,0.612174232204543,0.725084394776327,1.57156010520198,0.164865410893033,1.50569218658627,1.45260562363291,1.7465023175944
0,4,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,"DIAB","leg_tot",51.0756026111659,7.44374016871837,54.0871549247745,43.1724020091326,56.4189837466318,0.0291911077257497,0.00343840840743934,0.0309551246283848,0.0255150249381248,0.0313677761461349,3.09551246283848,2.55150249381248,3.13677761461349,0.402673218878248,0.0586854517811575,0.426415894479611,0.340365442500382,0.444799720994955
0,4,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,"Other_CVD","leg_tot",19.7410975425718,1.81421744900284,19.2902297719974,18.2496006071473,21.6158320829845,0.0125825002874416,0.00108733039687535,0.0121439396285491,0.0118009901675863,0.0137367869673554,1.21439396285491,1.18009901675863,1.37367869673554,0.155636172365376,0.0143030476898446,0.15208159117232,0.143877410035998,0.17041632870885
1,1,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"All_HD","leg_tot",3661.42854547655,444.626809725435,3829.75796699771,3190.84115236011,3988.93593029999,0.0270400077764792,0.00322256628118614,0.0283788897672176,0.0236145808356009,0.0293273850252297,2.83788897672176,2.36145808356009,2.93273850252297,4.6213000658992,0.561189131390593,4.83375833378745,4.02734458546055,5.03466601863285
1,1,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"All_STK","leg_tot",4030.30234169323,260.110323855716,4028.39795398889,3784.01186601309,4278.21154692205,0.0618718921178648,0.0043068852272666,0.0619199182141469,0.0577601308513345,0.0659428312025553,6.19199182141469,5.77601308513345,6.59428312025553,5.08687695142129,0.328300236327302,5.0844733139027,4.77601954225593,5.39977745247746
1,1,"Cancer","dairy_tot",3455.00374189987,276.898301554669,3568.34765800901,3160.86230076081,3652.80285434617,0.00795178176007219,0.000621638361116653,0.00820560785467915,0.00729150416527357,0.00839630717445488,0.820560785467915,0.729150416527357,0.839630717445488,4.36075941993995,0.349489310887377,4.50381731127352,3.98950654843465,4.61041308381171
1,1,"Cancer","leg_tot",3442.98048160559,295.106517685117,3589.09598683081,3127.61140768883,3634.15137608091,0.00792529307624989,0.000684430527339429,0.00828091492272216,0.00719349083971665,0.00835481674328171,0.828091492272216,0.719349083971665,0.835481674328171,4.34558416992478,0.372470950255296,4.5300049733187,3.94753867921743,4.58687197774729
1,1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"DIAB","leg_tot",752.159664803272,121.046311942424,714.801608033608,657.226388493973,878.847289366785,0.0369915605261058,0.00560772846284009,0.0352077348418006,0.0326284821016012,0.0428708907822697,3.52077348418006,3.26284821016012,4.28708907822697,0.949344078506297,0.152779529194273,0.902192321188841,0.82952331712446,1.10924383360797
1,1,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"Other_CVD","leg_tot",609.546279295386,80.8597498956011,571.375567192067,555.664581693988,695.873082184604,0.0128434237883985,0.00171611249666875,0.0120342833557229,0.0116991065852605,0.0146755103593108,1.20342833557229,1.16991065852605,1.46755103593108,0.769343502321374,0.102057752289824,0.721166045853893,0.701336305244231,0.878301537395875
