"age","female","disease_type","riskfactor","V1","V2","V3"
25,0,"CMD","dairy_tot",0,0,0
25,0,"Cancer","dairy_tot",0.022495555381205,0.0216531263408914,0.0168236970307108
25,1,"CMD","dairy_tot",0,0,0
25,1,"Cancer","dairy_tot",0.00920358411763099,0.00952266198679237,0.00961817778513424
35,0,"CMD","dairy_tot",0,0,0
35,0,"Cancer","dairy_tot",0.0251809163010293,0.0259181062160224,0.0279708701325448
35,1,"CMD","dairy_tot",0,0,0
35,1,"Cancer","dairy_tot",0.0138259733306411,0.0123807914846416,0.0139939678372646
45,0,"CMD","dairy_tot",0,0,0
45,0,"Cancer","dairy_tot",0.0233539944148399,0.0197475402185265,0.0191734614182281
45,1,"CMD","dairy_tot",0,0,0
45,1,"Cancer","dairy_tot",0.0113714289593665,0.0113094537233467,0.00909961657877165
55,0,"CMD","dairy_tot",0,0,0
55,0,"Cancer","dairy_tot",0.0134148865787608,0.0144780071126621,0.0159150919382917
55,1,"CMD","dairy_tot",0,0,0
55,1,"Cancer","dairy_tot",0.00669063445991626,0.00678477493353432,0.00774376292447725
65,0,"CMD","dairy_tot",0,0,0
65,0,"Cancer","dairy_tot",0.0121327083829049,0.0108041243728509,0.0133801860255796
65,1,"CMD","dairy_tot",0,0,0
65,1,"Cancer","dairy_tot",0.00692686206829527,0.0077021892083724,0.00713496452969365
75,0,"CMD","dairy_tot",0,0,0
75,0,"Cancer","dairy_tot",0.0129194372806571,0.008802568818735,0.0114286687441267
75,1,"CMD","dairy_tot",0,0,0
75,1,"Cancer","dairy_tot",0.0130531969130775,0.010950630913842,0.00945637289674437
25,0,"CMD","leg_tot",0.0581397686265293,0.053133022571757,0.051040706060651
25,0,"Cancer","leg_tot",0.00886838977984173,0.00685837728913074,0.00914298406921572
25,1,"CMD","leg_tot",0.0533589822384214,0.0587365197807754,0.0613845023595563
25,1,"Cancer","leg_tot",0.00653119611269451,0.00654964303448933,0.00565604454098163
35,0,"CMD","leg_tot",0.0568453977991433,0.0614649141512427,0.054712378654022
35,0,"Cancer","leg_tot",0.00843605330186849,0.0117840942724461,0.00819315767965092
35,1,"CMD","leg_tot",0.0669745612112041,0.0704007809069472,0.0587802116703581
35,1,"Cancer","leg_tot",0.00740774969030374,0.00894956217086391,0.00985328490076516
45,0,"CMD","leg_tot",0.0583421389451958,0.0545270750946859,0.0509385751249456
45,0,"Cancer","leg_tot",0.0103933300761004,0.0119101917078962,0.008764444056623
45,1,"CMD","leg_tot",0.0503662839527087,0.056253647420294,0.0631783157624844
45,1,"Cancer","leg_tot",0.00948113572571065,0.00899506762034957,0.0086065996504737
55,0,"CMD","leg_tot",0.0419493498847536,0.0398716068674496,0.0464851306453982
55,0,"Cancer","leg_tot",0.00697532049351964,0.00906605943462711,0.0088598630317478
55,1,"CMD","leg_tot",0.045891124062422,0.0427783426434589,0.0505618748597709
55,1,"Cancer","leg_tot",0.00800635741678079,0.00705708144876088,0.00869329967771033
65,0,"CMD","leg_tot",0.0428024570508607,0.0515022104678974,0.042210528566626
65,0,"Cancer","leg_tot",0.00877134374575001,0.00911545385013985,0.0082201719794869
65,1,"CMD","leg_tot",0.0461876951394726,0.0411651866299139,0.0408617770017119
65,1,"Cancer","leg_tot",0.00875797666951562,0.00620156166168457,0.00855854004120807
75,0,"CMD","leg_tot",0.026618850527164,0.0231348518773536,0.0236964681761341
75,0,"Cancer","leg_tot",0.00668057278729608,0.00690045096146992,0.00601805440067382
75,1,"CMD","leg_tot",0.0280104853370913,0.0289546499060978,0.0296823574417488
75,1,"Cancer","leg_tot",0.00656100066112126,0.00724167168177282,0.00591481301105892
