sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,-0.111696087716237,-0.116935363834678,-0.113839940090541
Female,added_sugar,Food_price,USD,-0.302841187717824,-0.313211115977287,-0.30720192866779
Female,added_sugar,FL,mrh-eq,-0.0051929731294405,-0.00543191971320628,-0.00527656513264699
Female,oil,CED,MJ,-0.0111770703975077,-0.0103032214054046,-0.0129776527961714
Female,oil,Food_price,USD,-0.00264638633008815,-0.00249425793088184,-0.0034770296838017
Female,oil,FL,mrh-eq,-0.000566792782234013,-0.000519172974081123,-0.000655070273765326
Female,sat_fat,CED,MJ,-0.284309576334761,-0.296125353107802,-0.288047385106173
Female,sat_fat,Food_price,USD,-0.0134129151387205,-0.0139868199162128,-0.0136060209333631
Female,sat_fat,FL,mrh-eq,-0.00756251404453075,-0.00787555834444929,-0.00766310178854922
Male,added_sugar,CED,MJ,-0.108612794849443,-0.114869899370368,-0.113645344210925
Male,added_sugar,Food_price,USD,-0.278225046310767,-0.292756499987887,-0.290446775919456
Male,added_sugar,FL,mrh-eq,-0.00469543184431789,-0.00499646404330341,-0.00492146459346278
Male,oil,CED,MJ,0.00531908001043966,0.00901481765362552,0.0079182071857807
Male,oil,Food_price,USD,0.000536451486427105,0.00192061033670909,0.00154270160731355
Male,oil,FL,mrh-eq,0.00026699909114193,0.000457154126342496,0.000405603518683814
Male,sat_fat,CED,MJ,-0.314952336192167,-0.312108426552581,-0.311492332582045
Male,sat_fat,Food_price,USD,-0.0149550893536945,-0.0148595048833501,-0.0147769492598355
Male,sat_fat,FL,mrh-eq,-0.00866476391637612,-0.00859009815049136,-0.00857330914812721
