race_gp,outcome,outcome_unit,X1,X2,X3
HIS,CED,MJ,-0.370545713956359,-0.372617132797952,-0.38130625716735
HIS,Food_price,USD,-0.274535829071891,-0.277334812956011,-0.299558818831347
HIS,FL,mrh-eq,-0.011780837079251,-0.0118940578992179,-0.0123870129939016
NHB,CED,MJ,-0.484644308859052,-0.492784405884239,-0.473111838199499
NHB,Food_price,USD,-0.44028784948705,-0.448394527498635,-0.449579699523348
NHB,FL,mrh-eq,-0.0156911913955492,-0.0160905443355627,-0.0153907825575877
NHW,CED,MJ,-0.427653372873212,-0.438482161948159,-0.43620738398319
NHW,Food_price,USD,-0.308070235763474,-0.323441732251067,-0.313683238479045
NHW,FL,mrh-eq,-0.0136853676472096,-0.0140046412502615,-0.013920023359606
OTH,CED,MJ,-0.306348905836389,-0.308731096873811,-0.285155434641573
OTH,Food_price,USD,-0.196266702356251,-0.205168986127838,-0.192396158578485
OTH,FL,mrh-eq,-0.0098283001427653,-0.0099855715041012,-0.00917750988743337
