subgroup,Age,Age_label,Sex,Sex_label,Race,Race_label,population,population.se,agecat,female,race,subgroup_id,age_gp,sex_gp,race_gp,age,X1,X2
1,1,20-34,1,Female,1,NHW,18192633,0,1,1,1,1,20-34,Female,NHW,25,18192633,18192633
2,1,20-34,1,Female,2,NHB,4596338,0,1,1,2,2,20-34,Female,NHB,25,4596338,4596338
3,1,20-34,1,Female,3,HIS,6549965,0,1,1,3,3,20-34,Female,HIS,25,6549965,6549965
4,1,20-34,1,Female,4,OTH,3878604,0,1,1,4,4,20-34,Female,OTH,25,3878604,3878604
5,1,20-34,2,Male,1,NHW,19295314,0,1,0,1,5,20-34,Male,NHW,25,19295314,19295314
6,1,20-34,2,Male,2,NHB,4186659,0,1,0,2,6,20-34,Male,NHB,25,4186659,4186659
7,1,20-34,2,Male,3,HIS,6886181,0,1,0,3,7,20-34,Male,HIS,25,6886181,6886181
8,1,20-34,2,Male,4,OTH,3785306,0,1,0,4,8,20-34,Male,OTH,25,3785306,3785306
9,2,35-44,1,Female,1,NHW,10789518,0,2,1,1,9,35-44,Female,NHW,35,10789518,10789518
10,2,35-44,1,Female,2,NHB,2841551,0,2,1,2,10,35-44,Female,NHB,35,2841551,2841551
11,2,35-44,1,Female,3,HIS,4706043,0,2,1,3,11,35-44,Female,HIS,35,4706043,4706043
12,2,35-44,1,Female,4,OTH,2705155,0,2,1,4,12,35-44,Female,OTH,35,2705155,2705155
13,2,35-44,2,Male,1,NHW,10698668,0,2,0,1,13,35-44,Male,NHW,35,10698668,10698668
14,2,35-44,2,Male,2,NHB,2373836,0,2,0,2,14,35-44,Male,NHB,35,2373836,2373836
15,2,35-44,2,Male,3,HIS,4477083,0,2,0,3,15,35-44,Male,HIS,35,4477083,4477083
16,2,35-44,2,Male,4,OTH,2268050,0,2,0,4,16,35-44,Male,OTH,35,2268050,2268050
17,3,45-54,1,Female,1,NHW,12961330,0,3,1,1,17,45-54,Female,NHW,45,12961330,12961330
18,3,45-54,1,Female,2,NHB,2294986,0,3,1,2,18,45-54,Female,NHB,45,2294986,2294986
19,3,45-54,1,Female,3,HIS,2981376,0,3,1,3,19,45-54,Female,HIS,45,2981376,2981376
20,3,45-54,1,Female,4,OTH,1908325,0,3,1,4,20,45-54,Female,OTH,45,1908325,1908325
21,3,45-54,2,Male,1,NHW,10622756,0,3,0,1,21,45-54,Male,NHW,45,10622756,10622756
22,3,45-54,2,Male,2,NHB,2323392,0,3,0,2,22,45-54,Male,NHB,45,2323392,2323392
23,3,45-54,2,Male,3,HIS,3207152,0,3,0,3,23,45-54,Male,HIS,45,3207152,3207152
24,3,45-54,2,Male,4,OTH,2807268,0,3,0,4,24,45-54,Male,OTH,45,2807268,2807268
25,4,55-64,1,Female,1,NHW,16626401,0,4,1,1,25,55-64,Female,NHW,55,16626401,16626401
26,4,55-64,1,Female,2,NHB,3005374,0,4,1,2,26,55-64,Female,NHB,55,3005374,3005374
27,4,55-64,1,Female,3,HIS,2911586,0,4,1,3,27,55-64,Female,HIS,55,2911586,2911586
28,4,55-64,1,Female,4,OTH,2629488,0,4,1,4,28,55-64,Female,OTH,55,2629488,2629488
29,4,55-64,2,Male,1,NHW,15564860,0,4,0,1,29,55-64,Male,NHW,55,15564860,15564860
30,4,55-64,2,Male,2,NHB,2050599,0,4,0,2,30,55-64,Male,NHB,55,2050599,2050599
31,4,55-64,2,Male,3,HIS,2832735,0,4,0,3,31,55-64,Male,HIS,55,2832735,2832735
32,4,55-64,2,Male,4,OTH,2195076,0,4,0,4,32,55-64,Male,OTH,55,2195076,2195076
33,5,65-74,1,Female,1,NHW,11513863,0,5,1,1,33,65-74,Female,NHW,65,11513863,11513863
34,5,65-74,1,Female,2,NHB,1390166,0,5,1,2,34,65-74,Female,NHB,65,1390166,1390166
35,5,65-74,1,Female,3,HIS,1616432,0,5,1,3,35,65-74,Female,HIS,65,1616432,1616432
36,5,65-74,1,Female,4,OTH,1089947,0,5,1,4,36,65-74,Female,OTH,65,1089947,1089947
37,5,65-74,2,Male,1,NHW,10345066,0,5,0,1,37,65-74,Male,NHW,65,10345066,10345066
38,5,65-74,2,Male,2,NHB,1099252,0,5,0,2,38,65-74,Male,NHB,65,1099252,1099252
39,5,65-74,2,Male,3,HIS,1168063,0,5,0,3,39,65-74,Male,HIS,65,1168063,1168063
40,5,65-74,2,Male,4,OTH,989548,0,5,0,4,40,65-74,Male,OTH,65,989548,989548
41,6,75+,1,Female,1,NHW,9145660,0,6,1,1,41,75+,Female,NHW,75,9145660,9145660
42,6,75+,1,Female,2,NHB,1249362,0,6,1,2,42,75+,Female,NHB,75,1249362,1249362
43,6,75+,1,Female,3,HIS,737080,0,6,1,3,43,75+,Female,HIS,75,737080,737080
44,6,75+,1,Female,4,OTH,689818,0,6,1,4,44,75+,Female,OTH,75,689818,689818
45,6,75+,2,Male,1,NHW,6831819,0,6,0,1,45,75+,Male,NHW,75,6831819,6831819
46,6,75+,2,Male,2,NHB,670963,0,6,0,2,46,75+,Male,NHB,75,670963,670963
47,6,75+,2,Male,3,HIS,548525,0,6,0,3,47,75+,Male,HIS,75,548525,548525
48,6,75+,2,Male,4,OTH,638884,0,6,0,4,48,75+,Male,OTH,75,638884,638884
