disease,subgroup,Sex,Age_label,Race_label,count,se,X1,X2
AA,1,1,20-34,NHW,20,4,22.113605178601247,26.517709111490188
AA,2,1,20-34,NHB,13,4,20.38787616640176,9.790871010867061
AA,3,1,20-34,HIS,9,2,9.824375643288361,9.73537417520854
AA,4,1,20-34,OTH,4,1,3.296855190927732,5.411423248447
AA,5,2,20-34,NHW,45,6,42.414891503084554,56.507839573145944
AA,6,2,20-34,NHB,27,5,24.79522022394558,34.76786980325656
AA,7,2,20-34,HIS,20,5,22.52911735763677,27.400653535246917
AA,8,2,20-34,OTH,9,1,9.653109717953164,7.427090169811935
AA,9,1,35-44,NHW,44,8,61.20353431941619,47.4887029632883
AA,10,1,35-44,NHB,25,6,21.46453663998108,28.942279249026367
AA,11,1,35-44,HIS,9,2,4.897315454544223,4.8919677890962125
AA,12,1,35-44,OTH,8,1,7.116929493888221,6.54976530206366
AA,13,2,35-44,NHW,134,12,130.12700638434796,156.58830770206058
AA,14,2,35-44,NHB,86,10,87.1772737034774,77.94859119624107
AA,15,2,35-44,HIS,29,6,41.674887836272475,33.39573433433979
AA,16,2,35-44,OTH,12,4,9.493353202578106,14.197149470163101
AA,17,1,45-54,NHW,91,10,79.15382517325456,85.2360808169963
AA,18,1,45-54,NHB,44,7,36.94891359985619,51.55106784480618
AA,19,1,45-54,HIS,13,4,8.527133507557167,12.884501014937555
AA,20,1,45-54,OTH,9,1,10.222648204850696,9.705108025440417
AA,21,2,45-54,NHW,282,18,297.4520869468615,258.5584109509779
AA,22,2,45-54,NHB,108,11,105.327521231214,110.49715947321631
AA,23,2,45-54,HIS,60,8,57.64131037226368,38.71909302709887
AA,24,2,45-54,OTH,23,5,25.750762295337488,17.09430523526417
AA,25,1,55-64,NHW,244,16,264.3300355914541,213.4148950278046
AA,26,1,55-64,NHB,81,9,83.84683565245263,74.37773400754597
AA,27,1,55-64,HIS,22,5,13.860881765813062,21.64365841239368
AA,28,1,55-64,OTH,15,4,13.271934171698405,15.09652551432109
AA,29,2,55-64,NHW,774,28,827.6645003195755,808.873047557416
AA,30,2,55-64,NHB,172,14,164.98644670219048,179.35282203920548
AA,31,2,55-64,HIS,83,10,72.84530154975715,105.29467717567456
AA,32,2,55-64,OTH,40,7,38.31940286471696,47.83984097992985
AA,33,1,65-74,NHW,603,25,608.6260304611762,607.4029541621275
AA,34,1,65-74,NHB,108,11,87.61803886749743,106.47878010619866
AA,35,1,65-74,HIS,32,6,31.995303010201535,29.21597834064189
AA,36,1,65-74,OTH,28,6,32.31487517234174,26.156690390543318
AA,37,2,65-74,NHW,1143,35,1151.4935650621605,1096.499070787296
AA,38,2,65-74,NHB,125,12,113.28493698514268,117.8663967418302
AA,39,2,65-74,HIS,63,8,53.92516820743484,45.17782355611127
AA,40,2,65-74,OTH,53,8,61.57634213665396,62.421792345276984
AA,41,1,75+,NHW,2333,69,2188.3322917701516,2390.6192331049174
AA,42,1,75+,NHB,215,21,212.1445785107761,225.75555069165577
AA,43,1,75+,HIS,92,14,90.7136928850297,70.64722969560317
AA,44,1,75+,OTH,92,14,89.07893490573825,82.53529579343281
