age_gp,sex_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,CED,MJ,-16430864.022356339,-16412590.643203806,-16273231.561743783,-16370104.431867845,90757.41881089157,0,0,0,0,0,-16430864.022356339,-16412590.643203806,-16273231.561743783,-16370104.431867845,90757.41881089157,-470628721.0533307,-461845057.3704756,-451326319.8778638,-461236259.5424908,10172830.372958215,-12253361.057722872,-12228801.280171301,-12082489.138954358,-12186081.152569419,97245.19273261573,-4202428.692698559,-4191108.373302948,-4159595.5359944543,-4184023.279298428,23363.86813434777,37935435.930256106,38074795.01171614,38093068.39086867,38032308.80038018,90757.41881089608,21662204.36851233,21662204.36851233,21662204.36851233,21662204.36851233,0,28694688.777881633,28841000.91909858,28865560.69665015,28798280.791496694,97245.19273261851,16612199.638927279,16612199.638927279,16612199.638927279,16612199.638927279,0,9209600.265579507,9241113.102888,9252433.422283608,9234028.008883478,23363.868134346823,5050004.729585052,5050004.729585052,5050004.729585052,5050004.729585052,0,-12253361.057722872,-12228801.280171301,-12082489.138954358,-12186081.152569419,97245.19273261573,-4202428.692698559,-4191108.373302948,-4159595.5359944543,-4184023.279298428,23363.86813434777,0,0,0,0,0,0,0,0,0,0,9209600.265579507,9241113.102888,9252433.422283608,9234028.008883478,23363.868134346823,5050004.729585052,5050004.729585052,5050004.729585052,5050004.729585052,0
20-34,Female,FL,mrh-eq,-537268.7753476877,-533011.0824976297,-526784.0956488005,-532320.1021471837,5550.603637478012,0,0,0,0,0,-537268.7753476877,-533011.0824976297,-526784.0956488005,-532320.1021471837,5550.603637478012,-470628721.0533307,-461845057.3704756,-451326319.8778638,-461236259.5424908,10172830.372958215,-393711.7478822645,-389349.6207202866,-387116.0584939956,-390096.4856100013,3531.1585521870684,-143655.96523461057,-143551.5309226905,-139662.54061207242,-142223.61653718245,2395.848686464981,1296541.6295372602,1302768.6163860892,1307026.3092361472,1302077.6360356433,5550.603637478006,769757.5338884594,769757.5338884594,769757.5338884594,769757.5338884596,0,977520.0409635996,979753.6031898909,984115.7303518688,980500.4680796055,3531.15855218719,590403.9824696041,590403.9824696041,590403.9824696041,590403.9824696041,0,319016.09203092766,322905.0823415458,323009.51665346575,321577.1679560376,2395.848686465005,179353.55141885523,179353.55141885523,179353.55141885523,179353.55141885523,0,-393711.7478822645,-389349.6207202866,-387116.0584939956,-390096.4856100013,3531.1585521870684,-143655.96523461057,-143551.5309226905,-139662.54061207242,-142223.61653718245,2395.848686464981,0,0,0,0,0,0,0,0,0,0,319016.09203092766,322905.0823415458,323009.51665346575,321577.1679560376,2395.848686465005,179353.55141885523,179353.55141885523,179353.55141885523,179353.55141885523,0
20-34,Female,Food_price,USD,-15379993.433732811,-15068145.887725508,-13911078.019242361,-14771577.353523457,814658.8020961849,0,0,0,0,0,-15379993.433732811,-15068145.887725508,-13911078.019242361,-14771577.353523457,814658.8020961849,-470628721.0533307,-461845057.3704756,-451326319.8778638,-461236259.5424908,10172830.372958215,-10262863.279499985,-10060783.224859176,-9294383.73276577,-9862776.40470037,537797.080160204,-5117130.154232828,-5007362.662866325,-4616694.286476588,-4908800.948823085,276873.0354974351,27781343.587869465,28938411.45635261,29250259.002359927,28641842.922150567,814658.8020961885,13870265.568627106,13870265.568627106,13870265.568627106,13870265.568627106,0,18722988.38821793,19489387.88031134,19691467.934952147,19291381.060152534,537797.0801602071,9428604.655452162,9428604.655452162,9428604.655452162,9428604.655452162,0,9058355.199651536,9449023.576041274,9558791.067407776,9350461.861998035,276873.03549743525,4441660.913174947,4441660.913174947,4441660.913174947,4441660.913174947,0,-10262863.279499985,-10060783.224859176,-9294383.73276577,-9862776.40470037,537797.080160204,-5117130.154232828,-5007362.662866325,-4616694.286476588,-4908800.948823085,276873.0354974351,0,0,0,0,0,0,0,0,0,0,9058355.199651536,9449023.576041274,9558791.067407776,9350461.861998035,276873.03549743525,4441660.913174947,4441660.913174947,4441660.913174947,4441660.913174947,0
20-34,Male,CED,MJ,-16879124.882584162,-16396100.015881777,-16265784.566355718,-16519857.706119083,340137.79233504785,0,0,0,0,0,-16879124.882584162,-16396100.015881777,-16265784.566355718,-16519857.706119083,340137.79233504785,-384261361.43861127,-361105259.42204493,-361090641.09334475,-369225078.2598927,14077267.02952121,-12410227.037786517,-12005987.131915638,-11934407.90824074,-12122710.178300193,270062.8601639033,-4468897.84479764,-4390112.8839661395,-4331376.658114981,-4397147.527818891,72635.50849663281,42038605.56611519,42168921.01564126,42651945.88234364,42292678.70587856,340137.79233504855,25772820.999759473,25772820.999759473,25772820.999759473,25772820.999759477,0,31477678.676395297,31549257.900070187,31953497.80594108,31665980.94645475,270062.86016390676,19543270.768154554,19543270.768154554,19543270.768154554,19543270.768154554,0,10560926.8897199,10619663.115571057,10698448.076402558,10626697.75942381,72635.50849663188,6229550.231604919,6229550.231604919,6229550.231604919,6229550.231604919,0,-12410227.037786517,-12005987.131915638,-11934407.90824074,-12122710.178300193,270062.8601639033,-4468897.84479764,-4390112.8839661395,-4331376.658114981,-4397147.527818891,72635.50849663281,0,0,0,0,0,0,0,0,0,0,10560926.8897199,10619663.115571057,10698448.076402558,10626697.75942381,72635.50849663188,6229550.231604919,6229550.231604919,6229550.231604919,6229550.231604919,0
20-34,Male,FL,mrh-eq,-508638.9461818688,-493587.4771278885,-488924.5836773102,-497232.59137469623,10845.557149148313,0,0,0,0,0,-508638.9461818688,-493587.4771278885,-488924.5836773102,-497232.59137469623,10845.557149148313,-384261361.43861127,-361105259.42204493,-361090641.09334475,-369225078.2598927,14077267.02952121,-368887.9847749332,-355802.0742392887,-353404.72690973006,-359552.44729405566,8772.48703022356,-139750.9614069356,-137785.4028885997,-135519.85676758012,-137680.14408064052,2228.762124270472,1390816.1457170479,1395479.039167626,1410530.5082216065,1399124.1534144338,10845.557149148346,901891.5620397376,901891.5620397376,901891.5620397376,901891.5620397376,0,1040924.0228834897,1043321.3702130483,1056407.280748693,1047071.7432678152,8772.487030223607,687519.2959737596,687519.2959737596,687519.2959737596,687519.2959737596,0,349892.12283355807,352157.6689545777,354123.22747291357,352052.4101466185,2228.762124270473,214372.26606597798,214372.26606597798,214372.26606597798,214372.26606597798,0,-368887.9847749332,-355802.0742392887,-353404.72690973006,-359552.44729405566,8772.48703022356,-139750.9614069356,-137785.4028885997,-135519.85676758012,-137680.14408064052,2228.762124270472,0,0,0,0,0,0,0,0,0,0,349892.12283355807,352157.6689545777,354123.22747291357,352052.4101466185,2228.762124270473,214372.26606597798,214372.26606597798,214372.26606597798,214372.26606597798,0
20-34,Male,Food_price,USD,-12857273.269980246,-12401519.624186428,-12249298.57675282,-12508022.290277729,333014.3978933506,0,0,0,0,0,-12857273.269980246,-12401519.624186428,-12249298.57675282,-12508022.290277729,333014.3978933506,-384261361.43861127,-361105259.42204493,-361090641.09334475,-369225078.2598927,14077267.02952121,-8549866.366551224,-8260547.746918973,-8148177.787818265,-8322634.996228285,218145.45523915402,-4307406.903429022,-4140971.8772674548,-4101120.788934553,-4185387.294049443,115183.973608167,27869331.04308211,28021552.09051571,28477305.736309532,28128054.756607015,333014.39789334714,15620032.466329286,15620032.466329286,15620032.466329286,15620032.466329286,0,18738913.412204772,18851283.37130548,19140601.990937732,18913370.620614797,218145.4552391539,10590735.624386512,10590735.624386512,10590735.624386512,10590735.624386512,0,9130417.630877329,9170268.71921023,9336703.7453718,9214684.13599222,115183.97360816717,5029296.841942774,5029296.841942774,5029296.841942774,5029296.841942774,0,-8549866.366551224,-8260547.746918973,-8148177.787818265,-8322634.996228285,218145.45523915402,-4307406.903429022,-4140971.8772674548,-4101120.788934553,-4185387.294049443,115183.973608167,0,0,0,0,0,0,0,0,0,0,9130417.630877329,9170268.71921023,9336703.7453718,9214684.13599222,115183.97360816717,5029296.841942774,5029296.841942774,5029296.841942774,5029296.841942774,0
35-44,Female,CED,MJ,-9555981.013320573,-8718203.912160464,-8603690.737006295,-8971980.728302898,547274.0318203176,0,0,0,0,0,-9555981.013320573,-8718203.912160464,-8603690.737006295,-8971980.728302898,547274.0318203176,-281845815.49355817,-249609841.7205291,-242874551.70175326,-258557450.0553548,21926097.388233006,-7153487.481927022,-6514299.714101717,-6427836.884703558,-6708238.288988435,417220.6354702489,-2402493.53139355,-2203904.1980587463,-2175853.85230274,-2263742.4393144646,130054.38833135738,20409827.057099324,20524340.232253484,21362117.333413597,20778117.048395924,547274.0318203161,11806136.320093026,11806136.320093026,11806136.320093026,11806136.320093026,0,15498389.845197288,15584852.674595447,16224040.442420758,15778791.24948217,417220.63547025196,9070552.960493732,9070552.960493732,9070552.960493732,9070552.960493732,0,4911437.211902031,4939487.557658038,5138076.890992842,4999325.798913756,130054.38833135812,2735583.359599292,2735583.359599292,2735583.359599292,2735583.359599292,0,-7153487.481927022,-6514299.714101717,-6427836.884703558,-6708238.288988435,417220.6354702489,-2402493.53139355,-2203904.1980587463,-2175853.85230274,-2263742.4393144646,130054.38833135738,0,0,0,0,0,0,0,0,0,0,4911437.211902031,4939487.557658038,5138076.890992842,4999325.798913756,130054.38833135812,2735583.359599292,2735583.359599292,2735583.359599292,2735583.359599292,0
35-44,Female,FL,mrh-eq,-317355.0660857176,-286257.4919384328,-285721.68609345716,-296980.91941292724,19064.05073850568,0,0,0,0,0,-317355.0660857176,-286257.4919384328,-285721.68609345716,-296980.91941292724,19064.05073850568,-281845815.49355817,-249609841.7205291,-242874551.70175326,-258557450.0553548,21926097.388233006,-233913.7198287411,-210314.257838866,-210051.53598651357,-218502.587711681,14422.764955989565,-83441.3462569764,-75943.2340995668,-75670.15010694365,-78478.33170124626,4642.088363624499,705256.3685287714,705792.1743737468,736889.7485210316,716515.6018482414,19064.050738505593,419534.68243531405,419534.68243531405,419534.68243531405,419534.682435314,0,531627.9653601986,531890.6872125511,555490.1492024262,540079.0170853661,14422.764955989607,321576.42937368515,321576.42937368515,321576.42937368515,321576.42937368515,0,173628.40316857255,173901.48716119572,181399.59931860532,176436.58476287514,4642.088363624495,97958.2530616289,97958.2530616289,97958.2530616289,97958.2530616289,0,-233913.7198287411,-210314.257838866,-210051.53598651357,-218502.587711681,14422.764955989565,-83441.3462569764,-75943.2340995668,-75670.15010694365,-78478.33170124626,4642.088363624499,0,0,0,0,0,0,0,0,0,0,173628.40316857255,173901.48716119572,181399.59931860532,176436.58476287514,4642.088363624495,97958.2530616289,97958.2530616289,97958.2530616289,97958.2530616289,0
35-44,Female,Food_price,USD,-7529489.261561804,-6887400.987810345,-6845670.662186041,-7098052.899433908,403499.61428618367,0,0,0,0,0,-7529489.261561804,-6887400.987810345,-6845670.662186041,-7098052.899433908,403499.61428618367,-281845815.49355817,-249609841.7205291,-242874551.70175326,-258557450.0553548,21926097.388233006,-5054392.1400825605,-4614981.540528937,-4583955.065598691,-4758274.215835385,276955.9362386766,-2475097.121479244,-2272419.4472814086,-2261715.596587349,-2339778.683598523,126552.76543105794,13858305.574101862,13900035.899726167,14542124.17347763,14110687.81134973,403499.61428618536,7012634.911915822,7012634.911915822,7012634.911915822,7012634.911915821,0,9399964.705043638,9430991.17997388,9870401.779527506,9574283.85528033,276955.9362386768,4816009.639444944,4816009.639444944,4816009.639444944,4816009.639444944,0,4458340.869058226,4469044.719752286,4671722.393950122,4536403.9560694,126552.76543105821,2196625.272470877,2196625.272470877,2196625.272470877,2196625.272470877,0,-5054392.1400825605,-4614981.540528937,-4583955.065598691,-4758274.215835385,276955.9362386766,-2475097.121479244,-2272419.4472814086,-2261715.596587349,-2339778.683598523,126552.76543105794,0,0,0,0,0,0,0,0,0,0,4458340.869058226,4469044.719752286,4671722.393950122,4536403.9560694,126552.76543105821,2196625.272470877,2196625.272470877,2196625.272470877,2196625.272470877,0
35-44,Male,CED,MJ,-9104262.503480284,-8701474.731957853,-8624902.772535995,-8815936.420414194,271069.49547563,0,0,0,0,0,-9104262.503480284,-8701474.731957853,-8624902.772535995,-8815936.420414194,271069.49547563,-213035088.52009284,-193152368.39188236,-191680773.24596092,-199612412.2453171,12554552.670658777,-6627028.6533055315,-6318563.317829796,-6261332.529851839,-6406715.790636034,207059.11610168614,-2477233.850174754,-2382911.4141280563,-2363570.242684155,-2409220.6297781602,64014.97187871061,21935991.632868323,22012563.592290174,22415351.36381261,22127025.28074652,271069.49547563225,13311088.860332325,13311088.860332325,13311088.860332325,13311088.860332325,0,16335110.797777535,16392341.585755493,16700806.921231225,16480494.05856173,207059.11610168457,10073778.267925698,10073778.267925698,10073778.267925698,10073778.267925698,0,5600880.835090782,5620222.006534684,5714544.44258138,5646531.2221847875,64014.97187870979,3237310.5924066277,3237310.5924066277,3237310.5924066277,3237310.592406628,0,-6627028.6533055315,-6318563.317829796,-6261332.529851839,-6406715.790636034,207059.11610168614,-2477233.850174754,-2382911.4141280563,-2363570.242684155,-2409220.6297781602,64014.97187871061,0,0,0,0,0,0,0,0,0,0,5600880.835090782,5620222.006534684,5714544.44258138,5646531.2221847875,64014.97187870979,3237310.5924066277,3237310.5924066277,3237310.5924066277,3237310.592406628,0
35-44,Male,FL,mrh-eq,-287560.86120556574,-272688.59546617145,-271314.6445239353,-277424.84627219185,9483.538596846665,0,0,0,0,0,-287560.86120556574,-272688.59546617145,-271314.6445239353,-277424.84627219185,9483.538596846665,-213035088.52009284,-193152368.39188236,-191680773.24596092,-199612412.2453171,12554552.670658777,-206221.62257008976,-194736.13020728668,-193759.64573634227,-198423.50139741253,7295.00927749873,-81339.23863547595,-77952.46525888475,-77554.99878759294,-79001.34487477927,2189.0639261684537,739263.1412846335,740637.0922268697,755509.3579662639,745373.34303289,9483.538596846594,467948.49676069827,467948.49676069827,467948.49676069827,467948.49676069827,0,549219.347499163,550195.8319701074,561681.3243329105,553883.2031602333,7295.009277498762,355459.70176282077,355459.70176282077,355459.70176282077,355459.70176282077,0,190043.79378547036,190441.26025676215,193828.03363335336,191490.13987265667,2189.063926168453,112488.79499787746,112488.79499787746,112488.79499787746,112488.79499787746,0,-206221.62257008976,-194736.13020728668,-193759.64573634227,-198423.50139741253,7295.00927749873,-81339.23863547595,-77952.46525888475,-77554.99878759294,-79001.34487477927,2189.0639261684537,0,0,0,0,0,0,0,0,0,0,190043.79378547036,190441.26025676215,193828.03363335336,191490.13987265667,2189.063926168453,112488.79499787746,112488.79499787746,112488.79499787746,112488.79499787746,0
35-44,Male,Food_price,USD,-7946035.051241295,-7717011.717786013,-7669818.839122315,-7780811.877362008,155522.67986422524,0,0,0,0,0,-7946035.051241295,-7717011.717786013,-7669818.839122315,-7780811.877362008,155522.67986422524,-213035088.52009284,-193152368.39188236,-191680773.24596092,-199612412.2453171,12554552.670658777,-5285763.606738145,-5127100.278149647,-5098073.264411805,-5172586.704413036,106349.03420459751,-2660271.4445031504,-2589911.4396363664,-2571745.574710509,-2608225.172948972,49218.000287867195,15256777.305550374,15303970.184214074,15532993.517669352,15367770.343790067,155522.67986422378,7586958.466428061,7586958.466428061,7586958.466428061,7586958.466428061,0,10200817.902145132,10229844.915882971,10388508.244471472,10275331.342146361,106349.03420459705,5102744.637733325,5102744.637733325,5102744.637733325,5102744.637733325,0,5055959.4034052435,5074125.268331102,5144485.273197885,5092439.001643707,49218.00028786676,2484213.8286947343,2484213.8286947343,2484213.8286947343,2484213.8286947343,0,-5285763.606738145,-5127100.278149647,-5098073.264411805,-5172586.704413036,106349.03420459751,-2660271.4445031504,-2589911.4396363664,-2571745.574710509,-2608225.172948972,49218.000287867195,0,0,0,0,0,0,0,0,0,0,5055959.4034052435,5074125.268331102,5144485.273197885,5092439.001643707,49218.00028786676,2484213.8286947343,2484213.8286947343,2484213.8286947343,2484213.8286947343,0
45-54,Female,CED,MJ,-8693658.981073426,-7723790.658696738,-7158785.3091532495,-7865847.842146982,817142.3752361094,0,0,0,0,0,-8693658.981073426,-7723790.658696738,-7158785.3091532495,-7865847.842146982,817142.3752361094,-228926076.23639587,-205086733.43503356,-189021010.63602972,-207814319.40077338,21135084.041414186,-6463369.612331671,-5779826.757310758,-5344763.213382948,-5867012.48050132,593562.1682564198,-2230289.368741754,-1943963.9013859825,-1814022.0957703004,-1998835.361645663,224182.3508572287,17522634.21220426,18087639.561747752,19057507.88412443,18229696.745197993,817142.3752361073,10363848.90305101,10363848.90305101,10363848.90305101,10363848.90305101,0,13332534.085392963,13767597.629320774,14451140.484341687,13854783.352511337,593562.1682564189,7987770.872010019,7987770.872010019,7987770.872010019,7987770.872010019,0,4190100.126811291,4320041.932426973,4606367.399782743,4374913.392686654,224182.3508572283,2376078.0310409907,2376078.0310409907,2376078.0310409907,2376078.0310409907,0,-6463369.612331671,-5779826.757310758,-5344763.213382948,-5867012.48050132,593562.1682564198,-2230289.368741754,-1943963.9013859825,-1814022.0957703004,-1998835.361645663,224182.3508572287,0,0,0,0,0,0,0,0,0,0,4190100.126811291,4320041.932426973,4606367.399782743,4374913.392686654,224182.3508572283,2376078.0310409907,2376078.0310409907,2376078.0310409907,2376078.0310409907,0
45-54,Female,FL,mrh-eq,-281479.36521235126,-247848.2654533267,-230153.74349341428,-253440.04713722572,27444.11402962471,0,0,0,0,0,-281479.36521235126,-247848.2654533267,-230153.74349341428,-253440.04713722572,27444.11402962471,-228926076.23639587,-205086733.43503356,-189021010.63602972,-207814319.40077338,21135084.041414186,-205665.24615205632,-182660.53732519294,-169118.02834625496,-185980.60744727202,19449.085017884096,-75814.11906029504,-65187.72812813378,-61035.715147159324,-67459.43968995371,8023.057932519613,601680.7480247696,619375.2699846821,653006.3697437067,624967.0516685811,27444.114029624732,371527.00453135534,371527.00453135534,371527.00453135534,371527.00453135534,0,455962.4145580431,469504.9235369812,492509.63236384443,472824.9936590602,19449.085017884026,286844.38621178817,286844.38621178817,286844.38621178817,286844.38621178817,0,145718.33346672656,149870.34644770098,160496.73737986223,152142.0580095209,8023.057932519593,84682.6183195672,84682.6183195672,84682.6183195672,84682.6183195672,0,-205665.24615205632,-182660.53732519294,-169118.02834625496,-185980.60744727202,19449.085017884096,-75814.11906029504,-65187.72812813378,-61035.715147159324,-67459.43968995371,8023.057932519613,0,0,0,0,0,0,0,0,0,0,145718.33346672656,149870.34644770098,160496.73737986223,152142.0580095209,8023.057932519593,84682.6183195672,84682.6183195672,84682.6183195672,84682.6183195672,0
