outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
CED,MJ,-102977647.45863754,-101868846.30598074,-101056853.45831229,-101972989.57088894,1014959.3892674223,0,0,0,0,0,-102977647.45863754,-101868846.30598074,-101056853.45831229,-101972989.57088894,1014959.3892674223,-2591031340.0959396,-2584300748.4171524,-2567200059.1309376,-2580662117.6777043,12932557.43103189,-76177973.16607785,-75401847.22718757,-74865244.51858315,-75485890.46588437,694732.913579161,-26799674.29255964,-26466999.07879313,-26191608.93972916,-26487099.10500455,320507.4461824212,242247764.82482475,243059757.67249298,244168558.82514963,243163900.93740118,1014959.38926723,141190911.36651203,141190911.36651203,141190911.36651203,141190911.36651203,0,182634001.36754283,183170604.07614735,183946730.01503754,183254647.31484404,694732.9135791627,107768756.84895964,107768756.84895964,107768756.84895964,107768756.84895964,0,59613763.457281694,59889153.59634572,60221828.81011217,59909253.6225571,320507.4461824229,33422154.517552555,33422154.517552555,33422154.517552555,33422154.517552555,0,-76177973.16607785,-75401847.22718757,-74865244.51858315,-75485890.46588437,694732.913579161,-26799674.29255964,-26466999.07879313,-26191608.93972916,-26487099.10500455,320507.4461824212,0,0,0,0,0,0,0,0,0,0,59613763.457281694,59889153.59634572,60221828.81011217,59909253.6225571,320507.4461824229,33422154.517552555,33422154.517552555,33422154.517552555,33422154.517552555,0
FL,mrh-eq,-3301951.5345828612,-3269463.1260316405,-3237039.168876571,-3269485.7405566056,34164.40861679232,0,0,0,0,0,-3301951.5345828612,-3269463.1260316405,-3237039.168876571,-3269485.7405566056,34164.40861679232,-2591031340.0959396,-2584300748.4171524,-2567200059.1309376,-2580662117.6777043,12932557.43103189,-2403485.2161950096,-2382643.5953815985,-2361683.545190071,-2382602.0412138384,22000.90890830635,-898466.3183878527,-886819.5306500426,-875355.6236865007,-886883.6993427683,12163.650472140023,8252594.330055479,8285018.287210546,8317506.695761767,8285040.901735512,34164.40861679139,5015555.161178901,5015555.161178901,5015555.161178901,5015555.161178901,0,6195217.787447032,6216177.837638561,6237019.4584519705,6216136.283470799,22000.908908306585,3833534.2422569594,3833534.2422569594,3833534.2422569594,3833534.2422569594,0,2057376.5426084467,2068840.4495719867,2080487.2373097981,2068904.6182647136,12163.650472139796,1182020.9189219454,1182020.9189219454,1182020.9189219454,1182020.9189219454,0,-2403485.2161950096,-2382643.5953815985,-2361683.545190071,-2382602.0412138384,22000.90890830635,-898466.3183878527,-886819.5306500426,-875355.6236865007,-886883.6993427683,12163.650472140023,0,0,0,0,0,0,0,0,0,0,2057376.5426084467,2068840.4495719867,2080487.2373097981,2068904.6182647136,12163.650472139796,1182020.9189219454,1182020.9189219454,1182020.9189219454,1182020.9189219454,0
Food_price,USD,-77859741.25515325,-76981747.736061,-75096160.97773202,-76628206.24860951,1486391.7027793932,0,0,0,0,0,-77859741.25515325,-76981747.736061,-75096160.97773202,-76628206.24860951,1486391.7027793932,-2591031340.0959396,-2584300748.4171524,-2567200059.1309376,-2580662117.6777043,12932557.43103189,-51984932.30418696,-51421726.624778725,-50173577.510965705,-51181395.59516301,975799.7912506937,-25874808.95096623,-25560021.111282296,-24922583.46676629,-25446810.653446484,510671.2594785375,153988598.33111593,155874185.08944497,156752178.60853717,155520643.60199344,1486391.7027794211,78892437.35338391,78892437.35338391,78892437.35338391,78892437.35338391,0,104062716.95714037,105310866.0709534,105874071.75036167,105070535.04133768,975799.7912507186,53889139.446174696,53889139.446174696,53889139.446174696,53889139.4461747,0,49925881.37397549,50563319.018491514,50878106.85817544,50450108.56065569,510671.2594785424,25003297.90720923,25003297.90720923,25003297.90720923,25003297.90720923,0,-51984932.30418696,-51421726.624778725,-50173577.510965705,-51181395.59516301,975799.7912506937,-25874808.95096623,-25560021.111282296,-24922583.46676629,-25446810.653446484,510671.2594785375,0,0,0,0,0,0,0,0,0,0,49925881.37397549,50563319.018491514,50878106.85817544,50450108.56065569,510671.2594785424,25003297.90720923,25003297.90720923,25003297.90720923,25003297.90720923,0
