race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
HIS,CED,MJ,-14710114.868915651,-14391301.251308843,-14315298.59483947,-14476498.07977812,220508.2757924352,0,0,0,0,0,-14710114.868915651,-14391301.251308843,-14315298.59483947,-14476498.07977812,220508.2757924352,-365861390.9476983,-337002013.87129045,-336323544.73280156,-346890051.7442444,17748672.844536707,-10748170.170652159,-10521148.939245282,-10475657.211964387,-10584843.502096504,153669.45940577766,-3961944.69826349,-3870152.312063562,-3839641.382875076,-3891654.577681612,67009.54290333868,37631527.82326837,37707530.479737744,38026344.09734456,37792727.30820702,220508.27579244433,23316229.228428904,23316229.228428904,23316229.228428904,23316229.228428904,0,28187266.83830356,28232758.56558447,28459779.796991326,28296453.128435683,153669.45940577448,17711609.626339164,17711609.626339164,17711609.626339164,17711609.626339164,0,9444260.984964814,9474771.9141533,9566564.300353225,9496274.179771349,67009.5429033373,5604619.602089739,5604619.602089739,5604619.602089739,5604619.602089739,0,-10748170.170652159,-10521148.939245282,-10475657.211964387,-10584843.502096504,153669.45940577766,-3961944.69826349,-3870152.312063562,-3839641.382875076,-3891654.577681612,67009.54290333868,0,0,0,0,0,0,0,0,0,0,9444260.984964814,9474771.9141533,9566564.300353225,9496274.179771349,67009.5429033373,5604619.602089739,5604619.602089739,5604619.602089739,5604619.602089739,0
HIS,FL,mrh-eq,-477462.0023498431,-459374.93277038756,-455220.7352163546,-464263.6597968516,12448.033489841264,0,0,0,0,0,-477462.0023498431,-459374.93277038756,-455220.7352163546,-464263.6597968516,12448.033489841264,-365861390.9476983,-337002013.87129045,-336323544.73280156,-346890051.7442444,17748672.844536707,-343126.8150552754,-329942.827811324,-327457.67478515,-333696.80472984235,8864.585687565785,-134335.18729456782,-129432.10495906352,-127763.0604312046,-130566.85506700927,3595.9035257819905,1280775.9852814085,1284930.182835442,1303017.252414898,1289818.9098619062,12448.033489841659,825555.2500650546,825555.2500650546,825555.2500650546,825555.2500650546,0,956207.5545195654,958692.7075457398,971876.6947896911,962446.684464258,8864.585687565886,628749.8797344158,628749.8797344158,628749.8797344158,628749.8797344158,0,324568.4307618438,326237.4752897027,331140.5576252071,327372.2253976485,3595.903525782044,196805.3703306392,196805.3703306392,196805.3703306392,196805.3703306392,0,-343126.8150552754,-329942.827811324,-327457.67478515,-333696.80472984235,8864.585687565785,-134335.18729456782,-129432.10495906352,-127763.0604312046,-130566.85506700927,3595.9035257819905,0,0,0,0,0,0,0,0,0,0,324568.4307618438,326237.4752897027,331140.5576252071,327372.2253976485,3595.903525782044,196805.3703306392,196805.3703306392,196805.3703306392,196805.3703306392,0
HIS,Food_price,USD,-11526709.880082102,-10711286.436980732,-10608588.61154021,-10961365.601072257,529535.5721667175,0,0,0,0,0,-11526709.880082102,-10711286.436980732,-10608588.61154021,-10961365.601072257,529535.5721667175,-365861390.9476983,-337002013.87129045,-336323544.73280156,-346890051.7442444,17748672.844536707,-7682302.983222801,-7133873.00576664,-7065858.54570871,-7302439.853976545,355774.20072367886,-3844406.896859304,-3577413.43121409,-3542730.065831496,-3658925.747095711,173762.53253219166,22742713.380558666,22845411.20599919,23660834.649100564,23095490.37009072,529535.5721667185,12134124.769018456,12134124.769018456,12134124.769018456,12134124.769018456,0,15358353.619402315,15426368.079460243,15974798.056916408,15594934.927670151,355774.2007236809,8292495.073693606,8292495.073693606,8292495.073693606,8292495.073693606,0,7384359.761156352,7419043.126538944,7686036.592184159,7500555.442420567,173762.53253219146,3841629.695324854,3841629.695324854,3841629.695324854,3841629.6953248545,0,-7682302.983222801,-7133873.00576664,-7065858.54570871,-7302439.853976545,355774.20072367886,-3844406.896859304,-3577413.43121409,-3542730.065831496,-3658925.747095711,173762.53253219166,0,0,0,0,0,0,0,0,0,0,7384359.761156352,7419043.126538944,7686036.592184159,7500555.442420567,173762.53253219146,3841629.695324854,3841629.695324854,3841629.695324854,3841629.6953248545,0
NHB,CED,MJ,-13827177.53220583,-13610013.141359525,-13302345.805456107,-13578257.72204124,277592.8396142556,0,0,0,0,0,-13827177.53220583,-13610013.141359525,-13302345.805456107,-13578257.72204124,277592.8396142556,-409065328.580508,-391292918.939821,-384771878.21363854,-395240767.6817524,13235241.068927476,-10115232.381583711,-9952101.036504583,-9704929.92807048,-9922613.40023968,217453.36089496128,-3711945.1506221183,-3657912.1048549362,-3597415.8773856284,-3655644.3218015586,60310.550583808275,31612165.194510967,31919832.530414384,32136996.92126069,31888077.1110961,277592.83961425547,18309819.389054865,18309819.389054865,18309819.389054865,18309819.389054865,0,23656607.064205013,23903778.17263911,24066909.51771824,23874290.536374208,217453.36089496006,13951677.136134533,13951677.136134533,13951677.136134533,13951677.136134533,0,7955558.130305959,8016054.357775267,8070087.403542446,8013786.574721888,60310.550583807155,4358142.252920331,4358142.252920331,4358142.252920331,4358142.252920331,0,-10115232.381583711,-9952101.036504583,-9704929.92807048,-9922613.40023968,217453.36089496128,-3711945.1506221183,-3657912.1048549362,-3597415.8773856284,-3655644.3218015586,60310.550583808275,0,0,0,0,0,0,0,0,0,0,7955558.130305959,8016054.357775267,8070087.403542446,8013786.574721888,60310.550583807155,4358142.252920331,4358142.252920331,4358142.252920331,4358142.252920331,0
NHB,FL,mrh-eq,-451301.6163038565,-440647.5371593001,-432633.12380539405,-441573.7356823353,9858.208385629412,0,0,0,0,0,-451301.6163038565,-440647.5371593001,-432633.12380539405,-441573.7356823353,9858.208385629412,-409065328.580508,-391292918.939821,-384771878.21363854,-395240767.6817524,13235241.068927476,-326087.06069388834,-317966.30237710255,-311430.2639749691,-318522.34445241914,7729.118996398328,-125214.5556099682,-122681.2347821976,-121202.85983042508,-123051.39122991623,2135.6149765750233,1069046.5552729564,1077060.9686268626,1087715.047771419,1077987.1671498977,9858.208385629485,636413.4314675626,636413.4314675626,636413.4314675626,636413.4314675626,0,798232.3448689056,804768.383271039,812889.1415878247,805324.4253463555,7729.1189963982415,486802.08089393657,486802.08089393657,486802.08089393657,486802.08089393657,0,270814.21040405094,272292.58535582334,274825.9061835939,272662.74180354195,2135.6149765749483,149611.3505736258,149611.3505736258,149611.3505736258,149611.3505736258,0,-326087.06069388834,-317966.30237710255,-311430.2639749691,-318522.34445241914,7729.118996398328,-125214.5556099682,-122681.2347821976,-121202.85983042508,-123051.39122991623,2135.6149765750233,0,0,0,0,0,0,0,0,0,0,270814.21040405094,272292.58535582334,274825.9061835939,272662.74180354195,2135.6149765749483,149611.3505736258,149611.3505736258,149611.3505736258,149611.3505736258,0
NHB,Food_price,USD,-12623647.892745523,-12592029.453800816,-12375756.627233064,-12527238.440599747,142023.19963832453,0,0,0,0,0,-12623647.892745523,-12592029.453800816,-12375756.627233064,-12527238.440599747,142023.19963832453,-409065328.580508,-391292918.939821,-384771878.21363854,-395240767.6817524,13235241.068927476,-8412864.072001182,-8395406.674570525,-8249796.089393925,-8350440.643782474,94246.65600669332,-4210783.820744337,-4196622.779230293,-4125960.5378391338,-4176797.7968172706,47831.41520311331,21986101.014800988,22202373.841368742,22233992.28031344,22137582.828167673,142023.19963832368,9610344.387567928,9610344.387567928,9610344.387567928,9610344.387567928,0,14737621.04871657,14883231.633893164,14900689.031323828,14838265.603105118,94246.6560066926,6487824.959322644,6487824.959322644,6487824.959322644,6487824.9593226435,0,7248479.966084422,7319142.2074755775,7333303.248989625,7299317.225062557,47831.41520311254,3122519.428245287,3122519.428245287,3122519.428245287,3122519.428245287,0,-8412864.072001182,-8395406.674570525,-8249796.089393925,-8350440.643782474,94246.65600669332,-4210783.820744337,-4196622.779230293,-4125960.5378391338,-4176797.7968172706,47831.41520311331,0,0,0,0,0,0,0,0,0,0,7248479.966084422,7319142.2074755775,7333303.248989625,7299317.225062557,47831.41520311254,3122519.428245287,3122519.428245287,3122519.428245287,3122519.428245287,0
NHW,CED,MJ,-66889711.83907633,-66559963.45200003,-65319986.88725994,-66240585.14404783,871240.7497334629,0,0,0,0,0,-66889711.83907633,-66559963.45200003,-65319986.88725994,-66240585.14404783,871240.7497334629,-1654870216.1460066,-1637263566.49646,-1632808537.3956165,-1641878170.1977594,12279892.696081175,-49682051.40934068,-49527379.36842326,-48616133.02700222,-49261914.701579876,606288.2749607685,-17207660.42973566,-17032584.083576765,-16703853.860257715,-16978670.44246794,269240.69771656516,151397241.26699942,152637217.83173943,152966966.2188158,152317839.52378726,871240.7497334449,86077254.37973945,86077254.37973945,86077254.37973945,86077254.37973945,0,114424357.90060869,115335604.24202976,115490276.28294715,115070139.57518637,606288.2749607761,65808224.873606496,65808224.873606496,65808224.873606496,65808224.873606496,0,36972883.366390675,37301613.58970973,37476689.93586862,37247699.9486009,269240.69771656516,20269029.506132957,20269029.506132957,20269029.506132957,20269029.506132957,0,-49682051.40934068,-49527379.36842326,-48616133.02700222,-49261914.701579876,606288.2749607685,-17207660.42973566,-17032584.083576765,-16703853.860257715,-16978670.44246794,269240.69771656516,0,0,0,0,0,0,0,0,0,0,36972883.366390675,37301613.58970973,37476689.93586862,37247699.9486009,269240.69771656516,20269029.506132957,20269029.506132957,20269029.506132957,20269029.506132957,0
NHW,FL,mrh-eq,-2136293.047313975,-2124026.9653529394,-2090011.6267693203,-2116395.6472397526,25239.279333731065,0,0,0,0,0,-2136293.047313975,-2124026.9653529394,-2090011.6267693203,-2116395.6472397526,25239.279333731065,-1654870216.1460066,-1637263566.49646,-1632808537.3956165,-1641878170.1977594,12279892.696081175,-1560703.3693447113,-1556283.9378752043,-1532026.7193835005,-1549323.3108498722,16252.249089136963,-575589.6779692642,-567743.0274777348,-557984.9073858202,-567072.3363898803,9283.856250551955,5152630.682491492,5186646.021075109,5198912.103036145,5179014.702961923,25239.279333730796,3062619.05572217,3062619.05572217,3062619.05572217,3062619.05572217,0,3875309.9150674357,3899567.1335591376,3903986.565028645,3892606.5065338067,16252.24908913593,2343283.1956839343,2343283.1956839343,2343283.1956839343,2343283.1956839343,0,1277320.7674240568,1287078.887515971,1294925.5380075008,1286408.1964281169,9283.856250551937,719335.860038236,719335.860038236,719335.860038236,719335.8600382361,0,-1560703.3693447113,-1556283.9378752043,-1532026.7193835005,-1549323.3108498722,16252.249089136963,-575589.6779692642,-567743.0274777348,-557984.9073858202,-567072.3363898803,9283.856250551955,0,0,0,0,0,0,0,0,0,0,1277320.7674240568,1287078.887515971,1294925.5380075008,1286408.1964281169,9283.856250551937,719335.860038236,719335.860038236,719335.860038236,719335.8600382361,0
NHW,Food_price,USD,-49278839.41751513,-47864262.86051781,-47050610.442296,-48075113.43552676,1186882.8685021924,0,0,0,0,0,-49278839.41751513,-47864262.86051781,-47050610.442296,-48075113.43552676,1186882.8685021924,-1654870216.1460066,-1637263566.49646,-1632808537.3956165,-1641878170.1977594,12279892.696081175,-32916214.03917954,-31998042.82488874,-31461299.511910874,-32131877.176226612,774466.4913062754,-16362625.37833559,-15866220.035629073,-15589310.930385113,-15943236.259300144,412436.4361879173,96990734.8953297,97804387.31355152,99218963.87054886,98015237.88856046,1186882.868502207,49940124.453033686,49940124.453033686,49940124.453033686,49940124.453033686,0,65663499.03641252,66200242.34939037,67118413.56368119,66334076.70072826,774466.491306273,34202199.52450163,34202199.52450163,34202199.52450163,34202199.52450163,0,31327235.85891717,31604144.96416114,32100550.306867637,31681161.187832203,412436.43618791056,15737924.928532062,15737924.928532062,15737924.928532062,15737924.928532062,0,-32916214.03917954,-31998042.82488874,-31461299.511910874,-32131877.176226612,774466.4913062754,-16362625.37833559,-15866220.035629073,-15589310.930385113,-15943236.259300144,412436.4361879173,0,0,0,0,0,0,0,0,0,0,31327235.85891717,31604144.96416114,32100550.306867637,31681161.187832203,412436.43618791056,15737924.928532062,15737924.928532062,15737924.928532062,15737924.928532062,0
OTH,CED,MJ,-7895982.434653893,-7838080.433460842,-7322947.77821637,-7677648.625021747,332061.19531905826,0,0,0,0,0,-7895982.434653893,-7838080.433460842,-7322947.77821637,-7677648.625021747,332061.19531905826,-204560541.19354346,-201455701.58565903,-184663527.41239765,-196653128.0539478,11267815.89091714,-5881652.8232817305,-5843465.6304855365,-5443480.147415251,-5716518.8619683115,255481.70866058464,-2014329.6113721617,-1994614.8029753033,-1879467.6308011203,-1961129.763053435,76675.25593225595,20810556.147505347,21325688.802749813,21383590.80394287,21165256.99431072,332061.19531905645,13487608.369288974,13487608.369288974,13487608.369288974,13487608.369288974,0,15740725.360294707,16140710.843364995,16178898.036161184,16013764.074847767,255481.70866058418,10297245.21287946,10297245.21287946,10297245.21287946,10297245.21287946,0,5069830.787210636,5184977.959384821,5204692.767781678,5151492.919462952,76675.2559322569,3190363.156409518,3190363.156409518,3190363.156409518,3190363.1564095183,0,-5881652.8232817305,-5843465.6304855365,-5443480.147415251,-5716518.8619683115,255481.70866058464,-2014329.6113721617,-1994614.8029753033,-1879467.6308011203,-1961129.763053435,76675.25593225595,0,0,0,0,0,0,0,0,0,0,5069830.787210636,5184977.959384821,5204692.767781678,5151492.919462952,76675.2559322569,3190363.156409518,3190363.156409518,3190363.156409518,3190363.1564095183,0
