age_gp,sex_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,Female,added_sugar,CED,MJ,-5179158.784102888,-5014749.321958289,-4656049.885544108,-4946577.401161944,281579.3332274475,0,0,0,0,0,-5179158.784102888,-5014749.321958289,-4656049.885544108,-4946577.401161944,281579.3332274475,-204946540.5845781,-198666314.38950086,-184302227.90519705,-195829872.18275467,11139639.714230936,-3430415.5824127737,-3321566.6345847975,-3084077.425038931,-3276429.700648695,186427.43079378232,-1748743.2016901148,-1693182.6873734915,-1571972.4605051773,-1670147.700513249,95151.90245422802,8925601.15587996,9284300.592294142,9448710.05443874,9216128.671497798,281579.3332274472,4269551.270335852,4269551.270335852,4269551.270335852,4269551.270335852,0,5912203.618105896,6149692.827651763,6258541.775479739,6104555.89371566,186427.4307937824,2828126.1930669653,2828126.1930669653,2828126.1930669653,2828126.1930669653,0,3013397.5377740646,3134607.764642379,3190168.2789590014,3111572.777782136,95151.90245422773,1441425.0772688868,1441425.0772688868,1441425.0772688868,1441425.0772688866,0,-3430415.5824127737,-3321566.6345847975,-3084077.425038931,-3276429.700648695,186427.43079378232,-1748743.2016901148,-1693182.6873734915,-1571972.4605051773,-1670147.700513249,95151.90245422802,0,0,0,0,0,0,0,0,0,0,3013397.5377740646,3134607.764642379,3190168.2789590014,3111572.777782136,95151.90245422773,1441425.0772688868,1441425.0772688868,1441425.0772688868,1441425.0772688866,0
20-34,Female,added_sugar,FL,mrh-eq,-228694.4142358859,-221928.53621547986,-206140.19959202834,-218762.76126704284,12183.13076890163,0,0,0,0,0,-228694.4142358859,-221928.53621547986,-206140.19959202834,-218762.76126704284,12183.13076890163,-204946540.5845781,-198666314.38950086,-184302227.90519705,-195829872.18275467,11139639.714230936,-151482.62661420662,-147003.17352968035,-136548.8834392768,-144906.73949253044,8066.830349203705,-77211.78762167928,-74925.36268579948,-69591.31615275155,-73856.02177451242,4116.300430725148,395665.4028883464,411453.7395117979,418219.61753220396,408287.9645633609,12183.130768901598,189525.20329631807,189525.20329631807,189525.20329631807,189525.20329631807,0,262094.28918355663,272548.5792739602,277028.03235848644,270452.14523681026,8066.830349203681,125545.40574427981,125545.40574427981,125545.40574427981,125545.40574427981,0,133571.11370478978,138905.16023783773,141191.58517371753,137835.81932655067,4116.300430725156,63979.797552038246,63979.797552038246,63979.797552038246,63979.797552038246,0,-151482.62661420662,-147003.17352968035,-136548.8834392768,-144906.73949253044,8066.830349203705,-77211.78762167928,-74925.36268579948,-69591.31615275155,-73856.02177451242,4116.300430725148,0,0,0,0,0,0,0,0,0,0,133571.11370478978,138905.16023783773,141191.58517371753,137835.81932655067,4116.300430725156,63979.797552038246,63979.797552038246,63979.797552038246,63979.797552038246,0
20-34,Female,added_sugar,Food_price,USD,-14774805.5319214,-14434250.168704785,-13272764.21170735,-14146204.346325552,828971.6745362403,0,0,0,0,0,-14774805.5319214,-14434250.168704785,-13272764.21170735,-14146204.346325552,828971.6745362403,-204946540.5845781,-198666314.38950086,-184302227.90519705,-195829872.18275467,11139639.714230936,-9786392.307433771,-9560977.243617488,-8791871.38002774,-9370208.541942587,548885.827815183,-4988413.224487631,-4873272.925087296,-4480892.831679611,-4775995.804382962,280085.85129061976,25543489.482699227,26704975.439696662,27045530.802913275,26416929.617317427,828971.6745362403,12270725.270991877,12270725.270991877,12270725.270991877,12270725.270991877,0,16920165.52258827,17689271.386178017,17914686.4499943,17498502.68450312,548885.8278151819,8128294.142560529,8128294.142560529,8128294.142560529,8128294.1425605295,0,8623323.960110957,9015704.053518645,9130844.352918979,8918426.93281431,280085.8512906201,4142431.128431347,4142431.128431347,4142431.128431347,4142431.1284313477,0,-9786392.307433771,-9560977.243617488,-8791871.38002774,-9370208.541942587,548885.827815183,-4988413.224487631,-4873272.925087296,-4480892.831679611,-4775995.804382962,280085.85129061976,0,0,0,0,0,0,0,0,0,0,8623323.960110957,9015704.053518645,9130844.352918979,8918426.93281431,280085.8512906201,4142431.128431347,4142431.128431347,4142431.128431347,4142431.1284313477,0
20-34,Female,oil,CED,MJ,-544988.8204244856,-446868.86987767904,-415375.07305892033,-470246.4676769941,71158.60510326625,0,0,0,0,0,-544988.8204244856,-446868.86987767904,-415375.07305892033,-470246.4676769941,71158.60510326625,-58388539.38741243,-47949374.855502516,-44584519.65491918,-50431588.65596798,7576624.4907675255,-454760.67272856395,-372933.3369664048,-346695.9059779199,-392438.56671155366,59331.62583111617,-90228.14769592165,-73935.53291127428,-68679.16708100037,-77807.90096544042,11826.986401905036,5066457.815305496,5097951.612124254,5196071.56267106,5121329.209923569,71158.60510326529,4651082.742246574,4651082.742246574,4651082.742246574,4651082.742246574,0,4227157.418274298,4253394.849262783,4335222.185024941,4272900.079007932,59331.62583111573,3880461.5122963777,3880461.5122963777,3880461.5122963777,3880461.512296377,0,839300.3970311967,844556.7628614706,860849.3776461178,848429.1309156367,11826.986401904955,770621.2299501963,770621.2299501963,770621.2299501963,770621.2299501965,0,-454760.67272856395,-372933.3369664048,-346695.9059779199,-392438.56671155366,59331.62583111617,-90228.14769592165,-73935.53291127428,-68679.16708100037,-77807.90096544042,11826.986401905036,0,0,0,0,0,0,0,0,0,0,839300.3970311967,844556.7628614706,860849.3776461178,848429.1309156367,11826.986401904955,770621.2299501963,770621.2299501963,770621.2299501963,770621.2299501965,0
20-34,Female,oil,FL,mrh-eq,-28575.568033533615,-23419.2760200785,-21693.1131382228,-24622.830101341457,3769.3219301675385,0,0,0,0,0,-28575.568033533615,-23419.2760200785,-21693.1131382228,-24622.830101341457,3769.3219301675385,-58388539.38741243,-47949374.855502516,-44584519.65491918,-50431588.65596798,7576624.4907675255,-23844.367327766035,-19544.272912995457,-18106.109374736054,-20548.45918545552,3142.851028904459,-4731.200705767582,-3875.0031070830455,-3587.0037634867485,-4074.370915885936,626.4712460219644,265423.0784172637,267149.2412991194,272305.5333125745,268352.7953803824,3769.321930167514,243729.96527904092,243729.96527904092,243729.96527904092,243729.96527904095,0,221451.91471782752,222890.07825608688,227190.17267085752,223894.26452854698,3142.8510289044775,203345.80534309146,203345.80534309146,203345.80534309146,203345.80534309146,0,43971.16369943619,44259.16304303249,45115.36064171702,44458.530851835385,626.4712460219644,40384.15993594945,40384.15993594945,40384.15993594945,40384.15993594945,0,-23844.367327766035,-19544.272912995457,-18106.109374736054,-20548.45918545552,3142.851028904459,-4731.200705767582,-3875.0031070830455,-3587.0037634867485,-4074.370915885936,626.4712460219644,0,0,0,0,0,0,0,0,0,0,43971.16369943619,44259.16304303249,45115.36064171702,44458.530851835385,626.4712460219644,40384.15993594945,40384.15993594945,40384.15993594945,40384.15993594945,0
20-34,Female,oil,Food_price,USD,-122441.374571687,-105555.40769656014,-103796.63886275585,-110863.19648298912,10836.272615887065,0,0,0,0,0,-122441.374571687,-105555.40769656014,-103796.63886275585,-110863.19648298912,10836.272615887065,-58388539.38741243,-47949374.855502516,-44584519.65491918,-50431588.65596798,7576624.4907675255,-102199.16098377587,-88127.77874780647,-86651.3952958464,-92547.07656675711,9033.80870539733,-20242.21358791115,-17427.62894875366,-17145.243566909438,-18316.119916231997,1802.4734982981593,1101528.1062764884,1103286.8751102928,1120172.8419854196,1108594.6638967218,10836.272615887074,997731.4674137327,997731.4674137327,997731.4674137327,997731.4674137327,0,919259.2760233692,920735.6594753293,934807.0417112987,925154.9572942798,9033.80870539735,832607.8807275228,832607.8807275228,832607.8807275228,832607.8807275227,0,182268.8302531194,182551.21563496362,185365.8002741211,183439.70660244196,1802.4734982981556,165123.58668620998,165123.58668620998,165123.58668620998,165123.58668620998,0,-102199.16098377587,-88127.77874780647,-86651.3952958464,-92547.07656675711,9033.80870539733,-20242.21358791115,-17427.62894875366,-17145.243566909438,-18316.119916231997,1802.4734982981593,0,0,0,0,0,0,0,0,0,0,182268.8302531194,182551.21563496362,185365.8002741211,183439.70660244196,1802.4734982981556,165123.58668620998,165123.58668620998,165123.58668620998,165123.58668620998,0
20-34,Female,sat_fat,CED,MJ,-11336963.233474761,-10866923.428847548,-10643001.4566372,-10953280.563028904,372821.19649835874,0,0,0,0,0,-11336963.233474761,-10866923.428847548,-10643001.4566372,-10953280.563028904,372821.19649835874,-222352440.6941132,-213486735.65278304,-208862010.30676052,-214974798.70376816,7216229.303677494,-8818281.0248238,-8448167.27097572,-8274833.517692959,-8517212.885209166,292208.4451305298,-2518682.2086509597,-2418756.157871827,-2368167.9389442415,-2436067.677819738,80624.21397347903,23384571.812567104,23608493.78477745,24078533.589404665,23694850.91895881,372821.1964983597,12741570.355929904,12741570.355929904,12741570.355929904,12741570.355929904,0,18178445.451256894,18351779.204539657,18721892.958387733,18420824.818773102,292208.4451305282,9903611.933563937,9903611.933563937,9903611.933563937,9903611.933563937,0,5206126.36131021,5256714.580237796,5356640.631016928,5274026.100185706,80624.21397347878,2837958.422365968,2837958.422365968,2837958.422365968,2837958.4223659686,0,-8818281.0248238,-8448167.27097572,-8274833.517692959,-8517212.885209166,292208.4451305298,-2518682.2086509597,-2418756.157871827,-2368167.9389442415,-2436067.677819738,80624.21397347903,0,0,0,0,0,0,0,0,0,0,5206126.36131021,5256714.580237796,5356640.631016928,5274026.100185706,80624.21397347878,2837958.422365968,2837958.422365968,2837958.422365968,2837958.4223659686,0
20-34,Female,sat_fat,FL,mrh-eq,-298903.4882257391,-286717.37640586385,-280850.097548855,-288934.5107787994,9693.847201924471,0,0,0,0,0,-298903.4882257391,-286717.37640586385,-280850.097548855,-288934.5107787994,9693.847201924471,-222352440.6941132,-213486735.65278304,-208862010.30676052,-214974798.70376816,7216229.303677494,-232464.33056141468,-222867.4719062501,-218325.98607451646,-224641.28693201533,7598.143020900984,-66439.15766432445,-63849.90449961374,-62524.11147433851,-64293.22384678409,2096.0123845677845,617352.4628619554,623219.7417189643,635405.8535388396,625436.8760918998,9693.847201924496,336502.3653131004,336502.3653131004,336502.3653131004,336502.3653131004,0,479838.7574567494,484380.243288483,493977.10194364755,486154.0583142482,7598.143020900985,261512.7713822329,261512.7713822329,261512.7713822329,261512.7713822329,0,137513.7054052061,138839.49843048133,141428.751595192,139282.81777765168,2096.0123845677654,74989.59393086759,74989.59393086759,74989.59393086759,74989.59393086759,0,-232464.33056141468,-222867.4719062501,-218325.98607451646,-224641.28693201533,7598.143020900984,-66439.15766432445,-63849.90449961374,-62524.11147433851,-64293.22384678409,2096.0123845677845,0,0,0,0,0,0,0,0,0,0,137513.7054052061,138839.49843048133,141428.751595192,139282.81777765168,2096.0123845677654,74989.59393086759,74989.59393086759,74989.59393086759,74989.59393086759,0
20-34,Female,sat_fat,Food_price,USD,-531869.6647397564,-510565.6093503396,-500502.5278499642,-514509.81071491557,16858.685161380283,0,0,0,0,0,-531869.6647397564,-510565.6093503396,-500502.5278499642,-514509.81071491557,16858.685161380283,-222352440.6941132,-213486735.65278304,-208862010.30676052,-214974798.70376816,7216229.303677494,-413643.9749251711,-396866.22119286284,-389078.9777053157,-400020.78619102464,13214.427814512961,-118225.68981458526,-113699.38815747673,-111423.55014464853,-114489.02452389088,3644.800479300147,1102311.3580714653,1112374.4395718405,1133678.4949612576,1116318.6409364166,16858.68516138044,601808.830221501,601808.830221501,601808.830221501,601808.830221501,0,856781.6098694272,864568.8533569741,881346.6070892824,867723.4183551361,13214.42781451291,467702.63216411136,467702.63216411136,467702.63216411136,467702.63216411136,0,245529.7482020382,247805.58621486637,252331.88787197493,248595.22258128054,3644.8004793001564,134106.19805738967,134106.19805738967,134106.19805738967,134106.19805738967,0,-413643.9749251711,-396866.22119286284,-389078.9777053157,-400020.78619102464,13214.427814512961,-118225.68981458526,-113699.38815747673,-111423.55014464853,-114489.02452389088,3644.800479300147,0,0,0,0,0,0,0,0,0,0,245529.7482020382,247805.58621486637,252331.88787197493,248595.22258128054,3644.8004793001564,134106.19805738967,134106.19805738967,134106.19805738967,134106.19805738967,0
20-34,Male,added_sugar,CED,MJ,-4743513.0147423465,-4538394.434993768,-4518553.188170769,-4603404.025493971,131103.8654201442,0,0,0,0,0,-4743513.0147423465,-4538394.434993768,-4518553.188170769,-4603404.025493971,131103.8654201442,-180631300.02265283,-172839024.4691336,-172029488.96195787,-175289108.6959208,4999834.892255404,-3139622.0481359833,-3003772.5359522006,-2990821.624974361,-3046894.8521648124,86764.32666742087,-1603890.9666063632,-1534621.8990415677,-1527731.5631964086,-1556509.1733291596,44339.692634902414,9825842.28497016,9845683.531793159,10050802.11154174,9910693.122293362,131103.86542014574,5307289.096799392,5307289.096799392,5307289.096799392,5307289.096799392,0,6503909.556688234,6516860.467666074,6652709.979849855,6559982.783878685,86764.32666741977,3513087.9317138735,3513087.9317138735,3513087.9317138735,3513087.9317138735,0,3321932.7282819273,3328823.0641270867,3398092.131691882,3350710.3384146784,44339.692634902356,1794201.1650855187,1794201.1650855187,1794201.1650855187,1794201.1650855187,0,-3139622.0481359833,-3003772.5359522006,-2990821.624974361,-3046894.8521648124,86764.32666742087,-1603890.9666063632,-1534621.8990415677,-1527731.5631964086,-1556509.1733291596,44339.692634902414,0,0,0,0,0,0,0,0,0,0,3321932.7282819273,3328823.0641270867,3398092.131691882,3350710.3384146784,44339.692634902356,1794201.1650855187,1794201.1650855187,1794201.1650855187,1794201.1650855187,0
