race_gp,Foodgroup,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound  (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound  (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_impact_upper_bound  (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_impact_upper_bound  (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound  (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_impact_upper_bound  (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound  (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_impact_upper_bound  (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound  (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,combined_inedible_impact_lower_bound (2.5th percentile),combined_inedible_impact_median,combined_inedible_impact_upper_bound  (97.5th percentile),combined_inedible_impact_mean,combined_inedible_impact_SD,combined_wasted_impact_lower_bound (2.5th percentile),combined_wasted_impact_median,combined_wasted_impact_upper_bound  (97.5th percentile),combined_wasted_impact_mean,combined_wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_impact_upper_bound  (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound  (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_impact_upper_bound  (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_wasted_impact_upper_bound  (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
HIS,added_sugar,CED,MJ,-4705449.964890681,-4402026.804792541,-4314379.019865966,-4477737.462747476,216017.95021725923,0,0,0,0,0,-4705449.964890681,-4402026.804792541,-4314379.019865966,-4477737.462747476,216017.95021725923,-185120035.98010018,-173135893.149217,-169563364.43364954,-176087336.6984506,8577415.32352631,-3117628.966848388,-2916518.165749338,-2858317.0532273403,-2966661.916127251,143222.11689191317,-1587820.998042292,-1485508.6390432043,-1456061.966638627,-1511075.5466202255,72795.85753753221,8701968.182216845,8789615.96714342,9093039.127241557,8865326.625098355,216017.9502172575,4387589.162350877,4387589.162350877,4387589.162350877,4387589.162350877,0,5765044.450985688,5823245.5635076845,6024356.364606734,5873389.313885598,143222.11689191326,2906727.397758347,2906727.397758347,2906727.397758347,2906727.3977583474,0,2936923.7312311577,2966370.4036357347,3068682.7626348217,2991937.3112127557,72795.85753753163,1480861.7645925304,1480861.7645925304,1480861.7645925304,1480861.7645925304,0,-3117628.966848388,-2916518.165749338,-2858317.0532273403,-2966661.916127251,143222.11689191317,-1587820.998042292,-1485508.6390432043,-1456061.966638627,-1511075.5466202255,72795.85753753221,0,0,0,0,0,0,0,0,0,0,2936923.7312311577,2966370.4036357347,3068682.7626348217,2991937.3112127557,72795.85753753163,1480861.7645925304,1480861.7645925304,1480861.7645925304,1480861.7645925304,0
HIS,added_sugar,FL,mrh-eq,-207252.96400159094,-193957.42823679655,-188727.22581498898,-196787.3697606516,10053.68106953507,0,0,0,0,0,-207252.96400159094,-193957.42823679655,-188727.22581498898,-196787.3697606516,10053.68106953507,-185120035.98010018,-173135893.149217,-169563364.43364954,-176087336.6984506,8577415.32352631,-137343.31030592043,-128527.54024038406,-125058.53117475698,-130403.59673158028,6666.679926772753,-69909.65369567052,-65429.88799641251,-63668.69464023204,-66383.7730290713,3387.0011873859944,381522.3953302362,386752.59775204374,400048.1335168381,389582.5392758988,10053.681069535041,192795.1695152472,192795.1695152472,192795.1695152472,192795.1695152472,0,252809.61530344223,256278.62436906932,265094.3944346056,258154.68086026554,6666.679926772733,127751.08412868527,127751.08412868527,127751.08412868527,127751.08412868525,0,128712.78002679397,130473.97338297447,134953.73908223244,131427.85841563324,3387.001187385976,65044.085386561936,65044.085386561936,65044.085386561936,65044.085386561936,0,-137343.31030592043,-128527.54024038406,-125058.53117475698,-130403.59673158028,6666.679926772753,-69909.65369567052,-65429.88799641251,-63668.69464023204,-66383.7730290713,3387.0011873859944,0,0,0,0,0,0,0,0,0,0,128712.78002679397,130473.97338297447,134953.73908223244,131427.85841563324,3387.001187385976,65044.085386561936,65044.085386561936,65044.085386561936,65044.085386561936,0
HIS,added_sugar,Food_price,USD,-11077109.437130857,-10304422.60849694,-10200042.168733293,-10538916.07827598,504309.62741513544,0,0,0,0,0,-11077109.437130857,-10304422.60849694,-10200042.168733293,-10538916.07827598,504309.62741513544,-185120035.98010018,-173135893.149217,-169563364.43364954,-176087336.6984506,8577415.32352631,-7339265.587504833,-6827089.913226206,-6757576.030769393,-6982409.840181229,334398.7152422833,-3737843.8496260243,-3477332.695270734,-3442466.137963901,-3556506.238094754,169911.02495276844,20608361.63074242,20712742.070506066,21485428.899139985,20947235.54028511,504309.62741513585,10408319.462009128,10408319.462009128,10408319.462009128,10408319.462009128,0,13653007.90755116,13722521.790007977,14234697.464286601,13877841.716962999,334398.71524228266,6895431.876781771,6895431.876781771,6895431.876781771,6895431.876781772,0,6955353.723191258,6990220.28049809,7250731.4348533815,7069393.823322111,169911.02495276908,3512887.5852273568,3512887.5852273568,3512887.5852273568,3512887.5852273568,0,-7339265.587504833,-6827089.913226206,-6757576.030769393,-6982409.840181229,334398.7152422833,-3737843.8496260243,-3477332.695270734,-3442466.137963901,-3556506.238094754,169911.02495276844,0,0,0,0,0,0,0,0,0,0,6955353.723191258,6990220.28049809,7250731.4348533815,7069393.823322111,169911.02495276908,3512887.5852273568,3512887.5852273568,3512887.5852273568,3512887.5852273568,0
HIS,oil,CED,MJ,152919.97832186124,307867.14667528577,339480.5016383879,264592.12443306734,105098.87008722336,0,0,0,0,0,152919.97832186124,307867.14667528577,339480.5016383879,264592.12443306734,105098.87008722336,16632553.775774326,33447511.983119175,36825046.808920965,28732626.586086523,11385037.692961898,127880.16925561285,257473.8333375853,283876.7886635413,221266.56710740412,87887.46591087914,25039.80906624843,50393.313337700456,55603.71297484661,43325.55732566331,17211.41510315892,4528002.930621389,4559616.285584493,4714563.453937916,4602891.30782671,105098.87008722288,4867483.4322597785,4867483.4322597785,4867483.4322597785,4867483.4322597785,0,3784310.9075145232,3810713.8628404792,3940307.526922452,3846921.12907066,87887.46591087917,4068187.6961780647,4068187.6961780647,4068187.6961780647,4068187.696178065,0,743692.0231068674,748902.4227440136,774255.9270154656,755970.1787560508,17211.41510315889,799295.736081714,799295.736081714,799295.736081714,799295.7360817142,0,127880.16925561285,257473.8333375853,283876.7886635413,221266.56710740412,87887.46591087914,25039.80906624843,50393.313337700456,55603.71297484661,43325.55732566331,17211.41510315892,0,0,0,0,0,0,0,0,0,0,743692.0231068674,748902.4227440136,774255.9270154656,755970.1787560508,17211.41510315889,799295.736081714,799295.736081714,799295.736081714,799295.7360817142,0
HIS,oil,FL,mrh-eq,7839.801261827246,15692.007089102935,17360.871695057514,13522.413678113073,5351.763417346024,0,0,0,0,0,7839.801261827246,15692.007089102935,17360.871695057514,13522.413678113073,5351.763417346024,16632553.775774326,33447511.983119175,36825046.808920965,28732626.586086523,11385037.692961898,6556.422353354478,13123.817530768707,14517.682054096964,11308.54361705433,4475.339090169658,1283.3789084727691,2568.189558334225,2843.189640960551,2213.8700610587407,876.4248889071099,230362.0539696323,232030.91857558695,239883.12440286268,234200.5119865768,5351.7634173460465,247722.92566468983,247722.92566468983,247722.92566468983,247722.92566468983,0,192524.3570563971,193918.2215797254,200485.6167571396,195733.49549343972,4475.339090169654,207042.03911049408,207042.03911049408,207042.03911049408,207042.03911049408,0,37837.696913235246,38112.696995861574,39397.507645723024,38467.01649313706,876.4248889071059,40680.88655419579,40680.88655419579,40680.88655419579,40680.88655419579,0,6556.422353354478,13123.817530768707,14517.682054096964,11308.54361705433,4475.339090169658,1283.3789084727691,2568.189558334225,2843.189640960551,2213.8700610587407,876.4248889071099,0,0,0,0,0,0,0,0,0,0,37837.696913235246,38112.696995861574,39397.507645723024,38467.01649313706,876.4248889071059,40680.88655419579,40680.88655419579,40680.88655419579,40680.88655419579,0
HIS,oil,Food_price,USD,7590.270081483304,54987.262848314815,57163.28198329088,39120.25455643571,29488.38446573821,0,0,0,0,0,7590.270081483304,54987.262848314815,57163.28198329088,39120.25455643571,29488.38446573821,16632553.775774326,33447511.983119175,36825046.808920965,28732626.586086523,11385037.692961898,6352.051656067524,45993.26702421191,47805.38801085843,32719.900574563537,24660.53491183843,1238.2184254157796,8993.9958241029,9357.893972432443,6400.35398187217,4827.851559000742,1037812.1171784024,1039988.1363133786,1087385.1290802099,1055855.1446052575,29488.384465738116,1094975.3991616934,1094975.3991616934,1094975.3991616934,1094975.3991616934,0,867298.0397391674,869110.1607258137,908751.376093958,882383.5271754622,24660.534911838364,915103.4277500258,915103.4277500258,915103.4277500258,915103.4277500258,0,170514.0774392352,170877.97558756472,178633.75298625187,173471.61742979547,4827.851559000754,179871.97141166765,179871.97141166765,179871.97141166765,179871.97141166765,0,6352.051656067524,45993.26702421191,47805.38801085843,32719.900574563537,24660.53491183843,1238.2184254157796,8993.9958241029,9357.893972432443,6400.35398187217,4827.851559000742,0,0,0,0,0,0,0,0,0,0,170514.0774392352,170877.97558756472,178633.75298625187,173471.61742979547,4827.851559000754,179871.97141166765,179871.97141166765,179871.97141166765,179871.97141166765,0
HIS,sat_fat,CED,MJ,-10329367.849652437,-10309399.623146538,-10158197.783844583,-10263352.741463711,98520.84040374291,0,0,0,0,0,-10329367.849652437,-10309399.623146538,-10158197.783844583,-10263352.741463711,98520.84040374291,-200843486.4561037,-200360011.2073807,-197526227.66848177,-199535341.63188037,1886350.0214976945,-7889176.477172175,-7875482.907087329,-7759090.288072077,-7839448.15307666,75243.12359716548,-2440191.372480261,-2433916.7160592065,-2399107.495772504,-2423904.5883870493,23296.784680635752,24219354.41766283,24370556.25696479,24390524.483470693,24324509.375281963,98520.84040374719,14061156.633818248,14061156.633818248,14061156.633818248,14061156.633818248,0,18495784.82047483,18612177.439490084,18625871.009574935,18576142.685479417,75243.12359716758,10736694.532402758,10736694.532402758,10736694.532402758,10736694.532402758,0,5723569.597187998,5758378.8174747005,5764653.473895756,5748366.689802543,23296.78468063592,3324462.1014154935,3324462.1014154935,3324462.1014154935,3324462.101415494,0,-7889176.477172175,-7875482.907087329,-7759090.288072077,-7839448.15307666,75243.12359716548,-2440191.372480261,-2433916.7160592065,-2399107.495772504,-2423904.5883870493,23296.784680635752,0,0,0,0,0,0,0,0,0,0,5723569.597187998,5758378.8174747005,5764653.473895756,5748366.689802543,23296.78468063592,3324462.1014154935,3324462.1014154935,3324462.1014154935,3324462.101415494,0
HIS,sat_fat,FL,mrh-eq,-282835.00806379446,-282242.14832561463,-278105.4714452255,-280998.70371431316,2712.1727211756656,0,0,0,0,0,-282835.00806379446,-282242.14832561463,-278105.4714452255,-280998.70371431316,2712.1727211756656,-200843486.4561037,-200360011.2073807,-197526227.66848177,-199535341.63188037,1886350.0214976945,-215984.75152185024,-215574.74303797504,-212391.70899952282,-214601.7516153164,2070.3137277947685,-66850.25654194427,-66667.40528763954,-65713.76244570279,-66396.95209899673,642.3767159845579,663142.6263303433,667279.3032107324,667872.162948912,666035.8585994309,2712.172721175639,385037.1548851177,385037.1548851177,385037.1548851177,385037.1548851177,0,506348.465494759,509531.4995332112,509941.5080170864,508558.50811055256,2070.3137277947612,293956.75649523624,293956.75649523624,293956.75649523624,293956.75649523624,0,156794.16083558428,157747.80367752103,157930.6549318258,157477.3504888782,642.3767159845714,91080.39838988148,91080.39838988148,91080.39838988148,91080.39838988148,0,-215984.75152185024,-215574.74303797504,-212391.70899952282,-214601.7516153164,2070.3137277947685,-66850.25654194427,-66667.40528763954,-65713.76244570279,-66396.95209899673,642.3767159845579,0,0,0,0,0,0,0,0,0,0,156794.16083558428,157747.80367752103,157930.6549318258,157477.3504888782,642.3767159845714,91080.39838988148,91080.39838988148,91080.39838988148,91080.39838988148,0
HIS,sat_fat,Food_price,USD,-464115.6691156664,-463622.2643038133,-457279.2716813166,-461569.77735271025,4013.2130245920944,0,0,0,0,0,-464115.6691156664,-463622.2643038133,-457279.2716813166,-461569.77735271025,4013.2130245920944,-200843486.4561037,-200360011.2073807,-197526227.66848177,-199535341.63188037,1886350.0214976945,-354667.3975196552,-354354.6989318911,-349468.3643423971,-352749.91436988063,3069.0421599271353,-109448.27159601118,-109267.5653719221,-107810.9073389194,-108819.86298282961,944.9744679835676,1088109.1795289558,1094452.1721514522,1094945.5769633055,1092399.6852003492,4013.2130245919457,630829.9078476388,630829.9078476388,630829.9078476388,630829.9078476388,0,831428.133504207,836314.468093701,836627.166681465,834709.6835316905,3069.0421599270653,481959.7691618098,481959.7691618098,481959.7691618098,481959.7691618099,0,256681.04602474856,258137.70405775122,258318.4102818403,257690.00166865872,944.974467983546,148870.1386858291,148870.1386858291,148870.1386858291,148870.1386858291,0,-354667.3975196552,-354354.6989318911,-349468.3643423971,-352749.91436988063,3069.0421599271353,-109448.27159601118,-109267.5653719221,-107810.9073389194,-108819.86298282961,944.9744679835676,0,0,0,0,0,0,0,0,0,0,256681.04602474856,258137.70405775122,258318.4102818403,257690.00166865872,944.974467983546,148870.1386858291,148870.1386858291,148870.1386858291,148870.1386858291,0
NHB,added_sugar,CED,MJ,-4823427.841779293,-4821729.117839249,-4725169.385555656,-4788444.553508178,59205.873939883255,0,0,0,0,0,-4823427.841779293,-4821729.117839249,-4725169.385555656,-4788444.553508178,59205.873939883255,-186967104.47483492,-186950617.1021105,-183317095.8854755,-185681482.42003664,2213252.745014385,-3192937.4252475174,-3192215.5681397314,-3128175.322028792,-3169998.5895421337,39140.82870173162,-1630490.4165317742,-1629513.549699517,-1596994.0635268646,-1618445.9639660448,20066.72578486556,8178012.76013675,8274572.492420341,8276271.216360387,8241287.928089272,59205.873939883546,3452843.3745810934,3452843.3745810934,3452843.3745810934,3452843.3745810934,0,5413900.086355355,5477940.332466295,5478662.1895740805,5455723.353868696,39140.82870173215,2285724.764326563,2285724.764326563,2285724.764326563,2285724.764326563,0,2764112.6737813954,2796632.1599540478,2797609.026786305,2785564.574220576,20066.725784865488,1167118.6102545308,1167118.6102545308,1167118.6102545308,1167118.6102545308,0,-3192937.4252475174,-3192215.5681397314,-3128175.322028792,-3169998.5895421337,39140.82870173162,-1630490.4165317742,-1629513.549699517,-1596994.0635268646,-1618445.9639660448,20066.72578486556,0,0,0,0,0,0,0,0,0,0,2764112.6737813954,2796632.1599540478,2797609.026786305,2785564.574220576,20066.725784865488,1167118.6102545308,1167118.6102545308,1167118.6102545308,1167118.6102545308,0
