"female","race","disease_type3","V1","V2","V3"
0,1,"All_HD",4616.93703113168,4461.39729519119,4043.29461199416
0,1,"All_STK",3145.40496345882,3172.89556178081,2857.80196847698
0,1,"Cancer",40201.473791323,36888.0472413003,39567.662962258
0,1,"DIAB",376.532401455958,487.547968011374,332.751034968072
0,1,"Other_CVD",1509.29959353649,1578.03605672682,1350.04381712256
0,2,"All_HD",622.353076675682,440.558071561725,526.455240503258
0,2,"All_STK",627.999211901913,524.005068472456,635.377927089987
0,2,"Cancer",6103.18267143468,6547.05733857179,6783.68087324433
0,2,"DIAB",101.481608663075,77.1488928708354,68.2249192543877
0,2,"Other_CVD",264.108797130774,238.647498479736,212.666146773964
0,3,"All_HD",66.0881429478686,32.2255992021187,64.8514773104395
0,3,"All_STK",71.3410056178275,20.2680008472019,86.4981952035811
0,3,"Cancer",3175.03651425066,2894.34224151234,2907.6824158697
0,3,"DIAB",14.7296113824772,3.49491017679447,11.820946131912
0,3,"Other_CVD",31.2095529830071,12.3816513138287,23.022042001159
0,4,"All_HD",58.6051619261973,101.788018640697,70.2566598589304
0,4,"All_STK",71.0614591010109,104.219317673477,82.0944125132121
0,4,"Cancer",3201.36179528543,3326.66238133764,3641.20749675801
0,4,"DIAB",10.1417863033365,11.2514417563788,7.68885569836686
0,4,"Other_CVD",25.0736933693025,34.893537169325,23.403272121626
1,1,"All_HD",3240.58276765804,2450.46321657179,2160.11310784843
1,1,"All_STK",4718.99525105512,4933.03324373962,4157.97069055832
1,1,"Cancer",60280.4451534914,54849.6444108571,55289.9069056833
1,1,"DIAB",271.103346889066,228.967565143181,306.674773128328
1,1,"Other_CVD",1509.91012195346,1500.0142823517,1417.57198582513
1,2,"All_HD",185.587061780593,313.849716844773,610.902795932465
1,2,"All_STK",354.422609307099,581.56748436674,914.911925985454
1,2,"Cancer",8854.01708078407,9326.81428614436,10985.9119332529
1,2,"DIAB",52.2386435328379,69.450608929327,91.0845863807853
1,2,"Other_CVD",154.920345143704,176.794482835561,244.881567965047
1,3,"All_HD",119.551544793995,212.623821495876,90.3844248460994
1,3,"All_STK",161.317539306361,330.337549353407,172.245460746648
1,3,"Cancer",4963.65270195755,5461.32922506526,6065.49672566758
1,3,"DIAB",18.4362455657675,34.4472314570788,17.7626449556261
1,3,"Other_CVD",44.4700624679706,85.8540507034336,42.3519265289357
1,4,"All_HD",46.4974642343472,60.1976710571143,97.08611709411
1,4,"All_STK",110.897772184455,184.592747805696,247.721920883049
1,4,"Cancer",5637.67316723375,5255.08929588511,5527.62199404897
1,4,"DIAB",11.406822946524,16.2397129216074,15.9208646426871
1,4,"Other_CVD",26.5460871454787,43.967457800175,56.7616607465593
