"age","disease_type3","V1","V2","V3"
25,"All_HD",64.5476942924693,52.7631548189771,46.3495943842271
25,"All_STK",70.2299101997666,62.0142651414967,72.4840958462494
25,"Cancer",1804.76056618404,1925.47837881574,1798.10809820652
25,"DIAB",13.984181025892,19.6309598622174,16.1669645246444
25,"Other_CVD",122.124098507458,107.609573983082,101.401763933642
35,"All_HD",206.770476982581,219.494413869684,140.27343984048
35,"All_STK",228.840426568675,219.284385631132,204.450266192592
35,"Cancer",3558.29051043055,3586.70076041428,3792.19525348349
35,"DIAB",51.594374343593,51.1045891191108,38.0711118788065
35,"Other_CVD",161.171007790243,170.958925684174,134.6940372988
45,"All_HD",740.234854768966,556.388663695862,542.296350143985
45,"All_STK",600.536231169776,673.123971868267,568.552517656993
45,"Cancer",13312.7582613925,12615.0107888787,11236.5207023379
45,"DIAB",116.740252573069,132.861437665571,110.117749679286
45,"Other_CVD",273.117150231148,302.469778924894,223.544229179364
55,"All_HD",1284.93539002937,1002.77532655549,1374.8627421019
55,"All_STK",1109.48101006809,952.452842616161,1085.0887872086
55,"Cancer",36027.9745760457,35433.9446460431,40870.1532243607
55,"DIAB",153.372488572819,140.724248119214,169.076255675067
55,"Other_CVD",492.213284175348,392.585088253291,383.756967678209
65,"All_HD",2336.93324682497,2126.93631232135,2104.00747936815
65,"All_STK",2047.66741415886,1997.89241972117,1690.6165918134
65,"Cancer",41531.2476626971,38402.5766297009,42460.3746911002
65,"DIAB",251.402562750085,324.055869439442,208.988412768682
65,"Other_CVD",706.340710757804,642.839320013141,622.67373160054
75,"All_HD",4322.78058825004,4114.74553930392,3455.55482954915
75,"All_STK",5204.68481976743,5946.15108906119,5533.43024273939
75,"Cancer",36181.8112990106,32585.2752168212,30611.819337294
75,"DIAB",268.976607473584,260.171227061022,309.50813063368
75,"Other_CVD",1810.57200226819,2054.126330522,1904.63168939443
