"age","female","race","disease_type1","V1","V2","V3"
25,0,1,"Cancer",375.993539257155,334.70281443884,274.237100554301
25,0,1,"CMD",385.659856554759,350.369757466612,403.477456801384
25,0,2,"Cancer",52.3710373722322,50.4228660131741,33.2311878946169
25,0,2,"CMD",316.254712807752,254.982568270134,224.879081355953
25,0,3,"Cancer",80.1604440204208,86.5067425961063,70.6282767333744
25,0,3,"CMD",41.6015253932507,62.9996179898085,61.0000897896776
25,0,4,"Cancer",46.718628842916,53.6605439201659,59.2399367673266
25,0,4,"CMD",30.5927037205919,31.1776695278182,49.0126964962484
25,1,1,"Cancer",740.160776706653,834.933099277682,691.533647244985
25,1,1,"CMD",250.187579179194,210.317174987841,198.428336723446
25,1,2,"Cancer",132.328707117254,133.274225551744,151.609318865691
25,1,2,"CMD",161.901755563643,137.949761953593,141.69827706484
25,1,3,"Cancer",234.25794646067,235.726390653159,275.46809156041
25,1,3,"CMD",29.2936014891874,39.3971533972275,38.6176064869742
25,1,4,"Cancer",142.769486406738,196.251696364869,242.160538585815
25,1,4,"CMD",11.837398387921,23.2064934294229,29.6043148021997
35,0,1,"Cancer",820.497679796195,876.752221433378,763.507115448105
35,0,1,"CMD",1018.60480117579,1216.5604222763,906.780013126214
35,0,2,"Cancer",214.22111912095,276.683577533927,208.817295231573
35,0,2,"CMD",911.487645800073,735.122104018866,559.305689449956
35,0,3,"Cancer",212.199201510818,146.357700386972,175.900918710295
35,0,3,"CMD",148.635301221043,7.19236445277468,40.4941240050838
35,0,4,"Cancer",142.143366215768,156.378845707822,116.15042339935
35,0,4,"CMD",5.37868511583329,73.1203483371237,0
35,1,1,"Cancer",1136.34468925183,1054.52230607999,1351.33241713532
35,1,1,"CMD",560.008365473288,729.339888074278,632.852361097376
35,1,2,"Cancer",365.044312886821,384.825520783435,447.718625018313
35,1,2,"CMD",423.09291492903,291.773649599018,333.600605840108
35,1,3,"Cancer",301.741424617691,334.786257401057,371.744154392473
35,1,3,"CMD",25.3906904701745,30.4145130038147,31.1461134962514
35,1,4,"Cancer",366.098717030481,356.394331087703,357.024304148058
35,1,4,"CMD",40.6082280602582,50.8851014705026,57.7655220517928
