"age","race","pathway","disease_type2","V1","V2","V3"
25,1,"direct","Cancer",755.625102618853,765.075916238298,710.953902997259
25,1,"medSBP","Cancer",0,0,0
25,1,"medBMI","Cancer",360.529213344955,404.559997478224,254.816844802027
25,1,"direct","DIAB",0,0,0
25,1,"medSBP","DIAB",0,0,0
25,1,"medBMI","DIAB",6.84049701576509,11.5431940521589,7.52161161202602
25,1,"direct","HHD",0,0,0
25,1,"medSBP","HHD",0,0,0
25,1,"medBMI","HHD",4.22553113983607,4.1511685281523,2.99147366525317
25,1,"direct","HSTK",4.26540699223001,3.69445520025702,4.58757767337516
25,1,"medSBP","HSTK",0,0,0
25,1,"medBMI","HSTK",1.3494075543682,0.930921740670491,0.839216526955803
25,1,"direct","IHD",5.40615832274045,7.76161059503672,6.54378468940214
25,1,"medSBP","IHD",0,0,0
25,1,"medBMI","IHD",4.71840179883752,4.31075005946742,3.5219779079955
25,1,"direct","ISTK",3.55728043898464,1.92436343035237,3.26635802350726
25,1,"medSBP","ISTK",0,0,0
25,1,"medBMI","ISTK",0.89052461522085,0.820811073087546,0.944595986498991
25,1,"direct","OSTK",2.42986396027721,1.3760900839988,1.39276331818302
25,1,"medSBP","OSTK",0,0,0
25,1,"medBMI","OSTK",0.495590203458057,0.366147542644814,0.275129524823011
25,1,"direct","Other_CVD",0,0,0
25,1,"medSBP","Other_CVD",0,0,0
25,1,"medBMI","Other_CVD",62.4407028589074,54.7080438472495,58.8063197560684
25,2,"medSBP","Cancer",0,0,0
25,2,"medBMI","Cancer",73.7303834209756,49.5544635484722,53.0096995769209
25,2,"direct","Cancer",110.96936106851,134.142628016446,131.830807183386
25,2,"medSBP","DIAB",0,0,0
25,2,"medBMI","DIAB",5.80227222193524,6.66413542638606,7.02775973825806
25,2,"direct","DIAB",0,0,0
25,2,"medSBP","HHD",0,0,0
25,2,"medBMI","HHD",4.98674858015922,1.91012338401342,2.28952293658447
25,2,"direct","HHD",0,0,0
25,2,"medSBP","HSTK",0,0,0
25,2,"medBMI","HSTK",0.935659712663864,0.866319694659327,0.861121727728665
25,2,"direct","HSTK",2.76224754921654,3.54967323769496,3.72466351939123
25,2,"medSBP","IHD",0,0,0
25,2,"medBMI","IHD",6.89889024369445,2.64785947540855,2.76448048994639
25,2,"direct","IHD",5.14524697523855,2.96906313989095,3.69899931973594
25,2,"medSBP","ISTK",0,0,0
25,2,"medBMI","ISTK",0.647251886458775,0.581825563524258,0.359657810041844
25,2,"direct","ISTK",1.81638028624065,1.14656972940229,1.71324269418204
25,2,"medSBP","OSTK",0,0,0
25,2,"medBMI","OSTK",0.21358607255425,0.260114570126343,0.267921899472509
25,2,"direct","OSTK",1.17187671812653,1.01569868706743,0.954189318822942
25,2,"medSBP","Other_CVD",0,0,0
25,2,"medBMI","Other_CVD",49.1617585212965,35.7496082022287,25.2647613441365
25,2,"direct","Other_CVD",0,0,0
25,3,"medBMI","Cancer",64.4274420843207,88.276686758279,74.0770200921401
25,3,"medSBP","Cancer",0,0,0
25,3,"direct","Cancer",249.990948396771,233.956446490986,272.019348201644
25,3,"medBMI","DIAB",0.900319237974376,1.10342006647593,1.19261783132358
25,3,"medSBP","DIAB",0,0,0
25,3,"direct","DIAB",0,0,0
25,3,"medBMI","HHD",0.162936334987661,0.796603281001752,0.163871510997582
25,3,"medSBP","HHD",0,0,0
25,3,"direct","HHD",0,0,0
25,3,"medBMI","HSTK",0.355674401246859,0.345260609932675,0.397213981104967
25,3,"medSBP","HSTK",0,0,0
25,3,"direct","HSTK",1.14815174026285,1.35726402867823,1.85059349374492
25,3,"medBMI","IHD",0.463750166413742,0.514553109621622,0.827165420257482
25,3,"medSBP","IHD",0,0,0
25,3,"direct","IHD",0.543947563687145,0.865066507072617,0.452579343389463
25,3,"medBMI","ISTK",0.131913041504087,0.119598821260179,0.166378847762396
25,3,"medSBP","ISTK",0,0,0
25,3,"direct","ISTK",0.238978724465563,0.492588022958123,0.709636979441338
25,3,"medBMI","OSTK",0.052455992704589,0.0892375630075963,0.059169851839568
25,3,"medSBP","OSTK",0,0,0
25,3,"direct","OSTK",0.410839946134048,0.317809440213415,0.265823110937978
25,3,"medBMI","Other_CVD",6.22424719623882,11.2522185811851,8.82797683897444
25,3,"medSBP","Other_CVD",0,0,0
25,3,"direct","Other_CVD",0,0,0
25,4,"direct","Cancer",151.774452175587,173.618036687985,209.300531822085
25,4,"medSBP","Cancer",0,0,0
25,4,"medBMI","Cancer",37.7136630740673,76.2942035970496,92.0999435310574
25,4,"direct","DIAB",0,0,0
25,4,"medSBP","DIAB",0,0,0
25,4,"medBMI","DIAB",0.441092550217335,0.320210317196467,0.424975343036789
25,4,"direct","HHD",0,0,0
25,4,"medSBP","HHD",0,0,0
25,4,"medBMI","HHD",0.315817058701243,0.404141497345709,0.08128256760528
25,4,"direct","HSTK",0.305943411358054,0.706497847399692,1.28848900684452
25,4,"medSBP","HSTK",0,0,0
25,4,"medBMI","HSTK",0.0817685435907591,0.150520027873471,0.248275914127757
25,4,"direct","IHD",0.335479741994336,0.765951008922444,0.719798300272839
25,4,"medSBP","IHD",0,0,0
25,4,"medBMI","IHD",0.309151673877745,0.351310741446574,0.572570190063451
25,4,"direct","ISTK",0.253649649106379,0.234201079086757,0.587232952672825
25,4,"medSBP","ISTK",0,0,0
25,4,"medBMI","ISTK",0.071441432155895,0.127413133128423,0.147173408707346
25,4,"direct","OSTK",0.135313143457666,0.272430596327035,0.336492803456979
25,4,"medSBP","OSTK",0,0,0
25,4,"medBMI","OSTK",0.0285284178807228,0.0758299302005059,0.0777751991409348
25,4,"direct","Other_CVD",0,0,0
25,4,"medSBP","Other_CVD",0,0,0
25,4,"medBMI","Other_CVD",4.29738993101488,5.89970335241861,8.50270599446308
35,1,"direct","Cancer",1388.32419186792,1215.13362768829,1478.34463146924
35,1,"medBMI","Cancer",568.518177180104,716.140899825078,636.494901114194
35,1,"medSBP","Cancer",0,0,0
35,1,"direct","DIAB",0,0,0
35,1,"medBMI","DIAB",23.1084289345579,29.9866306517048,17.6993133890731
35,1,"medSBP","DIAB",0,0,0
35,1,"direct","HHD",0,0,0
35,1,"medBMI","HHD",11.5660403335161,8.78372211525941,6.7309056849968
35,1,"medSBP","HHD",0,0,0
35,1,"direct","HSTK",10.547355574549,24.546030333381,19.7645968136769
35,1,"medBMI","HSTK",4.41591593711483,5.22921487787007,3.93081891554883
35,1,"medSBP","HSTK",0,0,0
35,1,"direct","IHD",25.2105580205925,45.2870921028904,30.8783682705613
35,1,"medBMI","IHD",24.1262128842403,25.2918359601375,21.4281850596636
35,1,"medSBP","IHD",0,0,0
35,1,"direct","ISTK",7.06027075419176,5.74670463328333,6.1940976389061
35,1,"medBMI","ISTK",1.82138841772064,1.74003287566972,1.98644022629887
35,1,"medSBP","ISTK",0,0,0
35,1,"direct","OSTK",5.05005002742578,8.69091418174802,6.75476057208461
35,1,"medBMI","OSTK",1.81564103999996,1.97634408713068,1.28747816811422
35,1,"medSBP","OSTK",0,0,0
35,1,"direct","Other_CVD",0,0,0
35,1,"medBMI","Other_CVD",78.451497877099,97.4840300766823,79.9232595466634
35,1,"medSBP","Other_CVD",0,0,0
35,2,"medSBP","Cancer",0,0,0
35,2,"direct","Cancer",362.258773915635,469.008751624618,457.34854309993
35,2,"medBMI","Cancer",217.006658092136,192.500346692744,199.187377149956
35,2,"medSBP","DIAB",0,0,0
35,2,"direct","DIAB",0,0,0
35,2,"medBMI","DIAB",24.3974220852771,18.8978925343254,18.4096584488111
35,2,"medSBP","HHD",0,0,0
35,2,"direct","HHD",0,0,0
35,2,"medBMI","HHD",18.0968064344549,14.8936968941139,0.000140356513130724
35,2,"medSBP","HSTK",0,0,0
35,2,"direct","HSTK",15.9968255720577,8.40938180233999,4.9340946710245
35,2,"medBMI","HSTK",3.2175072209495,3.84595431538204,3.59077135940376
35,2,"medSBP","IHD",0,0,0
35,2,"direct","IHD",18.9074324339342,14.3773935121017,13.0954035119731
35,2,"medBMI","IHD",4.72375373658064,11.3066298555919,9.73172274807423
35,2,"medSBP","ISTK",0,0,0
35,2,"direct","ISTK",6.33999798668062,3.96029546870148,3.33488672044006
35,2,"medBMI","ISTK",1.18127209514627,0.954710987018383,1.21019736535285
35,2,"medSBP","OSTK",0,0,0
35,2,"direct","OSTK",5.14288088959614,3.85887590095842,6.97544235098362
35,2,"medBMI","OSTK",1.26258453872344,1.37748465961505,1.32280987790348
35,2,"medSBP","Other_CVD",0,0,0
35,2,"direct","Other_CVD",0,0,0
35,2,"medBMI","Other_CVD",70.7617909986032,63.2400420946295,47.6310718945101
