"age","female","race","disease_type2","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
35,0,2,"OSTK",3.72209027905642,0.211831061935074,3.73307049778438,3.51638704181174,3.91846033038234,0.070729290242329,0.00291389260583024,0.0716440496812018,0.0676765878084463,0.0730044471531696,7.16440496812018,6.76765878084463,7.30044471531696,0.156796437456354,0.00892357609940509,0.157258989154448,0.148131001543988,0.165068704425341
35,0,2,"Other_CVD",41.117186102767,7.88696269945091,44.4878143137868,32.7241227931347,46.6452154330324,0.0868768079572648,0.0184544977353707,0.093038387941969,0.0674752447619515,0.101041028165579,9.3038387941969,6.74752447619514,10.1041028165579,1.73209885193278,0.332245475232953,1.87408963019294,1.37853342830485,1.96497211403957
35,0,3,"Cancer",178.152606869362,32.9784534542574,175.900918710295,147.834861303138,210.384287370792,0.0913623323324936,0.0161359444744679,0.090818887621301,0.076270670825942,0.106915921843559,9.0818887621301,7.6270670825942,10.6915921843559,3.97921161768414,0.736605809055973,3.92891797427689,3.30203530520069,4.69913752706376
35,0,3,"DIAB",1.27435700788581,1.66009883305872,0.574064652953863,0.10389430912243,3.04006820834135,0.00675212860729154,0.00891135304831426,0.00293564398287005,0.000512171560528452,0.0162360975848129,0.293564398287005,0.0512171560528452,1.62360975848129,0.0284640022953742,0.0370799208560289,0.0128222919466506,0.00232058036722638,0.0679028780199372
35,0,3,"HHD",0.362954376907802,0.311736522567356,0.445432786555854,0.039630219697963,0.616171885916798,0.00219600634912746,0.00186011688294444,0.00278415131074795,0.000246474044927531,0.00364561543594998,0.278415131074794,0.0246474044927531,0.364561543594998,0.00810693875694961,0.00696293820256083,0.00994917419569514,0.000885179472838968,0.0137627979181266
35,0,3,"HSTK",1.19015524918088,1.01133706228662,1.03467945115809,0.30401532296207,2.20844960371905,0.00853848576661303,0.00712281320972248,0.00768807339679676,0.00216950683256478,0.0156303152150051,0.768807339679676,0.216950683256478,1.56303152150051,0.0265832741805518,0.0225891961861466,0.0231105711276314,0.00679047770528422,0.0493278682508018
35,0,3,"IHD",1.21083659274318,1.4321355314883,0.718986238059965,0.120915304293931,2.71883068267315,0.00335785098266709,0.00412025417463719,0.00182773832446159,0.000301862821713284,0.00771443490309557,0.182773832446159,0.0301862821713284,0.771443490309557,0.027045212088835,0.0319881389620944,0.0160592563966307,0.00270076083677544,0.0607277256792682
35,0,3,"ISTK",0.490065085710861,0.664736372317292,0.149121260997562,0.0691836430471486,1.20074877938088,0.0123729871771277,0.0156066208810647,0.005190907751771,0.00182742532352097,0.0290233165422876,0.5190907751771,0.182742532352097,2.90233165422876,0.0109460799746366,0.0148475329208168,0.00333076829260395,0.00154528390577411,0.0268198909732269
35,0,3,"OSTK",0.315461362524296,0.354297693719626,0.21223009740624,0.0336434812687172,0.685025819130223,0.0106093006740785,0.0109331782809358,0.00838168427875486,0.0013324890996171,0.0217795861845649,0.838168427875486,0.13324890996171,2.17795861845649,0.00704613612310284,0.00791358332466979,0.00474036548811448,0.000751459851620288,0.0153007174343255
35,0,3,"Other_CVD",3.20093516216094,4.22512785678807,1.40766435802228,0.230186848567964,7.69596365927177,0.0132891147549332,0.0170775220919775,0.00644673082834023,0.00098145810768186,0.0314127977397887,0.644673082834023,0.098145810768186,3.14127977397887,0.071495997777145,0.0943723370057706,0.0314415515196453,0.00514144697714926,0.171896827896016
35,0,4,"Cancer",138.224211774313,20.3985616897165,142.143366215768,117.450070540171,155.667071733219,0.1015060335108,0.0158566957956184,0.0973138711025406,0.0886239937806743,0.117951411287946,9.73138711025406,8.86239937806743,11.7951411287946,6.09440760892895,0.899387654139747,6.26720602349012,5.17846037521972,6.8634761902612
35,0,4,"DIAB",0.432961173628873,0.729931576674826,0.0231761832123484,0.00115880916061742,1.21308077995118,0.00566578553131399,0.00955657814078553,0.000297925801266419,1.4896290063321e-05,0.0158793555431051,0.0297925801266419,0.0014896290063321,1.58793555431051,0.0190895779911763,0.0321832224454852,0.00102185503901362,5.10927519506811e-05,0.0534856277397401
35,0,4,"HHD",0.178236997616015,0.26595721885867,0.0507754378460001,0.00253877189230001,0.462277549144243,0.00366988426958004,0.00561344164825465,0.000877765866158287,4.38882933079144e-05,0.00966918088876066,0.0877765866158287,0.00438882933079144,0.966918088876066,0.00785860089574812,0.0117262502528017,0.00223872656449373,0.000111936328224687,0.0203821586448378
35,0,4,"HSTK",0.31866915447461,0.416664547626397,0.165838995172796,0.00829194975863982,0.758951994597123,0.00756605910950196,0.0105917651753701,0.0030273369439825,0.000151366847199125,0.0188386652124963,0.30273369439825,0.0151366847199125,1.88386652124963,0.0140503584345411,0.0183710477117522,0.00731196380912221,0.000365598190456111,0.0334627541102323
35,0,4,"IHD",0.835855555177483,1.37389344622881,0.0860537751418263,0.00430268875709132,2.30473993462818,0.004339140655695,0.00717000758256959,0.00040232887040248,2.0116443520124e-05,0.0120044548853685,0.040232887040248,0.0020116443520124,1.20044548853685,0.0368534889079819,0.0605759769947226,0.00379417451739716,0.000189708725869858,0.101617686322091
35,0,4,"ISTK",0.0961793509058816,0.148350753853297,0.0215087090191625,0.00107543545095813,0.254753311964516,0.00864062047272997,0.0134550412745918,0.00177867270430676,8.8933635215338e-05,0.0230249629134043,0.177867270430676,0.0088933635215338,2.30249629134043,0.00424061863300552,0.00654089433007637,0.000948334870005624,4.74167435002812e-05,0.0112322617210607
35,0,4,"OSTK",0.138460961920438,0.222375565292517,0.0204154071547349,0.00102077035773675,0.376239875033986,0.00985888267199812,0.0157782252192448,0.00151978168361033,7.59890841805166e-05,0.0267300120999453,0.151978168361033,0.00759890841805166,2.67300120999453,0.00610484609776846,0.00980470295154501,0.000900130383136832,4.50065191568417e-05,0.016588694033817
35,0,4,"Other_CVD",1.59523928314938,2.5680193953991,0.228111286483349,0.0114055643241675,4.34113179914071,0.0152317582812029,0.024704991983545,0.00195908113721932,9.7954056860966e-05,0.0416473380779308,0.195908113721932,0.0097954056860966,4.16473380779308,0.0703352784616466,0.113225872242636,0.0100575951360574,0.000502879756802869,0.191403707993241
