"age","female","pathway","disease_type1","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,"direct","CMD",353.346916145483,30.3136770324395,352.688016846901,324.834057781799,382.419838912962,0.120519918926817,0.0109698816285621,0.120290512988466,0.110197738123062,0.131037094778171,12.0290512988466,11.0197738123062,13.1037094778171,1.0345860013758,0.0887572650982931,1.03265676990531,0.951101463165955,1.11971038633556
25,0,"direct","Cancer",357.358302806694,54.5035845767755,376.622299297406,299.877961860145,398.464246736139,0.0811428239364805,0.0100938993738789,0.0855248881947486,0.0703947751481189,0.0881661181053142,8.55248881947486,7.03947751481189,8.81661181053142,1.04633118520552,0.159584371764312,1.1027354162577,0.878030986787707,1.16668778722899
25,0,"medBMI","CMD",383.988995912513,34.1966706803759,376.161553318106,355.473497816388,419.157820213885,0.13092060118942,0.0115091688257772,0.127570842442309,0.121763564031555,0.142924933282329,12.7570842442309,12.1763564031555,14.2924933282329,1.12430481688389,0.100126519188322,1.10138636998449,1.04081254964032,1.22727776399195
25,0,"medBMI","Cancer",148.599403330182,7.06632493545046,148.67066767088,141.856363340407,155.281868630363,0.0338132278995119,0.000552876207722479,0.033760725942438,0.0333120879903791,0.0343589944721575,3.3760725942438,3.33120879903791,3.43589944721575,0.435093262381562,0.0206899240529377,0.435301921594122,0.415349904051909,0.454659260380538
25,0,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","CMD",204.729135014144,21.2959343232476,216.578413289567,181.965754631214,217.420628862964,0.123457745639533,0.0164548336899937,0.129890010671912,0.106014945619873,0.135433120381673,12.9890010671912,10.6014945619873,13.5433120381673,0.616328406661492,0.0641105100595878,0.652000158017623,0.54780021227103,0.654535612399243
25,1,"direct","Cancer",942.394191159242,80.4592968878027,930.170728136308,871.817275682281,1023.3610502057,0.0861038788670472,0.00818679525630994,0.0817583661574826,0.0810436921647671,0.0948577513724571,8.17583661574826,8.10436921647671,9.48577513724571,2.83703787565016,0.242219312109815,2.80023965692917,2.62456905503021,3.08078518218296
25,1,"medBMI","CMD",219.417349474352,24.0748662173017,230.726548013625,193.71794309918,235.503937091144,0.131722058487345,0.0105344567943571,0.134173387571254,0.120877826202003,0.140482661051364,13.4173387571254,12.0877826202003,14.0482661051364,0.660546655394567,0.0724763670557835,0.694592519535236,0.583179678865983,0.708974647403582
25,1,"medBMI","Cancer",394.430450439314,69.7646887823956,380.770875348719,334.919046412611,465.552493293024,0.0359046808347695,0.00521938243974007,0.0355049158940832,0.031127087642308,0.0410220742268144,3.55049158940832,3.1127087642308,4.10220742268143,1.18741619770553,0.210023646490365,1.14629462431209,1.0082596315459,1.40152610124959
25,1,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"direct","CMD",856.560582526817,159.839970256485,904.683010692,689.512776418872,982.704324694356,0.100998159007641,0.0188625154808538,0.105480318556854,0.0815573843603424,0.116629098038108,10.5480318556854,8.15573843603424,11.6629098038108,4.32221350369278,0.806554132848862,4.56503977084654,3.47928855705083,4.95873612325403
35,0,"direct","Cancer",1027.64832999372,43.7862148981427,1004.70822797401,1000.32904372191,1074.46670298228,0.0944597846354335,0.00550046269051602,0.0939009263474008,0.0894921274411551,0.0999024713745396,9.39009263474007,8.94921274411551,9.99024713745396,5.18552403595704,0.220945690437981,5.06976804537295,5.04767063662488,5.42177002728569
35,0,"medBMI","CMD",1017.66658379953,164.602416946425,1097.29572367089,841.836995551463,1125.81140315695,0.11995321139504,0.0189484665855679,0.130339565755392,0.0996954395644511,0.131382582019328,13.0339565755392,9.96954395644511,13.1382582019328,5.1351560420626,0.830585487797689,5.53696550033128,4.24791813247696,5.68085591211987
35,0,"medBMI","Cancer",342.221491504668,67.5756445900977,378.034143395172,269.965039996408,384.037188905998,0.031366739075297,0.00569703433339567,0.0341466238890908,0.0252800873798732,0.0350904886789959,3.41466238890908,2.52800873798732,3.50904886789959,1.72685316369791,0.340987397186141,1.90756417324211,1.36224636669048,1.93785560259277
35,0,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"direct","CMD",551.012406168576,35.7834087202195,554.328771608984,515.718385403555,583.487516309252,0.134089216990717,0.00900228429911002,0.134646450794264,0.125312519263175,0.142392265985243,13.4646450794264,12.5312519263175,14.2392265985243,2.61859811097624,0.170054912430393,2.63435860598568,2.45086893633445,2.77293086486001
35,1,"direct","Cancer",1590.54567276695,188.514722279637,1574.35122606487,1418.83562615265,1776.02099907801,0.0851242048514669,0.00874460050090816,0.0838628119493446,0.0774180022361539,0.0939025914335839,8.38628119493446,7.74180022361539,9.39025914335839,7.55881328170082,0.895885991179738,7.4818517703671,6.7427888171586,8.44025503087671
35,1,"medBMI","CMD",517.946911686721,41.7106230029301,535.413939118956,473.595991588397,547.450858467646,0.126012657052259,0.00982150427311994,0.130100895380697,0.115572062879411,0.132978248645934,13.0100895380697,11.5572062879411,13.2978248645934,2.46145965017325,0.198223047939322,2.54446889738143,2.25068901363336,2.60167242658619
35,1,"medBMI","Cancer",685.31334717744,79.0406017322882,719.877820773855,601.127912874541,740.118978923387,0.0367324167838671,0.00436927355142411,0.039174631544333,0.0320623878736952,0.0393265631476431,3.9174631544333,3.20623878736952,3.93265631476431,3.25684179930537,0.375627786361081,3.42110391800396,2.85676402107501,3.51729677664192
35,1,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,"direct","CMD",2518.54679427972,834.429867410644,2315.66736464206,1829.83420052135,3379.7069032301,0.0958819773493034,0.0316783161470965,0.0887022485475999,0.0694243628349533,0.128442361345102,8.87022485475999,6.94243628349533,12.8442361345102,13.2830767215398,4.40086956999729,12.2130695907531,9.65073514950267,17.8249243547456
45,0,"direct","Cancer",3101.96466640838,418.548582665982,3144.77751442998,2687.71124243309,3479.82716956531,0.0832346034167641,0.0109161140002155,0.0836837570864107,0.0726799906995137,0.0934074355148149,8.36837570864107,7.26799906995137,9.34074355148149,16.3600830228735,2.20746858778694,16.5858824188705,14.1752675470117,18.3529690121378
45,0,"medBMI","CMD",2764.02771449699,636.483794424704,3097.51955570943,2083.46777267512,3161.11959128828,0.105284060335937,0.0245313716743642,0.118651302733222,0.0790562629471142,0.120149701687068,11.8651302733222,7.90562629471142,12.0149701687068,14.5777685272772,3.35688147330135,16.3366390485213,10.9884248861908,16.6720722253061
45,0,"medBMI","Cancer",1371.83493759245,233.965631586112,1385.52709449157,1144.0340652908,1587.99747652984,0.0367900724007326,0.00596973768307536,0.0372063030864209,0.0309522717461891,0.042274076972441,3.72063030864209,3.09522717461891,4.2274076972441,7.23519958680799,1.2339589804805,7.30741344083981,6.03375418548011,8.37526321220883
45,0,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"direct","CMD",1480.08332083816,176.601456354232,1389.2399732672,1368.48749309397,1668.89599401767,0.121992812975657,0.0140110195078633,0.113960320730878,0.113852576700512,0.136960667658864,11.3960320730878,11.3852576700512,13.6960667658864,7.3467788736511,0.876607303340568,6.89585426869837,6.79284393085725,8.28399973065479
45,1,"direct","Cancer",5240.11647982416,512.569091738123,5358.5720922858,4712.68432503915,5666.86136401678,0.0877657710631282,0.0079893567375882,0.089168964387502,0.0796678354347215,0.0946709923658173,8.91689643875019,7.96678354347215,9.46709923658173,26.0106823091838,2.54427012415468,26.5986675792331,23.3926355022889,28.1289416365368
45,1,"medBMI","CMD",1452.80033041711,190.672224628383,1426.33987865921,1284.22033041106,1643.87171441739,0.119717322733565,0.0149607549736686,0.117003651760014,0.106834364997869,0.13490690079678,11.7003651760014,10.6834364997869,13.490690079678,7.21135264810466,0.946451224717935,7.08000930734453,6.37456193157713,8.15978520427828
45,1,"medBMI","Cancer",2674.18050037803,139.813950177794,2746.68268979956,2524.69113573949,2762.04300400828,0.0448209218188802,0.00263589116004425,0.0458952249364992,0.0420214174825655,0.0467072685052187,4.58952249364992,4.20214174825655,4.67072685052187,13.2739910840839,0.694002939527919,13.6338745758011,12.5319617060756,13.7101194941327
45,1,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,"direct","CMD",4304.97520684029,354.490893599801,4313.34579436109,3964.72178001796,4638.11363426993,0.0665654751091826,0.00548879351064234,0.0667412606726158,0.061278418395792,0.0717031140936549,6.67412606726158,6.1278418395792,7.17031140936549,19.0121621428366,1.56554637912192,19.0491293632108,17.509493019418,20.4834091289373
55,0,"direct","Cancer",11023.4536809379,879.992463072414,11245.6393785655,10113.2618714804,11744.7876474118,0.0920215346281956,0.0075239419979726,0.0943978085211926,0.0841364337012316,0.097886802746112,9.43978085211926,8.41364337012316,9.7886802746112,48.6831349047106,3.88633118393418,49.6643787693452,44.6634336448774,51.8687788796044
55,0,"medBMI","CMD",4934.03723936136,639.180423992192,4823.40034703276,4380.69758620183,5581.4182510002,0.0762919611096634,0.00988290402293885,0.0746334366028687,0.067707759272667,0.0862859087774354,7.46334366028687,6.77077592726669,8.62859087774354,21.7903034295018,2.82282737428027,21.3016951484161,19.3465766481689,24.6493472497576
55,0,"medBMI","Cancer",4098.66288704682,577.279939412792,3928.44195741384,3640.77336071863,4701.24020356304,0.03420214389355,0.00472777976905824,0.0326650546748184,0.0305457227183085,0.0391650909047134,3.26650546748184,3.05457227183085,3.91650909047134,18.1010202459575,2.54945482438178,17.3492695949562,16.0788320799894,20.7621964652766
55,0,"medSBP","CMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,"medSBP","Cancer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,"direct","CMD",2398.76048210627,243.991906020064,2499.51541012554,2139.47638177281,2572.40289362334,0.0791947550385357,0.0079996634605362,0.082254672008132,0.0707236907930107,0.0850648898599038,8.2254672008132,7.07236907930107,8.50648898599038,9.52915771316257,0.969266156643868,9.92941009627292,8.49914279378075,10.2189581069006
55,1,"direct","Cancer",16263.5851035669,1411.80458418689,15666.7982566186,15269.1074026629,17765.3316243769,0.091574926207361,0.00824192716241387,0.0878643692994231,0.0859417202463604,0.100362105540109,8.78643692994231,8.59417202463604,10.0362105540109,64.607645735955,5.60844179451795,62.2368896608352,60.6570491987731,70.5733849369888
