"age","female","pathway","disease_type1","V1","V2","V3"
25,0,"direct","Cancer",399.613822917125,376.622299297406,295.838786205552
25,0,"medSBP","Cancer",0,0,0
25,0,"medBMI","Cancer",155.629826575599,148.67066767088,141.497715744067
25,0,"direct","CMD",352.688016846901,323.368059936267,383.984671653281
25,0,"medSBP","CMD",0,0,0
25,0,"medBMI","CMD",421.420781629452,376.161553318106,354.384652789981
25,1,"direct","Cancer",868.746041342595,930.170728136308,1028.26580399882
25,1,"medBMI","Cancer",380.770875348719,470.014683711145,332.505792258078
25,1,"medSBP","Cancer",0,0,0
25,1,"direct","CMD",217.464955998406,180.144035754459,216.578413289567
25,1,"medBMI","CMD",235.75537862154,230.726548013625,191.770121787893
25,1,"medSBP","CMD",0,0,0
35,0,"direct","Cancer",1004.70822797401,1078.13820166693,1000.09856034022
35,0,"medBMI","Cancer",384.353138669725,378.034143395172,264.277192449105
35,0,"medSBP","Cancer",0,0,0
35,0,"direct","CMD",986.810709641848,904.683010692,678.188027246602
35,0,"medBMI","CMD",1097.29572367089,1127.31222839306,828.391799334651
35,0,"medSBP","CMD",0,0,0
35,1,"medBMI","Cancer",594.877917721945,719.877820773855,741.184303036521
35,1,"direct","Cancer",1574.35122606487,1410.65059457833,1786.63519765765
35,1,"medSBP","Cancer",0,0,0
35,1,"medBMI","CMD",535.413939118956,548.08438053863,470.342415402579
35,1,"direct","CMD",513.686259813795,554.328771608984,585.02218708295
35,1,"medSBP","CMD",0,0,0
45,0,"direct","Cancer",3497.46136194085,3144.77751442998,2663.65512285431
45,0,"medBMI","Cancer",1385.52709449157,1598.65381242659,1131.32390585918
45,0,"medSBP","Cancer",0,0,0
45,0,"direct","CMD",2315.66736464206,3435.70898420842,1804.26403398869
45,0,"medBMI","CMD",3097.51955570943,3164.4669615819,2030.09662619963
45,0,"medSBP","CMD",0,0,0
45,1,"medSBP","Cancer",0,0,0
45,1,"medBMI","Cancer",2746.68268979956,2513.00736973632,2762.85144159821
45,1,"direct","Cancer",5683.08711516052,5358.5720922858,4678.69023202617
45,1,"medSBP","CMD",0,0,0
45,1,"medBMI","CMD",1426.33987865921,1276.74035418747,1655.32075840466
45,1,"direct","CMD",1389.2399732672,1367.39525729538,1683.6147319519
55,0,"medBMI","Cancer",3928.44195741384,3625.63290826098,4741.91379546563
55,0,"medSBP","Cancer",0,0,0
55,0,"direct","Cancer",10053.663055318,11245.6393785655,11771.05860893
55,0,"medBMI","CMD",5621.31393015638,4357.39744089494,4823.40034703276
55,0,"medSBP","CMD",0,0,0
55,0,"direct","CMD",4655.20667847566,3946.37314768411,4313.34579436109
55,1,"medSBP","Cancer",0,0,0
55,1,"direct","Cancer",15666.7982566186,15248.1763050862,17875.7807489958
55,1,"medBMI","Cancer",6379.07130669514,5314.4960541304,6481.40007096929
55,1,"medSBP","CMD",0,0,0
55,1,"direct","CMD",2499.51541012554,2120.52695922793,2576.23907696533
55,1,"medBMI","CMD",2757.67014418344,2364.12793396335,2488.37364714537
65,0,"medSBP","Cancer",0,0,0
65,0,"direct","Cancer",12321.8791691888,11695.0865271388,13455.8942005433
65,0,"medBMI","Cancer",5913.16054915296,4997.24746775459,5687.35131841141
65,0,"medSBP","CMD",0,0,0
65,0,"direct","CMD",7273.0268085076,7494.26716147067,6561.34698779411
65,0,"medBMI","CMD",8558.68962960849,8272.97974959723,7138.11504285733
65,1,"direct","Cancer",16054.1955630008,16000.2305069915,16350.1124612325
65,1,"medSBP","Cancer",0,0,0
65,1,"medBMI","Cancer",7242.0123813545,5710.012127816,6967.01671091303
65,1,"direct","CMD",4154.48224466247,3840.96682142269,2774.13003097982
65,1,"medSBP","CMD",0,0,0
65,1,"medBMI","CMD",3977.81902957126,3662.44732315995,3771.22902018033
75,0,"direct","Cancer",9581.38670071684,7040.31037600189,8442.10776261699
75,0,"medBMI","Cancer",4055.22986793438,4327.29590611332,3305.21677871033
75,0,"medSBP","Cancer",0,0,0
75,0,"direct","CMD",7801.32886643292,7477.40013996373,7864.4717417705
75,0,"medBMI","CMD",11158.3909382597,12414.2899187367,10725.9985462903
75,0,"medSBP","CMD",0,0,0
75,1,"medBMI","Cancer",6623.15187554097,6871.61157614082,6422.5687305455
75,1,"direct","Cancer",15922.0428548184,14346.0573585651,12441.9260654212
75,1,"medSBP","Cancer",0,0,0
75,1,"medBMI","CMD",14734.9976211962,14882.2533729581,14962.6862382724
75,1,"direct","CMD",11405.545935652,13914.2002968231,12181.0241225256
75,1,"medSBP","CMD",0,0,0
