"female","pathway","disease_type2","V1","V2","V3"
0,"direct","Cancer",36858.7123380557,34580.5742971006,37628.6530414903
0,"medSBP","Cancer",0,0,0
0,"medBMI","Cancer",15822.3424342381,15075.5349056215,15271.5807066397
0,"direct","DIAB",0,0,0
0,"medSBP","DIAB",0,0,0
0,"medBMI","DIAB",502.885407804847,579.443212815383,420.485756052739
0,"direct","HHD",0,0,0
0,"medSBP","HHD",0,0,0
0,"medBMI","HHD",300.295302869295,248.034098306359,237.341164836903
0,"direct","HSTK",262.919957426095,233.895642272885,234.429470035709
0,"medSBP","HSTK",0,0,0
0,"medBMI","HSTK",82.7230714320557,79.8922821108881,60.6473548887097
0,"direct","IHD",1157.77683217955,1248.12976579894,1193.94512011292
0,"medSBP","IHD",0,0,0
0,"medBMI","IHD",1214.8877344868,1089.25417594219,916.907296845022
0,"direct","ISTK",296.812308698423,235.856600817274,241.119202804824
0,"medSBP","ISTK",0,0,0
0,"medBMI","ISTK",83.2207201778959,59.1866336213734,79.7691401727309
0,"direct","OSTK",470.396473123264,622.461108227942,551.350860063571
0,"medSBP","OSTK",0,0,0
0,"medBMI","OSTK",122.954599237043,129.862459637838,113.263825418081
0,"direct","Other_CVD",0,0,0
0,"medSBP","Other_CVD",0,0,0
0,"medBMI","Other_CVD",1829.69163701958,1863.95874368971,1609.13527801931
1,"direct","Cancer",55769.2210570059,53293.8575856433,54161.410509332
1,"medBMI","Cancer",23966.5670464608,21599.0196323085,23707.5270493206
1,"medSBP","Cancer",0,0,0
1,"direct","DIAB",0,0,0
1,"medBMI","DIAB",353.185058934195,349.105118451194,431.442869107427
1,"medSBP","DIAB",0,0,0
1,"direct","HHD",0,0,0
1,"medBMI","HHD",274.223950100988,232.302303337643,176.876758480968
1,"medSBP","HHD",0,0,0
1,"direct","HSTK",399.897275192778,404.88855965964,420.022017446923
1,"medBMI","HSTK",74.0607528703879,96.9487454670024,95.7569135010167
1,"medSBP","HSTK",0,0,0
1,"direct","IHD",838.031945608836,515.613578403015,657.500393575439
1,"medBMI","IHD",579.75324537698,686.357689817823,879.838963390445
1,"medSBP","IHD",0,0,0
1,"direct","ISTK",294.679786955442,500.352315402978,387.227190155404
1,"medBMI","ISTK",135.332134961651,89.3704702787823,86.6527534130508
1,"medSBP","ISTK",0,0,0
1,"direct","OSTK",694.654207859578,709.471529167581,577.548584516077
1,"medBMI","OSTK",163.262269048204,164.138543007364,177.26153532249
1,"medSBP","OSTK",0,0,0
1,"direct","Other_CVD",0,0,0
1,"medBMI","Other_CVD",1735.84661671061,1806.63027369087,1761.56714106567
1,"medSBP","Other_CVD",0,0,0
