"age","female","race","outcome","V1","V2","V3"
25,0,1,"AA",0.347717849302673,0.467858912884479,0.50148780575992
25,0,1,"AFF",0.0832490510154898,0.032058074073782,0.0633880171606502
25,0,1,"APCA",0.00416206871305895,0.00759505412082294,0.00661049241299501
25,0,1,"BC",0,0,0
25,0,1,"CC",67.0853224020435,60.6601652057093,45.7520116519284
25,0,1,"CM",3.08743429324079,2.29464064189935,2.59797736540311
25,0,1,"DIAB",3.97625314187845,6.35913642039157,4.16076205823028
25,0,1,"ECA",0.368774020922531,0.43765083771167,0.101296688596687
25,0,1,"ENDO",0.402603078874717,0.454055902328457,0.772327156545853
25,0,1,"GC",0.012186387206192,0.00204196207278476,0.0268887807408124
25,0,1,"HHD",3.61761264636099,3.31752257013805,2.99128999978192
25,0,1,"HSTK",3.86158338077739,3.17377962185272,3.7556047311149
25,0,1,"IHD",7.33854307830087,8.58969909926632,7.11998619592915
25,0,1,"ISTK",1.19453746573676,1.4730059738801,1.98934847519216
25,0,1,"KC",1.2666788944414,1.70773479497902,1.63888023375461
25,0,1,"LC",0,0,0
25,0,1,"LVC",0.0955787092552702,0.303073831607063,0.144667076471816
25,0,1,"MLPC",4.89009169128046,1.62677849568935,4.02774181879345
25,0,1,"MMC",0.0309390056151068,0.0347540611102305,0.0555464274474068
25,0,1,"OC",0,0,0
25,0,1,"OSTK",1.62364735287592,0.962771554325457,0.997521272651043
25,0,1,"OTH",1.19011679047642,1.29877705725102,1.83333034286294
25,0,1,"PC",0.084674485333647,0.0503052908815471,0.171970052992638
25,0,1,"PVD",0.123646994017859,0.0304178114575924,0.0215427443256155
25,0,1,"RHD",0.0316478782914766,0.0739137685355144,0.225836966706035
25,0,1,"SCC",0.163898760808235,0.223055320585906,0.0463242120373628
25,0,1,"SCNC",0,0,0
25,0,1,"TC",1.27784303647328,0.727192103352154,0.593085636947258
25,0,1,"UC",0,0,0
25,0,2,"AA",0.478641642838547,0.341656944720036,0.298890891983683
25,0,2,"AFF",0.0239472591022668,0.0220427094694084,0.0180592286911945
25,0,2,"APCA",0,0,0
25,0,2,"BC",0,0,0
25,0,2,"CC",8.54175833224641,8.16886939155762,7.2158615580332
