"race","outcome","V1","V2","V3"
1,"AA",40.2381058743744,40.3363532599591,37.1724611164975
1,"AFF",122.129008670698,105.07436490007,102.251441486603
1,"APCA",16.0964314785334,18.8668798022891,25.0635021401617
1,"BC",421.98545922599,320.660771154197,351.884450280845
1,"CC",7683.61308465963,6859.2023730916,7091.83181784267
1,"CM",71.7091245727111,76.8055941736181,62.4277403591541
1,"DIAB",647.635748345024,716.515533154555,639.425808096401
1,"ECA",67.7467909371862,80.3541264100943,58.6220014906063
1,"ENDO",9.11064009258436,8.75625713636405,7.57969566558064
1,"GC",9.80915743345505,9.51263302696008,9.74644718243926
1,"HHD",466.660644159568,378.232811376152,300.031506421399
1,"HSTK",646.312556927906,625.927472239118,582.818874418379
1,"IHD",3341.16186009915,3044.86555891149,2983.8134810524
1,"ISTK",691.790823217235,720.209450752721,603.484395216309
1,"KC",248.156181184568,251.690861169438,238.431930580112
1,"LC",0,0,0
1,"LVC",120.362700356812,97.5581260172414,102.846165874228
1,"MLPC",696.621264975959,723.601688525368,666.397447673767
1,"MMC",28.7246054136118,23.6792679659662,24.8891706430751
1,"OC",14.6603245976106,14.3196162581513,11.7029873355307
1,"OSTK",1270.30636263277,1387.21737024611,1115.9747853837
1,"OTH",137.761408476671,201.541670725666,141.105962747228
1,"PC",75.9411959428224,88.0132962275791,67.5409121102648
1,"PVD",29.6271145339167,28.782198299965,26.9339373503691
1,"RHD",13.7484172870043,13.7761610803511,12.6377582115341
1,"SCC",32.1145468370942,24.1635567697032,31.9959458322755
1,"SCNC",0,0,0
1,"TC",38.8126437817615,36.3764031985703,47.2846773185151
1,"UC",403.578659588774,325.560893600126,387.981962400583
2,"AA",6.77065664144134,6.7811678875659,7.45861450253085
2,"AFF",3.34968688388629,3.7514613021302,6.65199608547783
2,"APCA",7.8020084177495,8.87226467288244,5.79181129118449
2,"BC",35.1851306376275,50.5790354013481,44.6687305886282
2,"CC",1647.56194210045,1670.10811378271,1810.34309610464
2,"CM",23.5341869582537,21.542240050326,19.417178938469
2,"DIAB",153.720252195913,146.599501800162,159.309505635173
2,"ECA",1.34671189132783,1.66942399218282,1.85602594370116
2,"ENDO",1.51213120234682,1.16076453512514,1.19321553970299
2,"GC",1.59043559973767,1.49553183548378,1.95113008822891
2,"HHD",89.9431503103613,73.6637155628429,95.1461872695633
2,"HSTK",121.34038839332,122.845677659753,148.226645737905
2,"IHD",316.420193501778,326.564281555946,509.931975118371
2,"ISTK",81.4088195590453,89.6605584668654,142.170982088462
2,"KC",23.3763602623243,30.9344339062833,31.3133411819148
2,"LC",0,0,0
2,"LVC",16.2366232830606,14.156932247327,16.3690222290693
2,"MLPC",54.8725320470327,71.1196495203329,61.6837928430219
2,"MMC",7.45687516050842,9.45555108588901,5.98784887307556
2,"OC",1.81822538494444,1.93899321020501,2.21862058844761
2,"OSTK",133.311061274943,165.58758300238,230.334795362149
2,"OTH",19.6937558601972,20.5606022733968,20.5878540443901
2,"PC",4.96800664913,6.26491104462746,9.76824433624239
2,"PVD",3.41613048468292,3.4626929411624,6.02311437488425
2,"RHD",1.95038279452721,1.69907662972918,1.53952251708216
2,"SCC",1.73183092825517,1.33402305479041,1.54583520129944
2,"SCNC",0,0,0
2,"TC",3.45243080492802,2.90353393722615,4.37616452382788
2,"UC",51.3692338254652,40.3008625909697,54.3721931231204
3,"AA",1.00942668145816,0.943404213055154,0.613155320183515
3,"AFF",1.50342527288482,2.25706256453194,1.12253323094825
3,"APCA",1.62393007186607,0.60220427804668,1.02960660358086
3,"BC",14.6579665791503,19.1526512462682,30.0495611753282
3,"CC",1056.82013611268,1081.52838565079,1091.23462619619
3,"CM",3.22678553853818,3.27365252417332,2.48279717521333
3,"DIAB",33.1658569482447,37.9421416338733,29.5835910875381
3,"ECA",1.61419848905895,0.499699066938593,1.36557504533825
3,"ENDO",0.300812201716731,0.34356898413701,0.330372457944728
3,"GC",0.798279292837133,1.0012311980283,1.10341593946511
3,"HHD",12.8708242124818,19.7500513105646,10.9189024571088
3,"HSTK",25.9093065573395,29.4434871109594,38.7462852977136
3,"IHD",78.2897213774987,85.04383516713,64.1183586921961
3,"ISTK",22.9906577167523,51.9773948648953,21.8450862451235
3,"KC",14.3150034476349,8.07106112117516,10.5174384331917
3,"LC",0,0,0
3,"LVC",7.80579475624881,8.61303864416846,9.06465404988842
3,"MLPC",13.0361195887262,13.3363497167059,17.0727073582567
3,"MMC",1.46188384525966,0.983439702823991,1.00684035822396
3,"OC",1.14282111563183,0.957155467599884,1.93678388013368
3,"OSTK",25.5702310739218,37.440798138415,28.7201933448957
3,"OTH",3.48615481998773,6.27522564838251,3.47272715590025
3,"PC",2.40107819659587,2.75288414632564,2.17807275067308
3,"PVD",0.821298725820118,1.08341776801571,0.789741746692836
3,"RHD",0.430528604211895,0.759584705393301,0.535225488345648
3,"SCC",0.647196605177894,0.622165510208031,0.900913410514558
3,"SCNC",0,0,0
3,"TC",4.01918095296962,2.40990203233631,2.42745026147956
3,"UC",17.9459592087238,28.0029366095565,18.3674747947251
4,"AA",0.878302920217482,1.56841733528894,1.32057429305747
4,"AFF",1.25591840277415,2.13467268178429,2.24774475378872
4,"APCA",1.03428345231446,1.16727716428013,1.73889834275174
4,"BC",28.594184919431,19.7159584656726,22.4372241444141
