"female","race","outcome","pathway","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"AA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"AA","medBMI",23.9726637444176,2.90372181796098,24.4268963295945,21.0465101399616,26.5127196514733,0.00534276251040213,0.000708895577230501,0.00547342280674994,0.00462241590141184,0.00595204786749676,0.547342280674994,0.462241590141184,0.595204786749676,0.0326787888244876,0.00395826317450018,0.033297984542012,0.0286899473370539,0.0361413139520256
0,1,"AA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"AFF","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"AFF","medBMI",50.799881407643,1.34783284502488,50.047176049306,49.9990511781549,52.2405111917177,0.0054790852525725,0.000153623751442685,0.00541102068077325,0.00537324098130748,0.00564278440986688,0.541102068077325,0.537324098130748,0.564278440986688,0.0692488166741985,0.00183732376939268,0.0682227521652895,0.0681571498393101,0.0712126383416594
0,1,"AFF","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"APCA","direct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"APCA","medBMI",20.0089378069947,4.59133002813381,18.8668798022891,16.2349538947211,24.7536710232681,0.000557187025778278,0.000132993722718603,0.000519087591384326,0.000450985305830553,0.000695773264960862,0.0519087591384326,0.0450985305830553,0.0695773264960862,0.0272755610376985,0.00625875814271379,0.0257187431238035,0.0221309836719513,0.0337434336302566
0,1,"APCA","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"BC","direct",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"BC","medBMI",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"BC","medSBP",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"CC","direct",3676.54747747527,413.652464557741,3897.31466102369,3234.24522532903,3931.19762360535,0.070255999183859,0.0064574675084379,0.0735367138001741,0.0633527954256049,0.0743705955182453,7.35367138001741,6.33527954256049,7.43705955182453,5.0117550515259,0.563878160563572,5.31269800252507,4.40882239253643,5.35888620216608
0,1,"CC","medBMI",39.035770925278,11.2210267433385,40.7186088044853,27.7508815759092,48.8902480773206,0.000749843698070695,0.000229506453542518,0.000770421802902863,0.00052372517719559,0.000958470829838458,0.0770421802902863,0.052372517719559,0.0958470829838458,0.0532123475416987,0.0152961542884393,0.055506339743265,0.0378291377370892,0.066645663974977
0,1,"CC","medSBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
