"outcome","V1","V2","V3"
"AA",48.8964921174914,49.6293426958691,46.5648052322693
"AFF",128.238039230243,113.217561448517,112.273715556817
"APCA",26.5566534204634,29.5086259174983,33.6238183776788
"BC",500.422741362199,410.108416267485,449.039966189216
"CC",11464.1321918477,10610.6373623487,11096.5541477838
"CM",100.322455676789,104.611235308554,86.4814506403399
"DIAB",856.070466739042,928.548331266577,851.928625160166
"ECA",71.2974214945524,83.3704135101782,62.4833084347024
"ENDO",11.2562583571522,10.7825729599768,9.57155486890409
"GC",13.4882489232286,12.7650696287585,13.8922350474294
"HHD",574.519252970283,480.336401644002,414.217923317871
"HSTK",819.601056921318,815.625229510415,810.855755872358
"IHD",3790.44975765216,3539.35520996197,3648.19177392383
"ISTK",810.044950793413,884.766020120408,794.768286546009
"KC",293.501900787862,298.921774501142,290.057001179256
"LC",0,0,0
"LVC",151.296821667037,129.259815096298,139.753357111457
"MLPC",793.560812054617,839.560519453121,779.946542547473
"MMC",38.4479899465901,35.233368160564,32.9106982643854
"OC",19.063566577656,19.020042198902,17.7864410482289
"OSTK",1451.26754926809,1625.93364004073,1419.42480532022
"OTH",163.520277229494,231.576214922513,169.339907040856
"PC",85.7250931671417,99.810173680809,82.863143768362
"PVD",34.2082113728856,33.9130153101789,34.4608040448485
"RHD",16.5003459937686,16.7245212354957,15.3291728292699
"SCC",35.2197154251948,27.2606325401446,35.4478791952149
"SCNC",0,0,0
"TC",49.5010454114137,46.3160893546438,59.1626588531692
"UC",501.624072248847,423.37744285078,497.302053419971
