"age","female","disease_type2","V1","V2","V3"
25,0,"Cancer",555.243649492724,525.292966968286,437.336501949619
25,0,"DIAB",9.13260598205646,10.9521352299431,9.03613730596095
25,0,"HHD",7.79885667550143,5.08969635083983,3.01618060930324
25,0,"HSTK",6.29771501103164,6.81338481791619,8.19778896627802
25,0,"IHD",18.1675212728718,14.7769686834265,13.9827741515453
25,0,"ISTK",3.41569425813686,2.48723472943327,3.84293482989955
25,0,"OSTK",2.39936192172642,1.82738079878956,1.62966863626037
25,0,"Other_CVD",70.0183735651651,60.5855085197567,64.2884910389599
25,1,"Cancer",1249.51691669131,1400.18541184745,1360.7715962569
25,1,"DIAB",4.85157504383558,8.6788246322743,7.1308272186835
25,1,"HHD",1.89217643818276,2.17234033967334,2.50997007113726
25,1,"HSTK",4.90654489390549,4.78752756924968,5.599362876995
25,1,"IHD",5.65350521361217,5.40919595344042,5.11858150951794
25,1,"ISTK",4.19172581599998,2.96013612336668,4.05134187291449
25,1,"OSTK",2.53869253286666,1.94597761479638,1.99959639041657
25,1,"Other_CVD",52.1057249422925,47.0240654633252,37.1132728946824
35,0,"Cancer",1389.06136664373,1456.1723450621,1264.37575278932
35,0,"DIAB",36.5972276462628,30.9462938010113,28.0969181945008
35,0,"HHD",18.6278825671784,18.9893517944517,3.62731198252698
35,0,"HSTK",14.5686247165897,17.3337842172493,13.1453583136642
35,0,"IHD",58.5888744451972,75.4166070629713,56.3120516471087
35,0,"ISTK",12.1623670956247,8.3531679070653,5.8423412108798
35,0,"OSTK",7.54746126314213,8.6872336671997,7.34968397855066
35,0,"Other_CVD",103.01582956166,109.331813336086,80.2964020429834
35,1,"Cancer",2169.22914378682,2130.52841535218,2527.81950069417
35,1,"DIAB",14.9971466973301,20.1582953180995,9.97419368430567
35,1,"HHD",11.9292818274282,5.92948550434956,4.30066459199499
35,1,"HSTK",24.4298046300641,28.0779175180629,23.2084721717873
35,1,"IHD",18.1713682010554,24.6373577729256,20.8123391235112
35,1,"ISTK",6.1206745989851,4.92993208416559,7.92163054466487
35,1,"OSTK",6.96598062599126,8.44347417436587,9.50143905759106
35,1,"Other_CVD",58.1551782285837,61.6271123480881,54.3976352558166
45,0,"Cancer",4882.98845643242,4743.43132685658,3794.97902871349
45,0,"DIAB",78.7345836650901,87.9487239317048,46.5619478896093
45,0,"HHD",49.3938027624923,25.3513862963954,23.1887276300527
45,0,"HSTK",58.2824073552995,56.3959934400781,38.3335823152172
45,0,"IHD",245.263951888252,237.616631628981,180.413617838955
45,0,"ISTK",22.3110919718825,29.636659100477,15.5316340226461
45,0,"OSTK",26.8096535143681,45.2797716358478,20.7625182889923
45,0,"Other_CVD",166.432913429618,205.497555054086,109.239696436087
45,1,"Cancer",8429.76980496008,7871.57946202212,7441.54167362438
45,1,"DIAB",38.0056689079788,44.9127137338658,63.5558017896765
45,1,"HHD",18.7284383948821,4.62421694288911,13.9080014213236
45,1,"HSTK",39.755643514407,37.2164131230974,61.5354823078681
45,1,"IHD",57.4797122834239,88.6862166092762,93.2755453910304
45,1,"ISTK",21.0033480510674,17.9903363333405,23.6647617778834
45,1,"OSTK",30.4167410941568,29.4409564013489,32.0515342692181
45,1,"Other_CVD",106.68423680153,96.9722238708075,114.304532743277
55,0,"Cancer",13982.1050127319,14871.2722868265,16512.9724043956
55,0,"DIAB",88.9982826244994,69.3182573465801,96.6867910113454
55,0,"HHD",55.9958104154807,35.185986077127,58.6096771117112
55,0,"HSTK",71.2880223665157,37.7001616619888,70.1584336251701
55,0,"IHD",463.317231439239,397.033942547503,495.213424540747
55,0,"ISTK",53.2856811399232,43.0353059289506,39.5257205890372
55,0,"OSTK",77.6466291119566,90.2757505457434,81.6606766291029
55,0,"Other_CVD",301.012358301455,241.720887563422,243.692869030214
55,1,"Cancer",22045.8695633138,20562.6723592166,24357.1808199651
55,1,"DIAB",64.3742059483193,71.4059907726342,72.3894646637216
55,1,"HHD",18.1497838040002,22.7197941220694,31.7610757658873
55,1,"HSTK",58.2396860943102,51.8516324538074,79.3975956953337
55,1,"IHD",193.963303453183,121.945447039547,179.678071732474
55,1,"ISTK",40.5882738997209,29.496018832298,33.6342301885251
55,1,"OSTK",69.4978282206655,72.662921938542,69.0208533211222
55,1,"Other_CVD",191.200925873893,150.864200689869,140.064098647994
65,0,"Cancer",18235.0397183418,16692.3339948934,19143.2455189547
65,0,"DIAB",181.583120146276,245.898826829253,117.679127310594
65,0,"HHD",77.27882116365,47.0193344374342,70.4210123067057
65,0,"HSTK",80.4219295573112,105.671065039818,64.1278822365904
65,0,"IHD",648.889889541336,975.892132188623,734.816177039734
65,0,"ISTK",103.068742832859,87.0225252614472,70.1260794789264
65,0,"OSTK",227.485449727879,190.055805489921,245.327762215517
65,0,"Other_CVD",431.56809970993,413.539098740335,362.0118441494
65,1,"Cancer",23296.2079443553,21710.2426348075,23317.1291721455
65,1,"DIAB",69.8194426038094,78.1570426101894,91.309285458088
65,1,"HHD",43.9489504833274,32.8202531180094,20.4942840597588
65,1,"HSTK",105.045975718398,102.553888648598,59.9247395128437
65,1,"IHD",377.746739526229,224.621365215657,297.70963026357
65,1,"ISTK",67.7630317303746,70.2169125045113,49.0969682755069
65,1,"OSTK",129.077062967295,130.578566191204,122.161020503702
65,1,"Other_CVD",274.772611047873,229.300221272806,260.66188745114
75,0,"Cancer",13636.6165686512,11367.6062821152,11747.3245413273
75,0,"DIAB",107.839587740662,134.378975676891,122.424834340729
75,0,"HHD",91.2001292849918,116.398343350111,78.4782551966035
