"outcome","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"AA",48.3635466818766,1.6002720376419,48.8964921174914,46.6813895765304,49.5927001669502,0.00488348435913412,0.000205771549463389,0.00496083846949816,0.00466577541405171,0.00503544231040709,0.496083846949816,0.466577541405171,0.503544231040709,0.0197500533416014,0.000653497525985709,0.019967690415466,0.0190631166953279,0.0202519984750901
"AFF",117.909772078526,8.95698264119952,113.217561448517,112.320907851402,127.487015341157,0.00454003974957466,0.000346473560425978,0.00436626151357349,0.00431741821345489,0.00491037278629543,0.436626151357349,0.431741821345489,0.491037278629543,0.048150403512892,0.00365773184723401,0.0462342617782448,0.0458680984675092,0.052061429032725
"APCA",29.8963659052135,3.54950163497335,29.5086259174983,26.7042520453151,33.4180587546698,0.000610632098116871,7.68067974938925e-05,0.000594996622470423,0.000545453574735916,0.000689100775797307,0.0594996622470423,0.0545453574735916,0.0689100775797307,0.0122086749599211,0.0014494976368864,0.0120503349297653,0.0109051225256848,0.0136468164197897
"BC",453.1903746063,45.2999861683183,449.039966189216,412.054993763572,497.85360260355,0.00207865966600941,0.00020987500245945,0.00206795291377308,0.00188402346355534,0.00228239660786436,0.206795291377308,0.188402346355534,0.228239660786436,0.185067777002567,0.0184989977902791,0.183372889153129,0.168269464603873,0.203306744073283
"CC",11057.1079006601,428.112556233142,11096.5541477838,10634.9332016205,11445.7532896445,0.0773837420683277,0.00244828623788583,0.0773701679557983,0.0750636659514737,0.0797153561808317,7.73701679557983,7.50636659514737,7.97153561808317,4.51535269483683,0.17482683553856,4.5314612215738,4.3429506813875,4.67406246055975
"CM",97.1383805418944,9.47502104891827,100.322455676789,87.1735008921624,104.396796326966,0.00459066292245193,0.000400358984358842,0.00474062781325755,0.00416715465970252,0.00488670102801655,0.474062781325755,0.416715465970252,0.488670102801655,0.0396680625976116,0.0038692813899659,0.0409683322856783,0.0355987393546453,0.0426321566057212
"DIAB",878.849141055261,43.09055399576,856.070466739042,852.13571723911,924.9244380402,0.01211696625918,0.000593258336629061,0.0117934850435819,0.0117576444758259,0.0127512470757924,1.17934850435819,1.17576444758259,1.27512470757924,0.358892566941671,0.0175967396587631,0.34959051893937,0.34798369897183,0.377708175713466
"ECA",72.383714479811,10.4858387335424,71.2974214945524,62.9240140876949,82.7667639093969,0.00676612212816748,0.000921561465105888,0.00657247018915241,0.00598755973539505,0.00770928866910272,0.657247018915241,0.598755973539505,0.770928866910272,0.029559085718898,0.0042820654920351,0.029115480030825,0.0256960607722625,0.0337991755003955
"ENDO",10.5367953953444,0.868827611949791,10.7825729599768,9.63210577345772,11.2325740872935,0.00607969441336182,0.000386169092027333,0.00605520450881065,0.00572379569160402,0.00645640955398813,0.605520450881065,0.572379569160402,0.645640955398813,0.004302874486779,0.000354800109957501,0.00440324181599059,0.00393342953255792,0.00458700721117023
"GC",13.3818511998055,0.571065518941663,13.4882489232286,12.801228593482,13.8720357412193,0.00319874031244888,0.000258386923688919,0.00309018355885421,0.00301623386672072,0.0034735199987325,0.309018355885421,0.301623386672072,0.34735199987325,0.00546470003004494,0.000233204039704425,0.00550814929828933,0.00522759319580762,0.00566487498627454
"HHD",489.691192644052,80.5590662686315,480.336401644002,417.523847234178,569.810110403969,0.00959860582248618,0.00159798530464289,0.00936272274462609,0.00819322558536642,0.011204486675787,0.936272274462609,0.819322558536642,1.1204486675787,0.199973489108412,0.0328976256935948,0.196153305645321,0.170502761274035,0.232691372886417
"HSTK",815.36068076803,4.37864843725289,815.625229510415,811.094229554261,819.402265550773,0.0237044542039396,0.000302715895381933,0.0236894346396328,0.0234235230223436,0.0239981520151962,2.36894346396328,2.34235230223436,2.39981520151962,0.332966005238146,0.00178809343261564,0.333074038087927,0.331223729395443,0.334616453158536
"IHD",3659.33224717932,125.917435560779,3648.19177392383,3544.79703816006,3783.33685846575,0.0100561096520592,0.00035569157103118,0.0100386649603511,0.00972592158618456,0.0104011257058856,1.00386649603511,0.972592158618456,1.04011257058856,1.49434878198287,0.0514204651970851,1.48979938566804,1.44757643704917,1.54498811378417
"ISTK",829.85975248661,48.15981506129,810.044950793413,795.53211975838,881.029966654058,0.0194186343794252,0.00120647179629725,0.0189402123883997,0.0185455217086125,0.0206984057426094,1.89402123883997,1.85455217086125,2.06984057426094,0.338886940725555,0.0196668561683167,0.33079523907745,0.324868684745839,0.359783143106158
"KC",294.16022548942,4.46890311727781,293.501900787862,290.229246159687,298.650780815478,0.00453344932602655,4.32808543363465e-05,0.00453512632706417,0.00449164294413826,0.00457383025703285,0.453512632706417,0.449164294413826,0.457383025703285,0.120125188142387,0.00182495042237587,0.11985635037378,0.118519907786138,0.121958980601952
"LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVC",140.103331291597,11.0226710054675,139.753357111457,129.784492197056,150.719648439258,0.00389082477509316,0.000284514013790212,0.00388753035678808,0.00362195017977702,0.00416249962596861,0.388753035678808,0.362195017977702,0.416249962596861,0.0572135100956523,0.00450128981972459,0.05707059235698,0.052999641665342,0.0615488586038341
"MLPC",804.355958018403,31.2387250525909,793.560812054617,780.62725602283,837.260534083195,0.0134587157321112,0.000503904484597195,0.013234660961218,0.0131121437345224,0.0139957342849591,1.3234660961218,1.31121437345224,1.39957342849591,0.328472044885232,0.0127568494959756,0.324063668675407,0.318782037383876,0.341909172164939
"MMC",35.5306854571799,2.7805930976329,35.233368160564,33.0268317591943,38.2872588572888,0.0013872795848656,0.000120279252757435,0.00138839560717076,0.00127254367433648,0.00150106687643534,0.138839560717076,0.127254367433648,0.150106687643534,0.0145095424382085,0.00113550113189109,0.014388128007911,0.0134870524124033,0.0156352347297664
"OC",18.6233499415956,0.725111001663704,19.020042198902,17.8481211057625,19.0613903587183,0.000920545057465201,4.28036637122694e-05,0.00093725527509502,0.000875174246959493,0.000951712182985562,0.093725527509502,0.0875174246959493,0.0951712182985562,0.00760515264038017,0.000296111057686486,0.0077671484777313,0.00728857513707253,0.00778403368193935
"OSTK",1498.87533154301,111.181610009289,1451.26754926809,1421.01694251761,1617.20033550209,0.0212647533076141,0.00159159533527078,0.020781317511619,0.0200114474297006,0.0229289796121235,2.0781317511619,2.00114474297006,2.29289796121235,0.612090505791589,0.0454028473704025,0.592649081332175,0.580295746270386,0.660410476103295
"OTH",188.145466397621,37.7245206842928,169.339907040856,163.811258720062,228.46439952843,0.00466814692460361,0.000967832383887651,0.00418502100598844,0.00404439071342227,0.00570256016660784,0.418502100598844,0.404439071342227,0.570256016660784,0.0768323097099483,0.0154054312993618,0.0691527488444516,0.0668950339592952,0.0932972121962737
"PC",89.4661368721042,9.07177004311583,85.7250931671417,83.006241238301,99.1059196551257,0.0016774477684138,0.000176170274713518,0.00160762672319649,0.0015499269033549,0.00186431652190743,0.160762672319649,0.15499269033549,0.186431652190743,0.0365349751355851,0.00370460717930391,0.0350072581297941,0.0338969700242561,0.0404715397018366
"PVD",34.1940102426377,0.274170345830813,34.2082113728856,33.9277751133142,34.4481744112504,0.00453341493975341,9.13399593136978e-05,0.00448245797463111,0.00447909820144816,0.00463104509841261,0.448245797463111,0.447909820144816,0.463104509841261,0.0139636890300361,0.000111961990514501,0.0139694882962014,0.0138549675162866,0.014067481167545
"RHD",16.1846800195114,0.749321726074364,16.5003459937686,15.3877314874948,16.7133124734093,0.00452970270165091,0.000146099031377498,0.00460541791164561,0.0043734938526518,0.00462155362215453,0.460541791164561,0.43734938526518,0.462155362215453,0.00660928148641926,0.000305997907004931,0.0067381889023852,0.00628383438632607,0.00682515728294141
"SCC",32.6427423868514,4.66243975596485,35.2197154251948,27.6585866843971,35.4364710067139,0.00408160728352978,0.000610262109883923,0.0044095307260559,0.00342909074081284,0.00445538890009952,0.44095307260559,0.342909074081284,0.445538890009952,0.0133302031713497,0.00190398430636221,0.0143825526878549,0.0112948408429039,0.014471068410766
"SCNC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC",51.6599312064089,6.68985634202892,49.5010454114137,46.4753371574823,58.6795781810814,0.00107539715254637,0.000131245666346975,0.00103695243849954,0.000971131315999809,0.00121234099603272,0.103695243849954,0.0971131315999809,0.121234099603272,0.0210961864244826,0.00273191336590361,0.0202145697413629,0.0189789717856476,0.0239627752439694
"UC",474.101189506533,43.9811757208354,497.302053419971,427.07367337924,501.407971307403,0.00810523004908044,0.000732366133141837,0.00849775133941786,0.00732214808415972,0.00855466891721436,0.849775133941786,0.732214808415972,0.855466891721436,0.193607053751902,0.0179604397548939,0.203081509851569,0.174402590560928,0.204758229258159
