"age","female","race","pathway","disease_type","V1","V2","V3"
25,0,1,"direct","Cancer",260.369081775318,233.045053132784,182.328256158232
25,0,1,"medSBP","Cancer",0,0,0
25,0,1,"medBMI","Cancer",115.624457481837,101.657761306056,91.9088443960684
25,0,1,"direct","CMD",188.506834309391,161.662293478467,203.759387340523
25,0,1,"medSBP","CMD",0,0,0
25,0,1,"medBMI","CMD",197.153022245367,188.707463988146,199.71806946086
25,0,2,"medSBP","Cancer",0,0,0
25,0,2,"medBMI","Cancer",19.833716939487,16.1829684012002,9.59377169399056
25,0,2,"direct","Cancer",32.5373204327452,34.239897611974,23.6374162006263
25,0,2,"medSBP","CMD",0,0,0
25,0,2,"medBMI","CMD",191.669823934897,139.354152939647,102.520198218504
25,0,2,"direct","CMD",124.584888872854,115.628415330487,122.358883137448
25,0,3,"medBMI","Cancer",9.88026098487794,19.9142772027198,20.8636146205082
25,0,3,"medSBP","Cancer",0,0,0
25,0,3,"direct","Cancer",70.2801830355429,66.5924653933865,49.7646621128662
25,0,3,"medBMI","CMD",17.5974524281813,33.400352557326,26.9174254368083
25,0,3,"medSBP","CMD",0,0,0
25,0,3,"direct","CMD",24.0040729650693,29.5992654324825,34.0826643528693
25,0,4,"direct","Cancer",36.4272376735191,42.744883159262,40.1084517338272
25,0,4,"medSBP","Cancer",0,0,0
25,0,4,"medBMI","Cancer",10.2913911693969,10.9156607609039,19.1314850334994
25,0,4,"direct","CMD",15.592220699586,16.4780856948307,23.7837368224398
25,0,4,"medSBP","CMD",0,0,0
25,0,4,"medBMI","CMD",15.0004830210059,14.6995838329875,25.2289596738086
25,1,1,"direct","Cancer",495.256020843535,532.030863105514,528.625646839027
25,1,1,"medBMI","Cancer",244.904755863118,302.902236172168,162.908000405958
25,1,1,"medSBP","Cancer",0,0,0
25,1,1,"direct","CMD",125.536745305977,84.4702645167053,111.450225086615
25,1,1,"medBMI","CMD",124.650833873217,125.846910471135,86.9781116368316
25,1,1,"medSBP","CMD",0,0,0
25,1,2,"medSBP","Cancer",0,0,0
25,1,2,"direct","Cancer",78.4320406357652,99.9027304044719,108.19339098276
25,1,2,"medBMI","Cancer",53.8966664814887,33.371495147272,43.4159278829304
25,1,2,"medSBP","CMD",0,0,0
25,1,2,"direct","CMD",75.5546642125436,67.4661924360145,71.8470763195917
25,1,2,"medBMI","CMD",86.3470913510995,70.4835695175781,69.8512007452481
25,1,3,"medSBP","Cancer",0,0,0
25,1,3,"medBMI","Cancer",54.5471810994427,68.3624095555592,53.2134054716319
25,1,3,"direct","Cancer",179.710765361228,167.3639810976,222.254686088778
25,1,3,"medSBP","CMD",0,0,0
25,1,3,"medBMI","CMD",18.0102356325253,20.9412129611531,22.1671300196641
25,1,3,"direct","CMD",11.2833658566621,18.4559404360744,16.4504764673102
25,1,4,"direct","Cancer",115.347214502068,130.873153528723,169.192080088257
25,1,4,"medBMI","Cancer",27.4222719046704,65.3785428361457,72.968458497558
25,1,4,"medSBP","Cancer",0,0,0
25,1,4,"direct","CMD",5.09018062322342,9.75163836566459,16.8306354160505
25,1,4,"medBMI","CMD",6.7472177646976,13.4548550637583,12.7736793861492
25,1,4,"medSBP","CMD",0,0,0
35,0,1,"direct","Cancer",576.672686691838,635.148203519473,559.749476283826
35,0,1,"medBMI","Cancer",243.824993104357,241.604017913904,203.757639164279
35,0,1,"medSBP","Cancer",0,0,0
35,0,1,"direct","CMD",456.951752953659,595.424452102292,422.689239510893
35,0,1,"medBMI","CMD",561.653048222126,621.135970174006,484.090773615322
35,0,1,"medSBP","CMD",0,0,0
35,0,2,"medSBP","Cancer",0,0,0
35,0,2,"direct","Cancer",125.200702423116,179.038236542439,155.384598817298
35,0,2,"medBMI","Cancer",89.0204166978342,97.6453409914883,53.4326964142746
35,0,2,"medSBP","CMD",0,0,0
35,0,2,"direct","CMD",458.412716069428,275.453443814172,232.364665560809
35,0,2,"medBMI","CMD",453.074929730645,459.668660204694,326.941023889146
35,0,3,"medBMI","Cancer",49.9147029763203,0.835749152598957,7.08685687055094
35,0,3,"medSBP","Cancer",0,0,0
35,0,3,"direct","Cancer",162.284498534498,145.521951234373,168.814061839744
35,0,3,"medBMI","CMD",80.330332984067,2.15347770168544,17.3600018301834
35,0,3,"medSBP","CMD",0,0,0
35,0,3,"direct","CMD",68.3049682369764,5.03888675108924,23.1341221749005
35,0,4,"medBMI","Cancer",1.59302589121355,37.9490353371808,0
35,0,4,"direct","Cancer",140.550340324554,118.429810370641,116.15042339935
35,0,4,"medSBP","Cancer",0,0,0
35,0,4,"medBMI","CMD",2.23741273404955,44.3541203126767,0
35,0,4,"direct","CMD",3.14127238178374,28.7662280244469,0
35,0,4,"medSBP","CMD",0,0,0
35,1,1,"medBMI","Cancer",324.693184075746,474.536881911174,432.737261949914
35,1,1,"direct","Cancer",811.651505176079,579.985424168813,918.59515518541
35,1,1,"medSBP","Cancer",0,0,0
35,1,1,"medBMI","CMD",290.750880279165,349.647569856105,282.438652291972
35,1,1,"direct","CMD",269.257485194123,379.692318218174,350.413708805404
35,1,1,"medSBP","CMD",0,0,0
