"age","race","outcome","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"AA",0.625477395238627,0.120511723545461,0.588453756225546,0.530852805413336,0.751572078225036,0.00848326293631938,0.000819798103875835,0.00820614836817593,0.00785634655949026,0.00934572669607044,0.820614836817593,0.785634655949026,0.934572669607044,0.00166847599106621,0.000321467920197021,0.00156971454378535,0.00141606262250994,0.00200483658981122
25,1,"AFF",0.0595650474166407,0.0258087263015695,0.0633880171606502,0.0336245712281254,0.0822559993227479,0.00961048812706056,0.0033458792304957,0.0106212038123142,0.00611304458367957,0.0122488233379759,1.06212038123142,0.611304458367957,1.22488233379759,0.000158891196193381,6.88453979663637e-05,0.000169089059906775,8.96943522357344e-05,0.000219419855994642
25,1,"APCA",0.00612253841562563,0.00176774475819947,0.00661049241299501,0.00428448989805575,0.00754582603543154,0.0010514170735535,0.000223404752896097,0.00110291426770237,0.000821568165175184,0.00123749336690526,0.110291426770237,0.0821568165175185,0.123749336690526,1.63320184368209e-05,4.71550164696794e-06,1.76336474573948e-05,1.14289798213163e-05,2.01286723848376e-05
25,1,"BC",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"CC",113.40481390542,14.3057428573125,120.664341270387,98.1117846509744,122.527244899643,0.0706752172652302,0.00511792302619456,0.0723341003791013,0.0653036495781383,0.0746367343055317,7.23341003791013,6.53036495781383,7.46367343055317,0.302510067850395,0.0381609130457651,0.321875031647872,0.261715544601507,0.326844371871427
25,1,"CM",3.69507870820747,0.537827676572798,3.69837715874483,3.18274778065667,4.20460595280151,0.0117564267301457,0.00243927230905602,0.0109795257891513,0.00985919527604503,0.0143140239840917,1.09795257891513,0.985919527604503,1.43140239840917,0.00985671130032133,0.00143466825903482,0.00986550999643922,0.00849005623235829,0.0112158874765842
25,1,"DIAB",8.63510089331668,2.54140387162072,7.52161161202602,6.87455274557813,11.3421149301523,0.0204979384796077,0.00626094924487646,0.0187759457843134,0.0154530712540242,0.0270064994961915,1.87759457843134,1.54530712540242,2.70064994961915,0.0230343392592736,0.00677925593423592,0.0200640798281806,0.0183380347437488,0.0302553642912275
25,1,"ECA",0.34328233268388,0.180972810094932,0.439655393873933,0.149774567149899,0.454872996206315,0.0068775712301358,0.00226431476683596,0.00806770659010373,0.00445643441697305,0.00828709298732581,0.806770659010373,0.445643441697305,0.828709298732581,0.000915713876473096,0.000482749322322004,0.00117279133443593,0.000399527259121175,0.00121338465455661
25,1,"ENDO",1.23104804208566,0.130439881782686,1.17948828943917,1.13652970011865,1.36939217380219,0.00963776729296134,0.000675879149624979,0.00926756438283748,0.00922985354660879,0.0103603535129192,0.926756438283748,0.922985354660879,1.03603535129192,0.0032838502521508,0.000347951521012036,0.00314631337223979,0.00303172030231116,0.00365288654991479
25,1,"GC",0.0137057100065964,0.012492892211547,0.012186387206192,0.00254918332945512,0.0261536610640813,0.00437514848869121,0.000931455317315994,0.00420733089898984,0.00357242607249626,0.00532051585613234,0.420733089898984,0.357242607249626,0.532051585613234,3.6560310989013e-05,3.33250903591681e-05,3.25074808876356e-05,6.80000782506207e-06,6.97655197391346e-05
25,1,"HHD",3.78939111108051,0.692016356216263,4.1511685281523,3.04945840839812,4.22181300925188,0.0160300760448321,0.0026351771345933,0.0168709897941833,0.0132667657494404,0.0180786096532754,1.68709897941833,1.32667657494404,1.80786096532754,0.0101082919026761,0.00184597026936755,0.0110733418614583,0.00813450362698742,0.0112617877133999
25,1,"HSTK",5.22232856261889,0.525453462860974,5.42679420033096,4.66544780389769,5.60541352928485,0.0510658669641518,0.00808704632808902,0.0527485944238691,0.0427937793714405,0.0579076362161034,5.27485944238691,4.27937793714405,5.79076362161034,0.0139306870088642,0.00140165974642723,0.0144761040137273,0.0124451941950774,0.0149525753685174
25,1,"IHD",10.7542277911599,1.14191504556314,10.124560121578,10.0687024736067,11.9749706278578,0.0198234512931044,0.00151400590610225,0.0190639299861908,0.018850774043972,0.0214417216531132,1.90639299861908,1.8850774043972,2.14417216531132,0.0286871612125356,0.00304608584077207,0.0270075075639057,0.0268585059448752,0.0319435220815315
25,1,"ISTK",3.80131118921722,0.922276058763354,4.21095401000625,2.81846347876824,4.43596250199553,0.0546832447415785,0.0135239206904476,0.0594995248031115,0.0404149157478576,0.0648577356829963,5.94995248031115,4.04149157478576,6.48577356829963,0.0101400889977176,0.00246019356238247,0.0112328210718134,0.007518319098051,0.0118330366344029
25,1,"KC",2.90333745421267,0.368833754268522,2.9015739472728,2.55369788197209,3.25447600735213,0.00443068803206578,0.0004329523016359,0.00456546479819789,0.00397733182543481,0.00476948398748447,0.456546479819789,0.397733182543481,0.476948398748447,0.00774472246829806,0.000983872907920304,0.00774001827113339,0.00681205050245107,0.00868139300173502
25,1,"LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"LVC",0.348603386079634,0.152244218406978,0.378203322244044,0.193456343563346,0.478590482856174,0.00385306986522579,0.000307989346112367,0.00375765363254203,0.00361175939892336,0.00417548412930942,0.375765363254204,0.361175939892336,0.417548412930942,0.000929907914348135,0.000406115113230869,0.00100886645578123,0.000516049448008838,0.00127665162046931
