"age","disease_type","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"CMD",1161.48239654649,59.8463673753816,1146.71785952072,1112.21608014737,1223.29856941752,0.252793003329566,0.014337642914173,0.254065503754515,0.238671723458711,0.265832657839213,25.4065503754515,23.8671723458711,26.5832657839213,1.72400943513751,0.0888310510091606,1.70209416443384,1.65088254612128,1.81576430425186
25,"Cancer",1842.78234773543,71.6940653044189,1804.76056618404,1798.4407216054,1919.44248818415,0.12004492109187,0.00184908755254794,0.119773943484647,0.118417657824841,0.121902515325039,11.9773943484647,11.8417657824841,12.1902515325039,2.73527533766076,0.106416804417953,2.67883891612717,2.66945825593415,2.84906337769093
35,"CMD",2943.18648418165,330.16585150091,3133.20663224549,2590.50753922572,3134.34830328332,0.233719574300959,0.0255594883294672,0.246926005031114,0.206391909143519,0.249821773337768,24.6926005031114,20.6391909143519,24.9821773337768,7.20311649332717,0.808043630011734,7.66816934333836,6.33997460989071,7.67096345425412
35,"Cancer",3645.72884144277,127.636565952299,3586.70076041428,3559.71102292974,3781.92052883003,0.123388217663704,0.00487343369746168,0.12342694570347,0.118742105875972,0.128001410617636,12.342694570347,11.8742105875972,12.8001410617636,8.9225095620459,0.31237607888726,8.77804500082594,8.71199066676646,9.25582333436229
45,"CMD",8215.45816003199,1035.57184352242,8228.76677227791,7226.06968163153,9193.53431802341,0.214023599347827,0.0275779873509782,0.214869205086605,0.187474367494859,0.239854066322832,21.4869205086605,18.7474367494859,23.9854066322832,21.007863918652,2.64807536511413,21.0418955587094,18.4778846877873,23.508916255468
45,"Cancer",12388.096584203,1056.55484600658,12615.0107888787,11305.4452066649,13277.8708877668,0.127757997939158,0.0101361575629096,0.129154376833671,0.117603963998532,0.136725109819448,12.9154376833671,11.7603963998532,13.6725109819448,31.6777764772941,2.70173129667696,32.258021990104,28.9093133718143,33.9530308968856
55,"CMD",14174.4968367386,1372.83745616308,14201.3588655045,12859.072150957,15467.0887980692,0.149260166801238,0.0143518218450159,0.149707220358057,0.135440900163668,0.162699437915513,14.9707220358057,13.5440900163668,16.2699437915513,29.6437626749645,2.87107670984983,29.6999404437331,26.8927558737192,32.3470183727567
55,"Cancer",37444.0241488165,2981.94369852145,36027.9745760457,35463.6461425433,40628.044291945,0.125896154383587,0.0101723400029302,0.120668040025374,0.119464410349947,0.136771795621708,12.0668040025374,11.9464410349947,13.6771795621708,78.3083715949772,6.23627295749672,75.3469234423765,74.166718011019,84.9672561086461
65,"CMD",22493.166616604,1977.74596351831,23270.6610556505,20396.1130805035,23929.3498795148,0.158595695094606,0.0139414867437401,0.163914797333705,0.14383452713193,0.168835626154047,16.3914797333705,14.383452713193,16.8835626154047,76.9988605040534,6.77024218746453,79.6603881971187,69.8202032945996,81.9152191744017
65,"Cancer",40798.0663278327,2125.93448373157,41531.2476626971,38559.0101813507,42413.91833968,0.132832386157067,0.00654134834013362,0.135645833458603,0.125869566668192,0.137403775439636,13.5645833458603,12.5869566668192,13.7403775439636,139.660398713847,7.27752279364559,142.17023329115,131.995636574201,145.191801462786
75,"CMD",46507.5292462938,1914.88182970533,45734.1806488588,45131.9592259068,48540.4455745004,0.102677774501009,0.00409977527304652,0.100908487514853,0.0998171754979113,0.107042267442338,10.0908487514853,9.98171754979114,10.7042267442338,226.732047453788,9.33537181865548,222.961842634621,220.025911647547,236.642857356322
75,"Cancer",33126.3019510419,2824.13439105742,32585.2752168212,30710.4921312703,36001.9844949012,0.124900495645764,0.0105512587057545,0.122623986372998,0.11602085127988,0.1357151728935,12.2623986372998,11.602085127988,13.57151728935,161.496307966752,13.7681313788591,158.858711406257,149.718827727045,175.515745282878
