"female","race","outcome","V1","V2","V3"
0,1,"AA",24.4268963295945,26.6224998263091,20.8685950773494
0,1,"AFF",49.9965182901995,50.047176049306,52.3559498834236
0,1,"APCA",16.0964314785334,18.8668798022891,25.0635021401617
0,1,"BC",0,0,0
0,1,"CC",3973.69954622992,3248.66716833152,3924.3830306402
0,1,"CM",49.415484727558,46.3466593684067,39.3291389881088
0,1,"DIAB",376.532401455958,487.547968011374,332.751034968072
0,1,"ECA",57.7341536206705,72.4663389502083,49.073570185723
0,1,"ENDO",5.04679304612708,5.92603857437818,4.48236715761616
0,1,"GC",3.37655167750534,2.31832924223861,3.38447687075511
0,1,"HHD",225.379313784732,195.357891106341,190.906592703643
0,1,"HSTK",255.835919994477,247.969827389775,195.812459694557
0,1,"IHD",2066.3291781481,2085.88381142515,1792.65123221902
0,1,"ISTK",315.041017824836,240.668794304528,260.934755058626
0,1,"KC",160.522017023566,175.073546390255,174.095320657539
0,1,"LC",0,0,0
0,1,"LVC",87.5228713073447,80.2820499146876,72.9274654485929
0,1,"MLPC",449.867849906225,559.674927237981,420.606165286616
0,1,"MMC",16.2078313899304,15.0577744356148,12.9354940253081
0,1,"OC",0,0,0
0,1,"OSTK",487.142677040196,647.101259087633,550.991216144153
0,1,"OTH",64.4894518657967,66.3368522380995,62.1748617140051
0,1,"PC",45.1434632515435,49.8457610627609,36.8619545281834
0,1,"PVD",15.015986660348,14.5501567774204,11.756882422369
0,1,"RHD",5.66134190664355,6.66903968974848,5.09445419240855
0,1,"SCC",26.6535268854234,18.6243033334213,26.7733341964108
0,1,"SCNC",0,0,0
0,1,"TC",10.3619368862713,11.6208662951215,9.98866377193013
0,1,"UC",0,0,0
0,2,"AA",4.31471235086737,4.34649863453259,4.3687375542904
0,2,"AFF",2.40256308324976,2.18202400971398,2.57941750262819
0,2,"APCA",7.8020084177495,8.87226467288244,5.79181129118449
0,2,"BC",0,0,0
0,2,"CC",742.189450354148,844.565094890439,882.873365893137
0,2,"CM",17.1821082514335,13.9313284806067,11.1892540326651
0,2,"DIAB",101.481608663075,77.1488928708354,68.2249192543877
0,2,"ECA",0.947326576169834,1.47564739040148,1.39656539484851
0,2,"ENDO",1.04875905187324,0.659951571418162,0.522599412015977
0,2,"GC",0.41589021083534,0.500752808582186,0.575707918819498
0,2,"HHD",69.1138585966798,45.3345898481384,39.4591195508862
0,2,"HSTK",68.9483199446052,51.3482241759368,70.0450298734185
0,2,"IHD",239.419009801462,187.375178553054,253.527614151542
0,2,"ISTK",53.4258331006209,42.9366297686994,48.2117741479685
0,2,"KC",17.7368661132058,19.1939162770829,19.2316331783175
0,2,"LC",0,0,0
0,2,"LVC",13.3399413695459,10.0413190550898,9.21805904726416
0,2,"MLPC",40.1462780415353,51.8520876691177,40.3209388622861
0,2,"MMC",4.61592439166427,4.12438581842206,2.44363007644153
0,2,"OC",0,0,0
0,2,"OSTK",92.2888271311213,89.6893191032,94.9331917719314
0,2,"OTH",9.68185708067881,10.1864674083064,8.03136760083141
0,2,"PC",3.35864072511573,3.12556031472599,4.5474506930646
0,2,"PVD",2.20159165660495,1.48527249637352,2.03795068408019
0,2,"RHD",0.835317416899767,0.628011550590931,0.505073070143593
0,2,"SCC",1.42159861787651,0.719073192630857,0.835085231915205
0,2,"SCNC",0,0,0
0,2,"TC",0.534710684493335,0.586027918052548,0.965317336001417
0,2,"UC",0,0,0
0,3,"AA",0.583313890998918,0.28625849766193,0.384294645390909
0,3,"AFF",0.326137489089135,0.0602497373589581,0.22881670510212
0,3,"APCA",1.62393007186607,0.60220427804668,1.02960660358086
0,3,"BC",0,0,0
0,3,"CC",593.496424922156,596.998055202599,549.903285205809
0,3,"CM",1.76032220615835,0.712173560749405,0.857058700244199
0,3,"DIAB",14.7296113824772,3.49491017679447,11.820946131912
0,3,"ECA",1.23294737998516,0.234822860970432,1.0511796697711
0,3,"ENDO",0.205443395453584,0.0856493366464251,0.109770354255216
0,3,"GC",0.200405666190302,0.0166452618771644,0.131483401625478
0,3,"HHD",3.46481492548026,2.64542909916065,3.46453381272104
0,3,"HSTK",11.0161899610515,3.26927524838314,14.7030662238339
0,3,"IHD",34.4655366922347,11.352338796224,31.5732377785227
0,3,"ISTK",6.06567286002878,1.48563415343008,6.66686528062921
0,3,"KC",6.68656152294293,1.1293167307283,2.83031055245674
0,3,"LC",0,0,0
0,3,"LVC",3.90261434457912,2.14416057487745,5.09061399401038
0,3,"MLPC",7.52312586252276,4.3745873622821,9.46510423279095
0,3,"MMC",0.33195126538974,0.160742144298808,0.326063022228376
0,3,"OC",0,0,0
0,3,"OSTK",5.97681006773055,1.9715487270878,9.2064020870055
0,3,"OTH",0.994692008394785,0.429771151863868,1.1193089050294
0,3,"PC",1.04041730296694,0.32795038974914,0.583497769358601
0,3,"PVD",0.273713076170361,0.05665357960739,0.235335760720379
0,3,"RHD",0.145930056661934,0.134365540791897,0.139295884846177
0,3,"SCC",0.409528891479309,0.107520270265477,0.481874976199794
0,3,"SCNC",0,0,0
0,3,"TC",0.559100667402722,0.168098752525288,0.356226884118791
0,3,"UC",0,0,0
0,4,"AA",0.502815613859617,0.882735878737108,0.560714612110061
0,4,"AFF",0.364904247652446,0.544391228014367,0.37652056805114
0,4,"APCA",1.03428345231446,1.16727716428013,1.73889834275174
0,4,"BC",0,0,0
0,4,"CC",626.881077746782,593.223153436139,698.83799708505
0,4,"CM",1.10936755861397,1.58988543055202,1.17429948512336
0,4,"DIAB",10.1417863033365,11.2514417563788,7.68885569836686
0,4,"ECA",0.499534121395289,0.694901207588155,0.513299310851688
0,4,"ENDO",0.164736847091723,0.254176237022022,0.203288945106382
0,4,"GC",0.238256087328475,0.232342908358797,0.292265051671874
0,4,"HHD",2.33731556240301,4.69618825271927,3.5109187696525
0,4,"HSTK",9.84259895801769,11.2005975696784,14.5162691326092
0,4,"IHD",32.4508420245493,52.772612966709,33.1003328088563
0,4,"ISTK",5.50050509083357,9.95217621198979,5.07494849033084
0,4,"KC",3.26587128919733,4.46271959922147,5.42799563162237
0,4,"LC",0,0,0
0,4,"LVC",3.18457669227783,6.26925683601817,5.55033302795736
0,4,"MLPC",16.8054589891721,19.4973481998047,21.3859416064801
0,4,"MMC",0.32961414774322,0.541135602734492,0.383592616344993
0,4,"OC",0,0,0
0,4,"OSTK",7.94275812125928,13.5614409478591,9.48387547856311
0,4,"OTH",1.08289227324911,1.40458709968233,0.781365632500325
0,4,"PC",0.813525146397828,0.785769046550162,1.29702720793867
0,4,"PVD",0.157070291728392,0.248021544917141,0.106484489015076
0,4,"RHD",0.107703931957462,0.146907003745087,0.166501202702396
0,4,"SCC",0.439606745893961,0.634137982732484,0.392794003274986
0,4,"SCNC",0,0,0
0,4,"TC",0.625909016076883,0.759738611009142,0.954319294120239
0,4,"UC",0,0,0
1,1,"AA",15.8112095447799,13.71385343365,16.3038660391482
1,1,"AFF",72.132490380498,55.0271888507643,49.895491603179
1,1,"APCA",0,0,0
1,1,"BC",421.98545922599,320.660771154197,351.884450280845
1,1,"CC",3709.91353842971,3610.53520476008,3167.44878720247
1,1,"CM",22.293639845153,30.4589348052114,23.0986013710453
1,1,"DIAB",271.103346889066,228.967565143181,306.674773128328
1,1,"ECA",10.0126373165157,7.88778745988605,9.54843130488326
1,1,"ENDO",4.06384704645727,2.83021856198587,3.09732850796448
1,1,"GC",6.43260575594971,7.19430378472148,6.36197031168415
1,1,"HHD",241.281330374837,182.874920269812,109.124913717756
1,1,"HSTK",390.476636933429,377.957644849344,387.006414723822
